t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed,dither_on,meas1,meas2,meas3,meas4,meas5,meas6
0.000000000e+00,3.933906012e-10,0.000000000e+00,0.000000000e+00,2.121713755e-22,3.933906012e-10,1.348699224e-07,3.070022071e+00,5.484509909e-02,1.296130635e-32,0.000000000e+00,0.000000000e+00,1.197339006e-03,0.000000000e+00,-1.000000015e-01,-1.000000015e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.311060684e-12,-1.092529103e+00,-2.789057728e+00,-6.727352001e-01,1.642638977e-06,1.303354193e-04,2.616287404e-01,1.390574577e-07,2.180567252e-01,2.616287404e-01,1.390574563e-07,2.180567248e-01,3.874000013e-01,-9.950000048e-02,9.588222206e-02,1.319468904e+00,2.574298907e-08,0,0,0,-2.172868108e-08,-1.092530251e+00,-2.789054871e+00,-6.727350950e-01,1.606764272e-06,1.304023317e-04
1.000000000e-02,1.737762162e-06,1.585203626e-04,3.824145392e-02,7.926018266e-05,2.089707195e-05,6.987098375e-01,3.080031808e+00,5.484399404e-02,2.224778631e-16,8.673617381e-19,2.169462878e-19,1.280579003e-03,1.582876337e-07,-9.998781234e-02,-1.000107229e-01,2.148768908e-05,-1.654151674e-06,1.585036080e-04,1.227616889e-03,-1.103698672e+00,-2.795411087e+00,-6.738841842e-01,-2.146427300e-04,-7.661953630e-04,2.616271855e-01,4.838678754e-07,2.180594538e-01,2.616284774e-01,3.015599855e-07,2.180583059e-01,3.873998523e-01,-9.950001538e-02,9.500187635e-02,1.319470720e+00,8.650950040e-04,0,0,0,1.227615518e-03,-1.103699207e+00,-2.795411587e+00,-6.738844514e-01,-2.146483166e-04,-7.665039739e-04
2.000000000e-02,2.926794934e-06,4.872278915e-04,3.394807034e-02,2.436139430e-04,6.323071594e-05,6.382312061e-01,3.079279342e+00,5.484485369e-02,1.387778784e-17,1.419441931e-21,1.103095791e-19,1.632578002e-03,3.411748366e-06,-1.000166982e-01,-1.000297144e-01,1.920489012e-05,-1.391291880e-05,4.868803371e-04,1.230777181e-03,-1.103632195e+00,-2.794690887e+00,-6.735414563e-01,-2.569424818e-04,-6.442634946e-04,2.616284621e-01,3.583633963e-06,2.180626492e-01,2.616276916e-01,7.868871062e-07,2.180630374e-01,3.874000609e-01,-9.950002283e-02,9.499999881e-02,1.319469675e+00,2.892980352e-03,0,0,0,1.230753842e-03,-1.103631258e+00,-2.794694901e+00,-6.735428572e-01,-2.569181379e-04,-6.449678913e-04
3.000000000e-02,9.570169920e-06,6.817526572e-04,2.001942103e-02,3.408763225e-04,8.710659159e-05,4.786048047e-01,3.079922796e+00,5.484716180e-02,2.220446055e-16,4.336811962e-19,6.776263578e-21,1.537727992e-03,1.060627346e-05,-1.000783220e-01,-1.000582427e-01,2.183053994e-06,-2.872065306e-05,6.802528515e-04,1.480135644e-03,-1.104965093e+00,-2.794887854e+00,-6.734806487e-01,-1.536353736e-04,-2.397814780e-04,2.616318338e-01,8.182350346e-06,2.180666009e-01,2.616263880e-01,1.591758608e-06,2.180709015e-01,3.874000013e-01,-9.949997813e-02,9.500000626e-02,1.319469234e+00,5.277737975e-03,0,0,0,1.480208244e-03,-1.104960799e+00,-2.794894695e+00,-6.734822392e-01,-1.536567288e-04,-2.404558036e-04
4.000000000e-02,1.957061620e-05,7.645726796e-04,1.362369573e-02,3.822863308e-04,9.599898284e-05,3.741988638e-01,3.079615172e+00,5.485082154e-02,2.220446052e-16,5.459392043e-22,1.396962524e-20,1.518178004e-03,2.274283361e-05,-1.001713648e-01,-1.000969037e-01,-2.762167423e-05,-4.003601134e-05,7.605492719e-04,1.449991844e-03,-1.102972001e+00,-2.795291301e+00,-6.736666791e-01,-1.417111098e-04,-2.139172096e-05,2.616371632e-01,1.343408048e-05,2.180714159e-01,2.616245711e-01,2.712881930e-06,2.180818803e-01,3.874000311e-01,-9.950003773e-02,9.500002116e-02,1.319469399e+00,7.750362391e-03,0,0,0,1.450085081e-03,-1.102964401e+00,-2.795300484e+00,-6.736688614e-01,-1.416657178e-04,-2.210725324e-05
5.000000000e-02,3.249587005e-05,7.952378782e-04,1.041581081e-02,3.976189286e-04,9.780810273e-05,2.861836843e-01,3.078562796e+00,5.485552685e-02,2.220446068e-16,1.084202627e-19,2.722390774e-20,1.379088004e-03,3.941376781e-05,-1.002904251e-01,-1.001458243e-01,-6.538789603e-05,-4.837880988e-05,7.863967330e-04,1.123428467e-03,-1.099159186e+00,-2.795576615e+00,-6.739050919e-01,-1.636291767e-04,5.598948146e-05,2.616440122e-01,1.932759658e-05,2.180772013e-01,2.616222456e-01,4.146952560e-06,2.180959562e-01,3.874000609e-01,-9.949998558e-02,9.499998391e-02,1.319469381e+00,1.024391223e-02,0,0,0,1.123562106e-03,-1.099152207e+00,-2.795585632e+00,-6.739079952e-01,-1.634744112e-04,5.512140342e-05
6.000000000e-02,4.752798078e-05,8.077731459e-04,4.438812175e-03,4.038865622e-04,9.708739290e-05,2.136017798e-01,3.078000552e+00,5.486087360e-02,2.224778632e-16,1.016460014e-20,1.746203155e-21,1.321078002e-03,6.045178452e-05,-1.004290134e-01,-1.002061069e-01,-1.054467575e-04,-5.369828796e-05,7.909931592e-04,8.534658172e-04,-1.093885309e+00,-2.796853378e+00,-6.746204591e-01,-9.092215901e-05,1.129228918e-04,2.616518058e-01,2.580993948e-05,2.180845972e-01,2.616194162e-01,5.890654434e-06,2.181131111e-01,3.874000311e-01,-9.949997813e-02,9.499999881e-02,1.319469234e+00,1.274240203e-02,0,0,0,8.534095250e-04,-1.093876481e+00,-2.796864986e+00,-6.746231318e-01,-9.093966219e-05,1.121115638e-04
7.000000000e-02,6.470393563e-05,8.166962743e-04,1.014485972e-02,4.083481258e-04,9.565361027e-05,2.784810078e-01,3.078671704e+00,5.486680961e-02,7.796962858e-21,5.082416389e-21,2.034642960e-20,1.342759002e-03,8.563977462e-05,-1.005860195e-01,-1.002775207e-01,-1.467952534e-04,-5.718576722e-05,7.876853342e-04,1.092088388e-03,-1.098042858e+00,-2.796091901e+00,-6.740847193e-01,-1.088007794e-04,1.142174603e-04,2.616604682e-01,3.304292765e-05,2.180934927e-01,2.616160872e-01,7.940660319e-06,2.181333274e-01,3.874000311e-01,-9.949999303e-02,9.499999881e-02,1.319469234e+00,1.524204761e-02,0,0,0,1.092161983e-03,-1.098033071e+00,-2.796103001e+00,-6.740880609e-01,-1.086979173e-04,1.132981415e-04
8.000000000e-02,8.337072155e-05,8.251538848e-04,1.015002401e-02,4.125769309e-04,9.376907083e-05,2.789072917e-01,3.078598114e+00,5.487296550e-02,2.266861555e-20,1.355388580e-20,6.984812620e-21,1.363499003e-03,1.143807312e-04,-1.007552594e-01,-1.003607139e-01,-1.842738129e-04,-6.017113265e-05,7.785910275e-04,1.247448970e-03,-1.097419140e+00,-2.796238837e+00,-6.741545542e-01,-1.033578060e-04,1.249286350e-04,2.616694728e-01,4.111431062e-05,2.181043585e-01,2.616122632e-01,1.029363219e-05,2.181565870e-01,3.874000311e-01,-9.949997813e-02,9.499999881e-02,1.319469234e+00,1.774196886e-02,0,0,0,1.247462118e-03,-1.097408891e+00,-2.796250105e+00,-6.741580963e-01,-1.033468870e-04,1.239656121e-04
9.000000000e-02,1.032895887e-04,8.380024432e-04,3.356032489e-03,4.190012094e-04,9.236648575e-05,2.408295083e-01,3.077425965e+00,5.487934360e-02,1.902808971e-20,1.355258532e-20,8.731015775e-22,1.408019001e-03,1.470919524e-04,-1.009363681e-01,-1.004551724e-01,-2.192597021e-04,-6.073860277e-05,7.684139418e-04,7.415740688e-04,-1.090376820e+00,-2.797508499e+00,-6.749626581e-01,-5.596197679e-05,1.371974154e-04,2.616788224e-01,4.978209004e-05,2.181173838e-01,2.616079484e-01,1.294622161e-05,2.181828722e-01,3.874000311e-01,-9.950000048e-02,9.499999881e-02,1.319469234e+00,2.024195250e-02,0,0,0,7.414834108e-04,-1.090365887e+00,-2.797519684e+00,-6.749664545e-01,-5.604088074e-05,1.361595641e-04
