t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed
0.000000000e+00,3.289203264e-08,5.960464478e-08,0.000000000e+00,3.674056632e-08,1.724734701e-08,5.058832385e-06,5.897156275e+00,1.360300347e-01,5.738369816e-17,0.000000000e+00,0.000000000e+00,1.195124100e-02,-2.762899995e-01,-2.493962049e+00,-1.490350008e+00,-8.564509749e-01,-6.929559708e-01,4.826100171e-02,1.485781753e-08,5.403264576e+00,-2.277569447e+00,-6.272337501e-01,-2.095873099e-02,1.285177699e-04,6.314248239e-01,-5.728085327e-02,8.922459268e-02,6.314248234e-01,-5.728084916e-02,8.922462531e-02,4.846000075e-01,-1.231999993e-01,2.338228002e-02,1.977458018e+00,6.999995187e-02,0,0
1.000000000e-02,6.914986072e-05,1.214676196e-04,5.289017639e-02,6.073381156e-05,4.836231846e-05,2.314357535e+00,6.299259017e+00,1.360339292e-01,1.338550224e-16,4.470280077e-18,5.092577355e-19,1.146189700e-02,-2.762974799e-01,-2.493824005e+00,-1.490298748e+00,-8.564511538e-01,-6.930545568e-01,4.827229679e-02,-1.672158204e-02,5.775437540e+00,-2.421927238e+00,-6.770955551e-01,-2.271006138e-02,-3.082077506e-04,6.314136012e-01,-5.726805796e-02,8.928945557e-02,6.314248239e-01,-5.728084883e-02,8.922243208e-02,4.845999777e-01,-1.231999248e-01,2.250103466e-02,1.977458018e+00,6.999954954e-02,0,0
2.000000000e-02,2.218715304e-04,2.871347436e-04,3.979981814e-02,1.435673722e-04,7.465800765e-05,1.693737921e+00,6.193702439e+00,1.360454422e-01,2.240283882e-16,4.848699518e-19,3.550270672e-19,1.210006200e-02,-2.763128579e-01,-2.493474245e+00,-1.490150452e+00,-8.564216495e-01,-6.930643320e-01,4.823783040e-02,-1.196798788e-02,5.677586356e+00,-2.384357821e+00,-6.641920759e-01,-2.250507795e-02,-1.655889536e-04,6.313981450e-01,-5.727220245e-02,8.943594440e-02,6.314248254e-01,-5.728084785e-02,8.921585263e-02,4.845999777e-01,-1.231999621e-01,2.249994688e-02,1.977458018e+00,6.999947503e-02,0,0
3.000000000e-02,4.446515773e-04,5.611875870e-04,2.702963387e-02,2.805937913e-04,1.158829640e-04,1.003356781e+00,6.077921001e+00,1.360623536e-01,2.354691435e-17,3.151654687e-18,6.776263578e-20,1.240393600e-02,-2.763364911e-01,-2.492966890e+00,-1.489933133e+00,-8.563796282e-01,-6.930391192e-01,4.818198457e-02,-3.459619345e-02,5.569481871e+00,-2.344679514e+00,-6.502611260e-01,-2.090276173e-02,4.712893716e-05,6.313780386e-01,-5.728550587e-02,8.964704610e-02,6.314248280e-01,-5.728084620e-02,8.920488769e-02,4.845999479e-01,-1.231999844e-01,2.249993384e-02,1.977458018e+00,6.999946013e-02,0,0
4.000000000e-02,7.169390101e-04,9.058089680e-04,2.048472325e-02,4.529044689e-04,1.783944987e-04,6.382608971e-01,6.008417497e+00,1.360831219e-01,6.084064999e-17,1.850714074e-18,2.455402273e-19,1.101292300e-02,-2.763713300e-01,-2.492350578e+00,-1.489666224e+00,-8.563293219e-01,-6.930053830e-01,4.811437801e-02,-2.774700507e-02,5.505003204e+00,-2.320128057e+00,-6.417380902e-01,-2.070403329e-02,9.654562417e-05,6.313528179e-01,-5.730586588e-02,8.990241254e-02,6.314248317e-01,-5.728084390e-02,8.918953846e-02,4.845999479e-01,-1.231999844e-01,2.249994874e-02,1.977458018e+00,6.999948248e-02,0,0
5.000000000e-02,1.026889738e-03,1.300500926e-03,1.666668327e-02,6.502504177e-04,2.539064962e-04,4.021272748e-01,5.960162638e+00,1.361064320e-01,2.223290258e-16,1.225511201e-18,8.684463208e-20,1.273440800e-02,-2.764100134e-01,-2.491658926e+00,-1.489366651e+00,-8.562806845e-01,-6.929705739e-01,4.804448038e-02,-2.358173595e-02,5.460051551e+00,-2.303498449e+00,-6.358419728e-01,-2.048155082e-02,1.201034755e-04,6.313244278e-01,-5.732797279e-02,9.019068821e-02,6.314248363e-01,-5.728084093e-02,8.916980661e-02,4.846000075e-01,-1.231999695e-01,2.249994501e-02,1.977458018e+00,6.999950111e-02,0,0
6.000000000e-02,1.360815442e-03,1.724517148e-03,1.365705488e-02,8.622584676e-04,3.377485933e-04,2.581140117e-01,5.919581341e+00,1.361314614e-01,1.113749551e-16,1.507090378e-18,3.965706585e-20,1.371475800e-02,-2.764546871e-01,-2.490922213e+00,-1.489044905e+00,-8.562357426e-01,-6.929375529e-01,4.797282815e-02,-2.130014939e-02,5.422205139e+00,-2.289598672e+00,-6.308804434e-01,-2.021758724e-02,1.393300357e-04,6.312932213e-01,-5.735289623e-02,9.049821129e-02,6.314248421e-01,-5.728083731e-02,8.914569432e-02,4.846000075e-01,-1.231999546e-01,2.249994129e-02,1.977458018e+00,6.999952346e-02,0,0
7.000000000e-02,1.710065149e-03,2.166114656e-03,1.648498073e-02,1.083057116e-03,4.277125370e-04,2.783228102e-01,5.925532734e+00,1.361577055e-01,1.113817097e-16,1.172743958e-18,1.900074457e-19,1.247751600e-02,-2.765059471e-01,-2.490158319e+00,-1.488707423e+00,-8.561925888e-01,-6.929059625e-01,4.789648950e-02,3.101900962e-02,5.427954164e+00,-2.291095812e+00,-6.314023634e-01,-2.237494234e-02,3.182705764e-05,6.312595439e-01,-5.738117187e-02,9.081630081e-02,6.314248488e-01,-5.728083304e-02,8.911720422e-02,4.846000075e-01,-1.231999621e-01,2.249993570e-02,1.977458018e+00,6.999953091e-02,0,0
8.000000000e-02,2.073432985e-03,2.629411414e-03,1.243105718e-02,1.314705328e-03,5.175992879e-04,3.236526452e-01,5.864180101e+00,1.361842592e-01,4.449726336e-16,3.523657061e-19,1.236552066e-19,1.242316600e-02,-2.765472829e-01,-2.489378452e+00,-1.488365889e+00,-8.561590314e-01,-6.928870082e-01,4.781624302e-02,5.817799602e-03,5.370216942e+00,-2.271415342e+00,-6.241579519e-01,-2.106125672e-02,1.582861551e-04,6.312255866e-01,-5.740108480e-02,9.114466810e-02,6.314248566e-01,-5.728082810e-02,8.908433945e-02,4.846000075e-01,-1.231999770e-01,2.249995619e-02,1.977458018e+00,6.999950483e-02,0,0
9.000000000e-02,2.444526032e-03,3.106022132e-03,2.130950174e-02,1.553010442e-03,6.069809903e-04,2.885389116e-01,5.899647940e+00,1.362109320e-01,4.450571607e-16,2.637977740e-18,5.587850096e-20,1.321897300e-02,-2.765591741e-01,-2.488593102e+00,-1.488022923e+00,-8.561343551e-01,-6.928653121e-01,4.773154482e-02,-5.533574698e-02,5.402380206e+00,-2.285120986e+00,-6.284634176e-01,-1.810224968e-02,-9.264486413e-06,6.311935903e-01,-5.740288644e-02,9.147760144e-02,6.314248654e-01,-5.728082251e-02,8.904710360e-02,4.846000075e-01,-1.231999621e-01,2.249992266e-02,1.977458018e+00,6.999949738e-02,0,0
