t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed,dither_on,meas1,meas2,meas3,meas4,meas5,meas6
0.000000000e+00,2.360344501e-10,4.214684851e-08,0.000000000e+00,7.850462293e-17,2.360343530e-10,8.005581081e-08,3.076347321e+00,4.652178912e-02,4.440922711e-16,0.000000000e+00,0.000000000e+00,1.857509599e-02,0.000000000e+00,-3.999999911e-02,-3.999999911e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.282939503e-13,-1.110178847e+00,-2.789057743e+00,-6.727352042e-01,6.747271181e-15,1.304542503e-04,2.605210118e-01,2.261532627e-18,2.022571840e-01,2.605210118e-01,-2.549404298e-17,2.022571842e-01,3.874000013e-01,-9.950000048e-02,8.338221908e-02,1.319468904e+00,1.400000006e-01,0,0,0,-2.390711984e-08,-1.110180378e+00,-2.789053440e+00,-6.727349758e-01,6.752088666e-09,1.304483740e-04
1.000000000e-02,8.352064419e-05,1.093188834e-05,1.215049351e-02,5.465944035e-06,8.144289179e-05,6.879026506e-01,3.031881210e+00,4.657706785e-02,1.940409545e-17,1.518179073e-18,2.172635382e-19,1.791569300e-02,-1.669978701e-06,-4.028678685e-02,-4.031052068e-02,1.563395563e-05,-5.545434306e-06,-6.235285127e-06,-3.439347091e-04,-1.106050326e+00,-2.744312455e+00,-6.615930379e-01,-1.672656789e-04,5.984463048e-05,2.605227889e-01,5.818356885e-07,2.023407126e-01,2.605210119e-01,-2.549404298e-17,2.022572129e-01,3.874000013e-01,-9.950002283e-02,8.250191808e-02,1.319469106e+00,1.400000006e-01,0,0,0,-3.440774162e-04,-1.106042624e+00,-2.744312286e+00,-6.615928411e-01,-1.672467915e-04,5.946070087e-05
2.000000000e-02,1.719675868e-04,2.868209941e-05,1.042604463e-02,1.434105871e-05,1.683175275e-04,6.511547156e-01,3.034612696e+00,4.663557843e-02,2.308997866e-16,6.643727218e-19,3.788046498e-20,2.184113800e-02,-5.261616479e-06,-4.062480852e-02,-4.063922539e-02,2.303546864e-08,-1.954611980e-05,-2.028366362e-05,-3.297804906e-04,-1.104146632e+00,-2.747887081e+00,-6.624582272e-01,-4.442255286e-05,9.667510239e-05,2.605269170e-01,2.213561926e-06,2.024292642e-01,2.605210121e-01,-2.549404298e-17,2.022574123e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000006e-01,0,0,0,-3.298711672e-04,-1.104138732e+00,-2.747890472e+00,-6.624581814e-01,-4.444713704e-05,9.626287647e-05
3.000000000e-02,2.447899743e-04,4.689522088e-05,8.891751353e-03,2.344762345e-05,2.406865087e-04,4.976452188e-01,3.043461670e+00,4.668411173e-02,6.687610098e-16,9.542239741e-19,6.492937121e-20,1.984943499e-02,-8.696840268e-06,-4.093257710e-02,-4.091190174e-02,-3.705376366e-05,-3.456230479e-05,-3.552273483e-05,1.883043401e-04,-1.106527606e+00,-2.756222962e+00,-6.644475253e-01,3.007063067e-05,1.611690422e-04,2.605321292e-01,4.072257584e-06,2.025024536e-01,2.605210127e-01,-2.549404298e-17,2.022579500e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,0,0,1.883543300e-04,-1.106517196e+00,-2.756228924e+00,-6.644476056e-01,3.008660860e-05,1.607722661e-04
4.000000000e-02,3.041805269e-04,6.374731388e-05,1.201391432e-02,3.187364927e-05,3.010772071e-04,4.248495341e-01,3.045940143e+00,4.672457272e-02,4.444813160e-16,8.083719750e-19,2.793925048e-20,1.821196999e-02,-1.166441507e-05,-4.121577740e-02,-4.113924503e-02,-8.916654770e-05,-4.956035991e-05,-4.967851055e-05,1.599510460e-04,-1.109434042e+00,-2.757768489e+00,-6.645452348e-01,-1.545790107e-04,6.846978662e-05,2.605382054e-01,6.049461678e-06,2.025626244e-01,2.605210138e-01,-2.549404298e-17,2.022589904e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000006e-01,0,0,0,1.598397212e-04,-1.109426498e+00,-2.757777214e+00,-6.645458341e-01,-1.546468120e-04,6.798318645e-05
5.000000000e-02,3.508693310e-04,7.939053410e-05,7.832641449e-03,3.969526627e-05,3.506501878e-04,3.578968835e-01,3.051637449e+00,4.675784171e-02,9.331761980e-18,6.386125205e-19,3.091380164e-20,1.865196700e-02,-1.361636896e-05,-4.148059711e-02,-4.132619873e-02,-1.557450742e-04,-6.306980504e-05,-6.209182175e-05,2.534223139e-04,-1.108680302e+00,-2.763945833e+00,-6.662750558e-01,1.881977816e-05,1.589661901e-04,2.605452697e-01,8.018301900e-06,2.026106322e-01,2.605210156e-01,-2.549404298e-17,2.022606940e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,0,0,2.533181105e-04,-1.108674049e+00,-2.763957500e+00,-6.662759781e-01,1.876254100e-05,1.586276048e-04
6.000000000e-02,3.681258039e-04,1.345874100e-04,3.736144930e-02,6.729370848e-05,3.920559420e-04,7.641140249e-01,3.065801726e+00,4.678493125e-02,4.479378593e-16,3.272674662e-18,4.355825238e-19,1.798200200e-02,-1.480512856e-05,-4.181208089e-02,-4.147849232e-02,-2.383276442e-04,-7.565303531e-05,-7.305676263e-05,3.187930605e-04,-1.082898588e+00,-2.787620404e+00,-6.750134424e-01,2.428142810e-04,2.087596956e-04,2.605583360e-01,1.001607231e-05,2.026293110e-01,2.605210184e-01,-2.549404298e-17,2.022632186e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000006e-01,0,0,0,3.189119161e-04,-1.082878590e+00,-2.787682533e+00,-6.750384569e-01,2.428207081e-04,2.084962325e-04
7.000000000e-02,3.141776931e-04,4.845345513e-04,3.081974579e-02,2.422672729e-04,4.300220540e-04,8.154867811e-01,3.061978932e+00,4.680665748e-02,1.138119713e-16,5.545936726e-19,2.185279341e-19,1.797572200e-02,-1.568747030e-05,-4.241846502e-02,-4.160081968e-02,-3.447684576e-04,-8.399267244e-05,-8.061875269e-05,1.194311880e-04,-1.081929181e+00,-2.784102449e+00,-6.737341424e-01,-2.667037041e-04,2.602924847e-05,2.605901753e-01,1.131510320e-05,2.025729817e-01,2.605210222e-01,-2.549404298e-17,2.022667180e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,0,0,1.194638899e-04,-1.081911922e+00,-2.784156799e+00,-6.737562418e-01,-2.668029047e-04,2.569663411e-05
8.000000000e-02,2.693816807e-04,8.145619731e-04,2.005338663e-02,4.072809754e-04,4.611786199e-04,6.061632450e-01,3.063058035e+00,4.682501349e-02,2.244334312e-16,1.912432504e-18,8.258028248e-20,1.867477501e-02,-1.882656397e-05,-4.294771329e-02,-4.170418158e-02,-4.383266496e-04,-9.916368435e-05,-9.333190246e-05,2.634709663e-04,-1.089288581e+00,-2.782657620e+00,-6.727491327e-01,-7.961037815e-05,1.050879635e-04,2.606181420e-01,1.327868944e-05,2.025222592e-01,2.605210272e-01,-2.549404298e-17,2.022713432e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.400000006e-01,0,0,0,2.635442652e-04,-1.089269161e+00,-2.782704353e+00,-6.727685928e-01,-7.958058268e-05,1.045636091e-04
9.000000000e-02,2.344884098e-04,1.106791927e-03,2.131092612e-02,5.533959352e-04,4.862117605e-04,5.596507837e-01,3.068568017e+00,4.684057554e-02,1.282990848e-16,1.581843135e-18,2.718764654e-20,1.815259000e-02,-2.396340460e-05,-4.341012612e-02,-4.179181904e-02,-5.217839498e-04,-1.221650891e-04,-1.140179229e-04,1.482203534e-04,-1.088960832e+00,-2.788475451e+00,-6.742985947e-01,2.487028873e-05,1.633186775e-04,2.606427182e-01,1.615741795e-05,2.024770329e-01,2.605210336e-01,-2.549404298e-17,2.022772415e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.400000006e-01,0,0,0,1.482139924e-04,-1.088948488e+00,-2.788517952e+00,-6.743158102e-01,2.484500874e-05,1.627027959e-04
