t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed
0.000000000e+00,3.289203264e-08,5.960464478e-08,0.000000000e+00,3.674056632e-08,1.724734701e-08,5.058832385e-06,5.897156275e+00,1.360300347e-01,5.738369816e-17,0.000000000e+00,0.000000000e+00,1.221823900e-02,-2.762899995e-01,-2.493962049e+00,-1.490350008e+00,-8.564509749e-01,-6.929559708e-01,4.826100171e-02,1.485781753e-08,5.403264576e+00,-2.277569447e+00,-6.272337501e-01,-2.095873099e-02,1.285177699e-04,6.314248239e-01,-5.728085327e-02,8.922459268e-02,6.314248234e-01,-5.728084916e-02,8.922462531e-02,4.846000075e-01,-1.231999993e-01,2.338228002e-02,1.977458018e+00,6.999995932e-02,0,0
1.000000000e-02,1.929692706e-05,7.472765795e-05,2.872989991e-02,3.736382677e-05,2.122189565e-05,9.330269458e-01,5.950590129e+00,1.360322785e-01,4.497761978e-16,4.336808690e-19,3.297472175e-19,1.241926100e-02,-2.762858570e-01,-2.493921041e+00,-1.490320563e+00,-8.564525247e-01,-6.929859519e-01,4.820398614e-02,3.349034173e-02,5.454179444e+00,-2.293363085e+00,-6.327371251e-01,-2.138378100e-02,-3.028746728e-04,6.314189790e-01,-5.727211557e-02,8.923861659e-02,6.314248239e-01,-5.728084883e-02,8.922243208e-02,4.845999777e-01,-1.231999248e-01,2.250103466e-02,1.977458018e+00,6.999957934e-02,0,0
2.000000000e-02,3.889949604e-05,2.343513899e-04,1.665371145e-02,1.171756958e-04,4.118400046e-05,5.836493301e-01,5.934822226e+00,1.360368863e-01,1.113876197e-16,5.786024465e-18,1.355252716e-20,1.326670900e-02,-2.762626708e-01,-2.493844509e+00,-1.490262270e+00,-8.564251065e-01,-6.928685308e-01,4.804012924e-02,2.693098988e-02,5.439338860e+00,-2.288267961e+00,-6.311451014e-01,-2.163167147e-02,-1.087747106e-04,6.314199262e-01,-5.727458734e-02,8.925393116e-02,6.314248254e-01,-5.728084785e-02,8.921585263e-02,4.846000075e-01,-1.231999621e-01,2.249992453e-02,1.977458018e+00,6.999949366e-02,0,0
3.000000000e-02,6.945996592e-05,4.841065758e-04,1.052242917e-02,2.420532856e-04,1.154359378e-04,3.553737500e-01,5.922832590e+00,1.360428556e-01,4.475552949e-16,1.651407549e-18,1.515218599e-20,1.179302600e-02,-2.762258053e-01,-2.493741035e+00,-1.490187287e+00,-8.563824296e-01,-6.926760077e-01,4.782887548e-02,1.419908423e-02,5.428071398e+00,-2.284386506e+00,-6.300043247e-01,-2.140139910e-02,-4.246051954e-08,6.314245701e-01,-5.728026473e-02,8.927434475e-02,6.314248280e-01,-5.728084620e-02,8.920488769e-02,4.846000075e-01,-1.231999770e-01,2.249992266e-02,1.977458018e+00,6.999950856e-02,0,0
4.000000000e-02,1.036973466e-04,7.671178540e-04,7.267276437e-03,3.835589181e-04,2.082107339e-04,2.188299707e-01,5.908579154e+00,1.360500972e-01,2.436344859e-17,1.226634733e-18,3.788046498e-20,1.192395600e-02,-2.761793435e-01,-2.493625164e+00,-1.490096211e+00,-8.563295007e-01,-6.924434900e-01,4.759745300e-02,1.496834789e-02,5.414556515e+00,-2.279975331e+00,-6.284206961e-01,-2.147629406e-02,4.160677891e-05,6.314296837e-01,-5.728573114e-02,8.929300687e-02,6.314248317e-01,-5.728084390e-02,8.918953846e-02,4.846000075e-01,-1.231999695e-01,2.249992080e-02,1.977458018e+00,6.999950856e-02,0,0
5.000000000e-02,1.439369716e-04,1.077256853e-03,5.222324400e-03,5.386284010e-04,3.119127430e-04,1.324165526e-01,5.898435877e+00,1.360582155e-01,2.247521553e-16,9.995850130e-19,4.725198938e-20,1.358245200e-02,-2.761256993e-01,-2.493496656e+00,-1.489994049e+00,-8.562698960e-01,-6.921856999e-01,4.734712839e-02,1.099475154e-02,5.404942425e+00,-2.276830989e+00,-6.273808138e-01,-2.136006680e-02,8.248715777e-05,6.314351943e-01,-5.729037207e-02,8.931305368e-02,6.314248363e-01,-5.728084093e-02,8.916980661e-02,4.846000075e-01,-1.231999844e-01,2.249997295e-02,1.977458018e+00,6.999951974e-02,0,0
6.000000000e-02,1.890369672e-04,1.394739266e-03,2.030011209e-03,6.973695769e-04,4.209684033e-04,2.490025490e-01,5.872773038e+00,1.360667247e-01,2.438027178e-16,6.705420115e-19,7.051899028e-21,1.127732000e-02,-2.760670781e-01,-2.493365288e+00,-1.489886999e+00,-8.562144041e-01,-6.919164658e-01,4.709599167e-02,1.153450117e-02,5.380658147e+00,-2.268755458e+00,-6.246118227e-01,-2.137107789e-02,2.030251212e-04,6.314410998e-01,-5.729358778e-02,8.933359878e-02,6.314248421e-01,-5.728083731e-02,8.914569432e-02,4.846000075e-01,-1.231999695e-01,2.249993570e-02,1.977458018e+00,6.999954209e-02,0,0
7.000000000e-02,2.350023567e-04,1.712637627e-03,4.765973818e-03,8.563187090e-04,5.335714903e-04,1.334893655e-01,5.885535806e+00,1.360756420e-01,1.283021232e-16,1.413626682e-18,1.863472484e-20,1.277779500e-02,-2.760053873e-01,-2.493236065e+00,-1.489774704e+00,-8.561592102e-01,-6.916390061e-01,4.684560373e-02,5.615244225e-03,5.392683084e+00,-2.272897689e+00,-6.260659347e-01,-2.113966598e-02,8.487136819e-05,6.314466104e-01,-5.729591847e-02,8.935071004e-02,6.314248488e-01,-5.728083304e-02,8.911720422e-02,4.846000075e-01,-1.231999695e-01,2.249992639e-02,1.977458018e+00,6.999952719e-02,0,0
8.000000000e-02,2.823536007e-04,2.035055768e-03,4.366678216e-03,1.017527709e-03,6.480039472e-04,1.818205685e-01,5.879818286e+00,1.360847367e-01,1.115630865e-16,5.838607383e-19,1.515218599e-20,1.314370800e-02,-2.759410441e-01,-2.493111610e+00,-1.489660144e+00,-8.561083078e-01,-6.913576126e-01,4.659010470e-02,3.416097264e-03,5.387243570e+00,-2.271160083e+00,-6.254973864e-01,-2.104804333e-02,1.021632963e-04,6.314519971e-01,-5.729708173e-02,8.936491523e-02,6.314248566e-01,-5.728082810e-02,8.908433945e-02,4.845999479e-01,-1.231999844e-01,2.249994129e-02,1.977458018e+00,6.999952719e-02,0,0
9.000000000e-02,3.318620191e-04,2.356983354e-03,4.879939994e-03,1.178491405e-03,7.625948460e-04,2.119604057e-01,5.876036693e+00,1.360938062e-01,4.454626675e-16,1.693577933e-18,1.561851583e-20,1.118757900e-02,-2.758756578e-01,-2.492994070e+00,-1.489545941e+00,-8.560659289e-01,-6.910765171e-01,4.633586481e-02,1.305064750e-03,5.383633543e+00,-2.270038013e+00,-6.251271474e-01,-2.094864969e-02,9.423075060e-05,6.314574266e-01,-5.729754606e-02,8.937694067e-02,6.314248654e-01,-5.728082251e-02,8.904710360e-02,4.846000075e-01,-1.231999621e-01,2.249991149e-02,1.977458018e+00,6.999953836e-02,0,0
1.000000000e-01,3.820327993e-04,2.671646453e-03,5.843858094e-03,1.335822829e-03,8.762100138e-04,2.506678879e-01,5.876335291e+00,1.361026913e-01,4.925667813e-18,8.741117366e-19,3.405030307e-20,1.278511400e-02,-2.758094370e-01,-2.492888212e+00,-1.489434123e+00,-8.560345173e-01,-6.907987595e-01,4.608894140e-02,-5.774533508e-03,5.383913547e+00,-2.270095378e+00,-6.252968811e-01,-2.070752579e-02,9.305101150e-05,6.314629251e-01,-5.729700740e-02,8.938528901e-02,6.314248752e-01,-5.728081627e-02,8.900550076e-02,4.846000075e-01,-1.231999770e-01,2.249996550e-02,1.977458018e+00,6.999955699e-02,0,0
1.100000000e-01,4.293665697e-04,2.974660217e-03,6.413335335e-03,1.487329560e-03,9.875802851e-04,2.517882481e-01,5.871885273e+00,1.361115129e-01,2.331900863e-16,1.301042607e-18,2.395770964e-20,1.116058900e-02,-2.757440209e-01,-2.492798328e+00,-1.489323020e+00,-8.560128808e-01,-6.905270815e-01,4.584996030e-02,-6.432744250e-04,5.379661550e+00,-2.268814953e+00,-6.247580925e-01,-2.082984477e-02,7.722448333e-05,6.314676133e-01,-5.729587545e-02,8.938650511e-02,6.314248861e-01,-5.728080936e-02,8.895953550e-02,4.846000075e-01,-1.231999695e-01,2.249992639e-02,1.977458018e+00,6.999954209e-02,0,0
1.200000000e-01,4.759118234e-04,3.279960394e-03,6.248198751e-03,1.639979462e-03,1.097521832e-03,2.946935855e-01,5.869233540e+00,1.361202648e-01,2.222922240e-16,3.428548309e-18,2.142842693e-20,1.321615900e-02,-2.756790817e-01,-2.492719173e+00,-1.489212751e+00,-8.559957743e-01,-6.902577877e-01,4.560367018e-02,-1.449000700e-03,5.377138744e+00,-2.267997129e+00,-6.245283757e-01,-2.079641419e-02,9.777529742e-05,6.314718845e-01,-5.729459192e-02,8.938259869e-02,6.314248980e-01,-5.728080181e-02,8.890921284e-02,4.846000075e-01,-1.231999695e-01,2.249991708e-02,1.977458018e+00,6.999954581e-02,0,0
1.300000000e-01,5.224635787e-04,3.584039096e-03,2.394468283e-03,1.792018589e-03,1.205275583e-03,5.215133218e-01,5.848323777e+00,1.361288115e-01,2.241303682e-16,9.215718466e-19,2.659147261e-20,1.233297000e-02,-2.756149471e-01,-2.492652893e+00,-1.489105105e+00,-8.559893370e-01,-6.899933219e-01,4.535587505e-02,9.438788837e-04,5.357375993e+00,-2.261356297e+00,-6.222892870e-01,-2.088702041e-02,2.344053456e-04,6.314760055e-01,-5.729308521e-02,8.937435218e-02,6.314249109e-01,-5.728079360e-02,8.885453832e-02,4.846000075e-01,-1.231999770e-01,2.249996737e-02,1.977458018e+00,6.999956816e-02,0,0
1.400000000e-01,5.674622809e-04,3.879847280e-03,3.044620710e-03,1.939922423e-03,1.311227071e-03,5.467627231e-01,5.835994678e+00,1.361367873e-01,8.055264624e-18,9.996768824e-19,1.357897114e-20,1.312253800e-02,-2.755514383e-01,-2.492606640e+00,-1.489004850e+00,-8.559972644e-01,-6.897339821e-01,4.511609301e-02,1.841444140e-03,5.346007520e+00,-2.256826790e+00,-6.207539315e-01,-2.077110700e-02,2.048035155e-04,6.314807049e-01,-5.729140130e-02,8.936013224e-02,6.314249249e-01,-5.728078474e-02,8.879551792e-02,4.846000075e-01,-1.231999770e-01,2.249996550e-02,1.977458018e+00,6.999957561e-02,0,0
1.500000000e-01,6.121924748e-04,4.170427773e-03,3.533039519e-03,2.085212375e-03,1.415090275e-03,5.279096200e-01,5.848861570e+00,1.361443014e-01,2.282002194e-16,7.971835632e-19,1.036569006e-19,1.404305700e-02,-2.754890323e-01,-2.492576122e+00,-1.488910556e+00,-8.560162783e-01,-6.894797087e-01,4.488046467e-02,6.277377648e-05,5.357890486e+00,-2.261487614e+00,-6.224392674e-01,-2.083979053e-02,2.024047913e-04,6.314857711e-01,-5.728979745e-02,8.934125401e-02,6.314249399e-01,-5.728077523e-02,8.873215812e-02,4.846000075e-01,-1.231999695e-01,2.249992639e-02,1.977458018e+00,6.999956444e-02,0,0
