t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed,dither_on,meas1,meas2,meas3,meas4,meas5,meas6
0.000000000e+00,7.077025289e-07,4.214684851e-08,0.000000000e+00,5.138953192e-16,7.077025286e-07,2.441866748e-04,3.076360306e+00,4.652178912e-02,4.440922711e-16,0.000000000e+00,0.000000000e+00,1.909062100e-02,0.000000000e+00,-3.999999911e-02,-3.999999911e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.667900515e-06,-1.110181405e+00,-2.789070306e+00,-6.727382809e-01,-1.170187098e-07,1.304548491e-04,2.605210118e-01,2.261532627e-18,2.022571840e-01,2.605210118e-01,8.102508477e-08,2.022578870e-01,3.874000013e-01,-9.950000048e-02,8.338221908e-02,1.319468904e+00,1.400000006e-01,0,0,0,1.645052521e-06,-1.110182405e+00,-2.789066315e+00,-6.727382541e-01,-1.098960638e-07,1.304488105e-04
1.000000000e-02,8.130913279e-05,9.917414070e-06,1.488131988e-02,4.958650744e-06,7.970888160e-05,4.973774492e-01,3.040760583e+00,4.657780225e-02,5.552649127e-16,1.413135518e-18,4.743384505e-20,2.066896300e-02,-6.367230299e-08,-4.028772190e-02,-4.031464458e-02,2.066398883e-05,-4.158816409e-06,-6.512404070e-06,8.948862908e-04,-1.108936564e+00,-2.752515121e+00,-6.634337059e-01,-1.991175309e-04,7.230032933e-05,2.605226220e-01,7.461418131e-07,2.023412510e-01,2.605207610e-01,2.526031507e-07,2.022599647e-01,3.874000013e-01,-9.950002283e-02,8.250191808e-02,1.319469106e+00,1.399999931e-01,0,0,0,8.948203758e-04,-1.108925700e+00,-2.752514839e+00,-6.634336710e-01,-1.990961900e-04,7.201269182e-05
2.000000000e-02,1.678147852e-04,2.822877801e-05,1.164334208e-02,1.411439052e-05,1.651829536e-04,4.355784411e-01,3.046751355e+00,4.663959301e-02,1.447589895e-17,1.078234822e-18,8.287082235e-20,1.825151101e-02,2.349668193e-06,-4.063256830e-02,-4.066177085e-02,1.873811198e-05,-1.204888031e-05,-2.190981286e-05,1.062249968e-03,-1.107015341e+00,-2.759462035e+00,-6.652660993e-01,-4.661471513e-05,1.363731737e-04,2.605261918e-01,2.822136601e-06,2.024338697e-01,2.605200111e-01,7.650353345e-07,2.022661814e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,1.062325086e-03,-1.107010603e+00,-2.759463787e+00,-6.652663946e-01,-4.661295679e-05,1.360092574e-04
3.000000000e-02,2.386141368e-04,4.836186960e-05,1.111751733e-02,2.418094455e-05,2.362071030e-04,3.743669132e-01,3.050774834e+00,4.669406524e-02,4.465634925e-16,1.047183163e-19,9.583083854e-21,1.798630701e-02,8.367516784e-06,-4.095610231e-02,-4.096780345e-02,1.866380103e-06,-1.810084541e-05,-3.926289719e-05,1.268662474e-03,-1.107325609e+00,-2.763543724e+00,-6.662443318e-01,-1.826728399e-04,1.063036087e-04,2.605306188e-01,5.500429785e-06,2.025148010e-01,2.605187663e-01,1.614858884e-06,2.022765131e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.268754480e-03,-1.107319236e+00,-2.763547897e+00,-6.662449837e-01,-1.827548258e-04,1.058341877e-04
4.000000000e-02,2.953272522e-04,7.346881185e-05,1.023285475e-02,3.673441474e-05,2.945638525e-04,3.626786585e-01,3.053941893e+00,4.674245864e-02,6.687101518e-16,1.765817960e-18,6.776263578e-21,1.838903800e-02,1.780151069e-05,-4.126078635e-02,-4.123970121e-02,-2.475624751e-05,-2.519275404e-05,-5.946169040e-05,9.157261953e-04,-1.105965325e+00,-2.767344491e+00,-6.672371020e-01,-2.444007333e-04,6.665535363e-05,2.605356794e-01,9.259828335e-06,2.025856026e-01,2.605170307e-01,2.798598390e-06,2.022909356e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,9.158101166e-04,-1.105956435e+00,-2.767348766e+00,-6.672377586e-01,-2.444366692e-04,6.609584671e-05
5.000000000e-02,3.398527961e-04,1.040660655e-04,8.601001736e-03,5.203303021e-05,3.420489128e-04,3.163924577e-01,3.058387355e+00,4.678602729e-02,4.441075429e-16,1.200380397e-18,2.272827899e-20,1.855553400e-02,3.124902651e-05,-4.154914618e-02,-4.148450494e-02,-5.691408296e-05,-3.224555985e-05,-8.208833606e-05,8.697719091e-04,-1.105918440e+00,-2.771980384e+00,-6.684321652e-01,-2.182891210e-04,8.556395207e-05,2.605411534e-01,1.405818750e-05,2.026481145e-01,2.605148083e-01,4.312766184e-06,2.023094245e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,8.697870653e-04,-1.105912685e+00,-2.771986485e+00,-6.684336662e-01,-2.182357130e-04,8.476803487e-05
6.000000000e-02,3.735822948e-04,1.412014882e-04,9.701962058e-03,7.060074253e-05,3.800791107e-04,2.263190042e-01,3.062818232e+00,4.682576854e-02,2.748622006e-18,1.613035697e-18,4.762253958e-20,1.845931601e-02,4.814868589e-05,-4.182228819e-02,-4.170781374e-02,-8.991901996e-05,-4.027268733e-05,-1.073152889e-04,1.198813934e-03,-1.108804909e+00,-2.775541992e+00,-6.691579650e-01,-1.160628910e-04,1.259501250e-04,2.605468058e-01,1.993512992e-05,2.027036674e-01,2.605121031e-01,6.153862723e-06,2.023319558e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,1.198873273e-03,-1.108795404e+00,-2.775547981e+00,-6.691592932e-01,-1.160298125e-04,1.251243957e-04
7.000000000e-02,3.979061903e-04,1.837359824e-04,7.924036139e-03,9.186799093e-05,4.098889905e-04,2.399863493e-01,3.065600382e+00,4.686254288e-02,1.156836720e-16,5.703174902e-19,2.142842693e-20,1.815172301e-02,6.874959945e-05,-4.208183661e-02,-4.191445932e-02,-1.210365081e-04,-4.794670531e-05,-1.341393217e-04,1.123577511e-03,-1.107450081e+00,-2.778923720e+00,-6.701057302e-01,-9.693509624e-05,1.273466381e-04,2.605524792e-01,2.671218624e-05,2.027535919e-01,2.605089189e-01,8.318376972e-06,2.023585052e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.123530092e-03,-1.107444286e+00,-2.778931141e+00,-6.701077223e-01,-9.702780517e-05,1.264717139e-04
8.000000000e-02,4.142681037e-04,2.308899995e-04,7.329609686e-03,1.154449997e-04,4.325917179e-04,2.350722042e-01,3.067809888e+00,4.689713256e-02,2.235639141e-16,1.300604090e-18,5.127173761e-20,1.892077499e-02,9.321988910e-05,-4.232837632e-02,-4.210883379e-02,-1.476587931e-04,-5.422031973e-05,-1.624929719e-04,9.966283574e-04,-1.107121869e+00,-2.781337089e+00,-6.707470819e-01,-1.493748843e-04,1.150020805e-04,2.605579747e-01,3.424114608e-05,2.027992797e-01,2.605052597e-01,1.080278678e-05,2.023890483e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,9.965770878e-04,-1.107114792e+00,-2.781344414e+00,-6.707491875e-01,-1.494001917e-04,1.139533415e-04
9.000000000e-02,4.236811855e-04,2.831957968e-04,9.583441764e-03,1.415978972e-04,4.491131557e-04,1.867904587e-01,3.071454207e+00,4.693013649e-02,7.488357843e-18,1.389657965e-18,4.285685386e-20,1.793176901e-02,1.209381007e-04,-4.256433994e-02,-4.229430109e-02,-1.690608187e-04,-6.069236406e-05,-1.923867967e-04,1.236340587e-03,-1.110262325e+00,-2.783984881e+00,-6.712489421e-01,-7.820404480e-05,1.422115444e-04,2.605632672e-01,4.265330599e-05,2.028416527e-01,2.605011293e-01,1.360355925e-05,2.024235609e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.236298587e-03,-1.110255718e+00,-2.783991575e+00,-6.712509394e-01,-7.824570639e-05,1.411543053e-04
1.000000000e-01,3.624306757e-04,5.253838133e-04,3.062554102e-02,2.626919037e-04,4.639386552e-04,8.251444030e-01,3.073956713e+00,4.696141394e-02,2.484775411e-17,6.064204591e-19,2.168470518e-19,1.804328701e-02,1.534239709e-04,-4.310103506e-02,-4.247023910e-02,-2.061880805e-04,-6.373868382e-05,-2.203829645e-04,6.848122953e-04,-1.079855302e+00,-2.797209634e+00,-6.773035949e-01,-1.621499673e-04,8.812025975e-05,2.605879427e-01,5.168315164e-05,2.028109848e-01,2.604965315e-01,1.671715109e-05,2.024620187e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,6.848171470e-04,-1.079841137e+00,-2.797259092e+00,-6.773272157e-01,-1.621204428e-04,8.688941307e-05
1.100000000e-01,2.980419572e-04,8.534687186e-04,2.411669086e-02,4.267343470e-04,4.750615181e-04,6.827572604e-01,3.076664678e+00,4.699249780e-02,6.683513109e-16,9.498864425e-19,5.423657194e-20,1.859057300e-02,1.894372544e-04,-4.365145043e-02,-4.264510050e-02,-2.307208197e-04,-6.517170550e-05,-2.489161561e-04,8.520721534e-04,-1.084452594e+00,-2.798421227e+00,-6.772488397e-01,-1.330677793e-04,1.145555562e-04,2.606135143e-01,6.133847358e-05,2.027731666e-01,2.604914700e-01,2.014000901e-05,2.025043974e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,8.520582342e-04,-1.084437609e+00,-2.798462391e+00,-6.772696972e-01,-1.330158120e-04,1.133526239e-04
1.200000000e-01,2.510448481e-04,1.152129295e-03,2.033648251e-02,5.760646156e-04,4.819489817e-04,5.570053861e-01,3.079905857e+00,4.702390417e-02,1.134529487e-16,7.928024788e-19,5.587850096e-20,1.811081500e-02,2.291901474e-04,-4.413977265e-02,-4.282174259e-02,-2.389967267e-04,-6.407076580e-05,-2.775580797e-04,1.129260157e-03,-1.088272752e+00,-2.800426619e+00,-6.775632440e-01,-4.585692526e-05,1.685003605e-04,2.606350794e-01,7.150498885e-05,2.027469232e-01,2.604859486e-01,2.386857002e-05,2.025506726e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,1.129174721e-03,-1.088257432e+00,-2.800461292e+00,-6.775810719e-01,-4.582417387e-05,1.673199149e-04
1.300000000e-01,2.237894298e-04,1.413991500e-03,1.386824037e-02,7.069956910e-04,4.850564112e-04,5.172620375e-01,3.080224416e+00,4.705586333e-02,3.283727916e-17,2.921127044e-18,2.715794227e-20,1.867065199e-02,2.729047847e-04,-4.457853362e-02,-4.300146550e-02,-2.371257724e-04,-5.958690235e-05,-3.054336703e-04,1.031012415e-03,-1.090605265e+00,-2.799985883e+00,-6.770824017e-01,-5.303590160e-05,1.371421009e-04,2.606533751e-01,8.208488011e-05,2.027314977e-01,2.604799710e-01,2.789926182e-05,2.026008201e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.031069551e-03,-1.090593934e+00,-2.800013542e+00,-6.770981550e-01,-5.307016545e-05,1.359443850e-04
1.400000000e-01,2.164031551e-04,1.638242131e-03,1.180410669e-02,8.191209739e-04,4.847006321e-04,5.397945605e-01,3.079909140e+00,4.708863911e-02,2.236149573e-16,9.327843341e-19,3.030437199e-20,1.873435100e-02,3.205131216e-04,-4.496905953e-02,-4.318575189e-02,-2.229023958e-04,-5.101645002e-05,-3.328667080e-04,7.343895731e-04,-1.090106863e+00,-2.799859494e+00,-6.769738397e-01,-1.468933923e-04,9.123380017e-05,2.606684041e-01,9.293114058e-05,2.027267444e-01,2.604735407e-01,3.222850314e-05,2.026548154e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,7.343667094e-04,-1.090096354e+00,-2.799881458e+00,-6.769869328e-01,-1.469366252e-04,8.999090642e-05
1.500000000e-01,2.251585988e-04,1.828458344e-03,9.237542286e-03,9.142290445e-04,4.813332650e-04,5.157952524e-01,3.081329234e+00,4.712244292e-02,2.238775127e-16,8.548371248e-19,2.304178730e-20,1.881616800e-02,3.721162211e-04,-4.531977698e-02,-4.337579384e-02,-1.991378667e-04,-3.904081677e-05,-3.598858020e-04,6.377240175e-04,-1.091260277e+00,-2.800937058e+00,-6.771203875e-01,-1.441400457e-04,9.478114111e-05,2.606806413e-01,1.041949813e-04,2.027319745e-01,2.604666615e-01,3.685270405e-05,2.027126342e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,6.377082318e-04,-1.091251373e+00,-2.800954103e+00,-6.771315336e-01,-1.441131753e-04,9.348861931e-05
1.600000000e-01,2.441758810e-04,1.988014024e-03,3.723801528e-03,9.940068481e-04,4.753843829e-04,4.098918351e-01,3.083406460e+00,4.715746596e-02,8.957685288e-18,1.438670743e-18,1.955527412e-20,1.821182300e-02,4.267556360e-04,-4.563517496e-02,-4.357266799e-02,-1.660729613e-04,-2.581381341e-05,-3.881059820e-04,8.872667972e-04,-1.095824441e+00,-2.801486439e+00,-6.769321309e-01,-1.064034114e-04,1.211253125e-04,2.606903132e-01,1.160212884e-04,2.027467153e-01,2.604593369e-01,4.176826633e-05,2.027742522e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,8.873237530e-04,-1.095815659e+00,-2.801497936e+00,-6.769407988e-01,-1.063946693e-04,1.198111422e-04
1.700000000e-01,2.683230436e-04,2.120031775e-03,2.694354201e-03,1.060015689e-03,4.672312040e-04,3.633913790e-01,3.084404540e+00,4.719388408e-02,4.461539636e-16,1.219968410e-18,3.205602875e-20,1.866778200e-02,4.848166136e-04,-4.592060298e-02,-4.377736524e-02,-1.245783060e-04,-1.040847837e-05,-4.170189204e-04,1.105161076e-03,-1.099054055e+00,-2.801387196e+00,-6.766535911e-01,-3.651424781e-05,1.482220568e-04,2.606977058e-01,1.283403270e-04,2.027704080e-01,2.604515704e-01,4.697158377e-05,2.028396448e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.105270814e-03,-1.099045992e+00,-2.801395416e+00,-6.766603589e-01,-3.646325786e-05,1.469154231e-04
1.800000000e-01,2.942202550e-04,2.227395803e-03,2.842180905e-03,1.113697671e-03,4.572400965e-04,3.861379060e-01,3.084352267e+00,4.723186126e-02,8.426964171e-17,4.472031153e-19,9.827042481e-20,1.825516199e-02,5.463829148e-04,-4.618054628e-02,-4.399080947e-02,-7.511723379e-05,7.987814570e-06,-4.464160593e-04,9.437381955e-04,-1.098551552e+00,-2.801522868e+00,-6.766698595e-01,-8.790772745e-05,1.328892128e-04,2.607030531e-01,1.410247104e-04,2.028025610e-01,2.604433656e-01,5.245904252e-05,2.029087877e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,9.437834378e-04,-1.098546982e+00,-2.801526546e+00,-6.766756773e-01,-8.794010500e-05,1.315281843e-04
1.900000000e-01,3.199969455e-04,2.312460008e-03,4.797111345e-03,1.156229747e-03,4.457246190e-04,3.997183420e-01,3.084937858e+00,4.727150572e-02,2.226543413e-16,9.594360038e-19,3.715376565e-20,1.922340899e-02,6.113353884e-04,-4.641964287e-02,-4.421361163e-02,-1.930268445e-05,2.914465040e-05,-4.754808033e-04,1.091899526e-03,-1.099325175e+00,-2.801864196e+00,-6.766694648e-01,-4.499693606e-05,1.446151309e-04,2.607066175e-01,1.540854629e-04,2.028427887e-01,2.604347261e-01,5.822702140e-05,2.029816565e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.092051622e-03,-1.099319220e+00,-2.801863194e+00,-6.766736507e-01,-4.495074973e-05,1.432239515e-04
2.000000000e-01,3.444341360e-04,2.376852536e-03,6.175036624e-03,1.188425988e-03,4.330824372e-04,3.826884198e-01,3.086431804e+00,4.731302401e-02,1.802487570e-17,9.425235186e-19,3.214264040e-20,1.909446200e-02,6.800008123e-04,-4.664078727e-02,-4.444693401e-02,4.292634549e-05,5.391008381e-05,-5.034223432e-04,1.110470293e-03,-1.100745994e+00,-2.802895867e+00,-6.768995759e-01,-1.986558740e-05,1.778428813e-04,2.607085196e-01,1.674520418e-04,2.028909649e-01,2.604256553e-01,6.427189222e-05,2.030582267e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,1.110465033e-03,-1.100739360e+00,-2.802893162e+00,-6.769019365e-01,-1.989153679e-05,1.765195921e-04
2.100000000e-01,3.673749134e-04,2.423840742e-03,8.502168901e-03,1.211920074e-03,4.195871931e-04,4.128054657e-01,3.085581326e+00,4.735644789e-02,7.240192087e-18,1.125510353e-18,4.097398765e-20,2.125182199e-02,7.525271503e-04,-4.685047269e-02,-4.469095916e-02,1.086307093e-04,8.259023161e-05,-5.298229516e-04,1.039859920e-03,-1.101083097e+00,-2.801923029e+00,-6.765015655e-01,-4.907323067e-05,1.373810667e-04,2.607091640e-01,1.811068760e-04,2.029463880e-01,2.604161566e-01,7.059002008e-05,2.031384739e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.039853203e-03,-1.101078033e+00,-2.801918030e+00,-6.765030622e-01,-4.910096686e-05,1.360759488e-04
2.200000000e-01,3.880860299e-04,2.453476599e-03,8.929758799e-03,1.226737992e-03,4.055160934e-04,2.000358610e+01,3.112819464e+00,4.740189078e-02,4.497657542e-16,1.345826342e-18,6.784728620e-20,1.775172401e-02,8.286921657e-04,-4.704697058e-02,-4.494632408e-02,1.798803569e-04,1.150718526e-04,-5.552496295e-04,6.709168153e-04,-1.897532751e+00,-2.417303367e+00,-4.956394230e-01,1.477084473e-05,1.405846325e-04,2.607084016e-01,1.950123871e-04,2.030092535e-01,2.604062335e-01,7.717776372e-05,2.032223737e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,1,0,6.707473658e-04,-1.897538304e+00,-2.417359829e+00,-4.956644475e-01,1.471058931e-05,1.396289299e-04
2.300000000e-01,4.789934653e-04,2.807056161e-03,2.471847901e-02,1.403527620e-03,3.958333647e-04,7.821260471e-01,3.090033750e+00,4.744862626e-02,8.883394491e-16,2.767003848e-19,2.172635382e-19,1.824991200e-02,9.084276971e-04,-4.761342332e-02,-4.520915821e-02,2.353060700e-04,1.502691302e-04,-5.794932367e-04,9.671793242e-04,-1.078823338e+00,-2.814156104e+00,-6.818894633e-01,-2.539400124e-05,1.661733808e-04,2.607305662e-01,2.093717160e-04,2.029909720e-01,2.603958895e-01,8.403147579e-05,2.033099016e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,9.671617299e-04,-1.078803658e+00,-2.814186573e+00,-6.819102764e-01,-2.534745727e-05,1.647835597e-04
2.400000000e-01,5.624441812e-04,3.100258335e-03,1.776916834e-02,1.550128547e-03,3.855699646e-04,7.568090985e-01,3.089248912e+00,4.749804084e-02,2.463172200e-17,2.331216396e-18,8.809142651e-20,1.793472000e-02,9.916034760e-04,-4.811324552e-02,-4.548701271e-02,3.066586214e-04,1.892136352e-04,-6.031920202e-04,6.018416865e-04,-1.080881850e+00,-2.812685627e+00,-6.811405501e-01,-1.183620394e-04,9.373190254e-05,2.607477707e-01,2.239397579e-04,2.029921321e-01,2.603851280e-01,9.114750316e-05,2.034010330e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,6.019921857e-04,-1.080867529e+00,-2.812706470e+00,-6.811573505e-01,-1.183684217e-04,9.230656724e-05
2.500000000e-01,6.353925301e-04,3.337513623e-03,8.144031274e-03,1.668756037e-03,3.748250759e-04,5.921481662e-01,3.089965415e+00,4.755009454e-02,2.221545121e-16,9.854551331e-19,2.731599177e-20,1.815148500e-02,1.077819150e-03,-4.855297506e-02,-4.577966779e-02,3.928869264e-04,2.306234528e-04,-6.276001222e-04,1.097131472e-03,-1.088311898e+00,-2.810856045e+00,-6.801106915e-01,-3.510929570e-05,1.450872075e-04,2.607604419e-01,2.388465893e-04,2.030113279e-01,2.603739523e-01,9.852218724e-05,2.034957436e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.097150729e-03,-1.088298678e+00,-2.810868979e+00,-6.801236272e-01,-3.510796523e-05,1.436769380e-04
