t,pos_err,ori_err,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,sigma_min,c0,c1,c2,runtime,q1,q2,q3,q4,q5,q6,tau1,tau2,tau3,tau4,tau5,tau6,px,py,pz,pd_x,pd_y,pd_z,cube_x,cube_y,cube_z,cube_yaw,gripper_width,tau_sat,governed,dither_on,meas1,meas2,meas3,meas4,meas5,meas6
0.000000000e+00,7.077025289e-07,4.214684851e-08,0.000000000e+00,5.138953192e-16,7.077025286e-07,2.441866748e-04,3.076360306e+00,4.652178912e-02,4.440922711e-16,0.000000000e+00,0.000000000e+00,1.852122800e-02,0.000000000e+00,-3.999999911e-02,-3.999999911e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.667900515e-06,-1.110181405e+00,-2.789070306e+00,-6.727382809e-01,-1.170187098e-07,1.304548491e-04,2.605210118e-01,2.261532627e-18,2.022571840e-01,2.605210118e-01,8.102508477e-08,2.022578870e-01,3.874000013e-01,-9.950000048e-02,8.338221908e-02,1.319468904e+00,1.400000006e-01,0,0,0,1.645052521e-06,-1.110182405e+00,-2.789066315e+00,-6.727382541e-01,-1.098960638e-07,1.304488105e-04
1.000000000e-02,8.133263036e-05,9.803650501e-06,1.418199695e-02,4.901771492e-06,7.972056112e-05,5.469475989e-01,3.039214199e+00,4.657777775e-02,5.552079721e-16,1.375411887e-18,1.767033353e-19,1.815791900e-02,-2.393318823e-07,-4.028718919e-02,-4.031450674e-02,2.101374048e-05,-4.194673238e-06,-6.381733783e-06,7.635636953e-04,-1.106414499e+00,-2.751832342e+00,-6.633913005e-01,-2.468990904e-04,4.847040115e-05,2.605225951e-01,7.069399560e-07,2.023412181e-01,2.605207334e-01,2.412304657e-07,2.022599081e-01,3.874000013e-01,-9.950002283e-02,8.250191808e-02,1.319469106e+00,1.399999931e-01,0,0,0,7.635136135e-04,-1.106405377e+00,-2.751831055e+00,-6.633912921e-01,-2.468106104e-04,4.812074621e-05
2.000000000e-02,1.679137800e-04,2.753200740e-05,1.122860155e-02,1.376599331e-05,1.652614059e-04,5.031158731e-01,3.044467789e+00,4.663952490e-02,3.334519044e-16,7.545255210e-19,1.396962524e-20,1.812973901e-02,2.293094667e-06,-4.063023254e-02,-4.066138715e-02,2.062893145e-05,-1.225420419e-05,-2.087091343e-05,7.704800239e-04,-1.104426513e+00,-2.758033489e+00,-6.650389635e-01,-2.198537531e-04,7.774694024e-05,2.605260615e-01,2.845049467e-06,2.024337432e-01,2.605199014e-01,7.196964980e-07,2.022659559e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,7.703860174e-04,-1.104417562e+00,-2.758036137e+00,-6.650387645e-01,-2.198623843e-04,7.730197831e-05
3.000000000e-02,2.385777725e-04,4.972584248e-05,1.143768527e-02,2.486292308e-05,2.362756028e-04,4.244629776e-01,3.049084548e+00,4.669380956e-02,2.238324681e-16,2.521050234e-18,3.649129614e-20,1.795189001e-02,8.051395525e-06,-4.095179215e-02,-4.096636549e-02,5.171597877e-06,-2.086813947e-05,-3.934368578e-05,7.443819787e-04,-1.105713225e+00,-2.762380250e+00,-6.660101997e-01,-2.347917209e-04,5.515983430e-05,2.605304160e-01,5.925569546e-06,2.025142476e-01,2.605185203e-01,1.513187936e-06,2.022760074e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,7.443828508e-04,-1.105704069e+00,-2.762384176e+00,-6.660105586e-01,-2.348676935e-04,5.471179611e-05
4.000000000e-02,2.953130478e-04,7.702632626e-05,9.171676339e-03,3.851316160e-05,2.946773083e-04,3.548028421e-01,3.054610118e+00,4.674200365e-02,1.131491463e-16,3.737943279e-19,5.765426682e-20,1.834383899e-02,1.707937554e-05,-4.125257581e-02,-4.123714194e-02,-1.857506322e-05,-3.003415623e-05,-6.085645509e-05,1.060732917e-03,-1.106001638e+00,-2.768018176e+00,-6.674410589e-01,-1.343357002e-04,1.182096066e-04,2.605352835e-01,9.959541668e-06,2.025846692e-01,2.605165948e-01,2.618456425e-06,2.022900395e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,1.060839044e-03,-1.105994344e+00,-2.768022537e+00,-6.674417853e-01,-1.343279146e-04,1.175146172e-04
5.000000000e-02,3.396899779e-04,1.075276011e-04,9.406552776e-03,5.376380085e-05,3.420737819e-04,3.302112216e-01,3.057493562e+00,4.678521718e-02,1.112911995e-16,5.671384932e-19,4.065758147e-20,1.873215700e-02,3.000235301e-05,-4.153612256e-02,-4.147994891e-02,-4.763933975e-05,-3.746454240e-05,-8.329220873e-05,7.651406948e-04,-1.105961191e+00,-2.771041817e+00,-6.681641568e-01,-2.046567190e-04,7.370565388e-05,2.605405514e-01,1.469042660e-05,2.026465223e-01,2.605141293e-01,4.032240914e-06,2.023080292e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,7.651089109e-04,-1.105954885e+00,-2.771047354e+00,-6.681651473e-01,-2.046583686e-04,7.297752745e-05
6.000000000e-02,3.732285680e-04,1.442905746e-04,1.143930191e-02,7.214528944e-05,3.800492139e-04,1.989552908e-01,3.062850392e+00,4.682456492e-02,2.221276913e-16,1.248734056e-18,5.572783225e-20,1.859753700e-02,4.613890633e-05,-4.180368781e-02,-4.170104489e-02,-7.669741899e-05,-4.516751869e-05,-1.086727716e-04,1.022177828e-03,-1.110437266e+00,-2.774983080e+00,-6.689166173e-01,-9.467058339e-05,1.171067825e-04,2.605459584e-01,2.030900190e-05,2.027012678e-01,2.605111283e-01,5.751268056e-06,2.023299533e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,1.022176235e-03,-1.110430360e+00,-2.774990082e+00,-6.689178944e-01,-9.461765876e-05,1.163401903e-04
7.000000000e-02,3.972735026e-04,1.876885387e-04,7.836032772e-03,9.384426939e-05,4.096831073e-04,2.469872122e-01,3.064892320e+00,4.686080735e-02,4.606249871e-17,1.242009532e-18,1.975603348e-20,1.842097800e-02,6.520943134e-05,-4.205530509e-02,-4.190469906e-02,-1.024718513e-04,-5.365313700e-05,-1.370465761e-04,8.877970124e-04,-1.107038859e+00,-2.778332743e+00,-6.699971945e-01,-1.563235026e-04,1.149618103e-04,2.605512751e-01,2.683598118e-05,2.027501932e-01,2.605075960e-01,7.772252601e-06,2.023557887e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,8.877752698e-04,-1.107030272e+00,-2.778339148e+00,-6.699989438e-01,-1.563655533e-04,1.140228851e-04
8.000000000e-02,4.132483725e-04,2.359294430e-04,7.050361748e-03,1.179647215e-04,4.321735094e-04,2.757734879e-01,3.066777474e+00,4.689479769e-02,4.307180007e-17,5.472885383e-20,3.388131789e-21,1.882289600e-02,8.683988563e-05,-4.229156300e-02,-4.209570214e-02,-1.215542216e-04,-6.216725160e-05,-1.671463251e-04,8.060524234e-04,-1.105843998e+00,-2.780727677e+00,-6.706608886e-01,-1.711302062e-04,8.993897786e-05,2.605562799e-01,3.403558436e-05,2.027946810e-01,2.605035369e-01,1.009189779e-05,2.023855122e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,8.060469409e-04,-1.105837703e+00,-2.780733585e+00,-6.706628799e-01,-1.710637298e-04,8.892197366e-05
9.000000000e-02,4.050334867e-04,3.216688941e-04,3.561726438e-02,1.608344461e-04,4.493172945e-04,7.505455237e-01,3.080555865e+00,4.692687152e-02,2.239970619e-16,4.237196469e-18,1.084731439e-19,1.808063900e-02,1.122846297e-04,-4.259741679e-02,-4.227598384e-02,-1.422880596e-04,-6.827204925e-05,-1.969159493e-04,9.823646789e-04,-1.081198889e+00,-2.803505651e+00,-6.791085766e-01,5.201616778e-05,1.953932537e-04,2.605662124e-01,4.178826112e-05,2.028174510e-01,2.604989552e-01,1.270689572e-05,2.024191008e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,9.823931614e-04,-1.081181169e+00,-2.803560019e+00,-6.791341305e-01,5.201855674e-05,1.944339892e-04
1.000000000e-01,3.331960024e-04,6.377834616e-04,2.610534468e-02,3.188917246e-04,4.650499292e-04,7.301747052e-01,3.074497131e+00,4.695754044e-02,5.580537092e-16,2.443734299e-18,2.206191582e-19,1.861397701e-02,1.417019230e-04,-4.317836836e-02,-4.244852811e-02,-1.721608569e-04,-7.086017285e-05,-2.248782985e-04,8.439735270e-04,-1.083289714e+00,-2.796574664e+00,-6.768939456e-01,-1.209262793e-04,1.001088968e-04,2.605938057e-01,4.993446681e-05,2.027725241e-01,2.604938550e-01,1.561392773e-05,2.024565312e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,8.439073572e-04,-1.083273649e+00,-2.796619415e+00,-6.769162416e-01,-1.208751928e-04,9.904272156e-05
1.100000000e-01,2.763458160e-04,9.542127978e-04,1.704480978e-02,4.771063813e-04,4.760565503e-04,4.947769061e-01,3.078679736e+00,4.698814700e-02,2.224556471e-16,6.933053141e-19,5.917117787e-20,1.862636699e-02,1.751350646e-04,-4.369192570e-02,-4.262068868e-02,-1.842925703e-04,-7.000976620e-05,-2.524532028e-04,1.352509115e-03,-1.091248945e+00,-2.798118137e+00,-6.767404927e-01,-5.304832053e-05,1.518521817e-04,2.606171664e-01,5.849787545e-05,2.027389646e-01,2.604882404e-01,1.880966479e-05,2.024977801e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.352532418e-03,-1.091234446e+00,-2.798155308e+00,-6.767594218e-01,-5.300523480e-05,1.509446156e-04
1.200000000e-01,2.367379383e-04,1.235895628e-03,1.665859710e-02,6.179477750e-04,4.827320087e-04,5.728412815e-01,3.078145582e+00,4.701892359e-02,1.111042212e-16,3.109537697e-18,8.424465525e-20,1.784920000e-02,2.126090694e-04,-4.414954036e-02,-4.279377684e-02,-1.842451893e-04,-6.495801063e-05,-2.790910949e-04,7.556261890e-04,-1.088594544e+00,-2.798527490e+00,-6.768939616e-01,-1.120867271e-04,1.139840563e-04,2.606369613e-01,6.734510513e-05,2.027161385e-01,2.604821155e-01,2.229076781e-05,2.025428245e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,7.556463243e-04,-1.088584185e+00,-2.798558235e+00,-6.769107580e-01,-1.121011446e-04,1.129349548e-04
1.300000000e-01,2.161851844e-04,1.480317879e-03,1.406584399e-02,7.401588715e-04,4.854242772e-04,4.821811961e-01,3.081370394e+00,4.705011870e-02,5.556701167e-16,2.810322139e-18,9.636837940e-20,1.785216000e-02,2.531482314e-04,-4.455380142e-02,-4.296918958e-02,-1.703547023e-04,-5.854649135e-05,-3.065630735e-04,1.173478992e-03,-1.091650523e+00,-2.800781038e+00,-6.773232654e-01,-3.794438532e-06,1.872130755e-04,2.606532778e-01,7.674276659e-05,2.027036955e-01,2.604754844e-01,2.605388804e-05,2.025916411e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.173375873e-03,-1.091637135e+00,-2.800805807e+00,-6.773374677e-01,-3.882334568e-06,1.861335622e-04
1.400000000e-01,2.139522220e-04,1.689948790e-03,7.558163538e-03,8.449742943e-04,4.847085844e-04,4.387979485e-01,3.080965873e+00,4.708203241e-02,1.127738982e-16,4.817946217e-19,1.727615011e-20,1.975964301e-02,2.971173089e-04,-4.491557926e-02,-4.314861819e-02,-1.470756688e-04,-4.982346218e-05,-3.337634553e-04,9.454118425e-04,-1.094047282e+00,-2.799559703e+00,-6.766652081e-01,-8.826807087e-05,1.250651720e-04,2.606667229e-01,8.661132591e-05,2.027010408e-01,2.604683510e-01,3.009566741e-05,2.026442065e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,9.454121464e-04,-1.094039202e+00,-2.799577475e+00,-6.766771078e-01,-8.825116674e-05,1.240169513e-04
1.500000000e-01,2.255055847e-04,1.867069566e-03,7.519495869e-03,9.335346477e-04,4.809688167e-04,4.163641967e-01,3.083374661e+00,4.711492121e-02,5.769989959e-17,1.321440425e-18,4.433794751e-20,1.832383800e-02,3.443204914e-04,-4.523654655e-02,-4.333350435e-02,-1.117313004e-04,-3.786311572e-05,-3.617912880e-04,1.155412666e-03,-1.094963811e+00,-2.801719173e+00,-6.772162569e-01,-2.995222267e-05,1.911061795e-04,2.606773203e-01,9.672969614e-05,2.027078004e-01,2.604607192e-01,3.441273886e-05,2.027004976e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.155334408e-03,-1.094952226e+00,-2.801733017e+00,-6.772258282e-01,-2.995214891e-05,1.899866620e-04
1.600000000e-01,2.456059704e-04,2.014365675e-03,4.449455372e-03,1.007182667e-03,4.745291411e-04,4.806233411e-01,3.081194440e+00,4.714888967e-02,3.369303483e-16,1.300058815e-18,4.235376489e-20,1.926149600e-02,3.949653183e-04,-4.552558810e-02,-4.352444038e-02,-6.945641508e-05,-2.311045500e-05,-3.888102074e-04,6.318319168e-04,-1.093721187e+00,-2.799948382e+00,-6.766252825e-01,-1.519340566e-04,8.522596823e-05,2.606856098e-01,1.072335245e-04,2.027234799e-01,2.604525929e-01,3.900172668e-05,2.027604912e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,6.318184896e-04,-1.093713284e+00,-2.799958944e+00,-6.766334176e-01,-1.518925419e-04,8.405657718e-05
1.700000000e-01,2.696088662e-04,2.133994407e-03,3.230449464e-03,1.066997001e-03,4.658260031e-04,3.684378234e-01,3.083676629e+00,4.718416565e-02,5.562398429e-16,2.007848063e-19,5.156476122e-20,1.862521800e-02,4.488824925e-04,-4.578524083e-02,-4.372270778e-02,-1.960292866e-05,-6.040916105e-06,-4.159803793e-04,8.489252452e-04,-1.099212915e+00,-2.800580112e+00,-6.764191130e-01,-4.783702024e-05,1.229329690e-04,2.606916822e-01,1.181656341e-04,2.027479463e-01,2.604439759e-01,4.385924690e-05,2.028241638e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,8.489990141e-04,-1.099205136e+00,-2.800585270e+00,-6.764255762e-01,-4.774222907e-05,1.217754616e-04
1.800000000e-01,2.945951286e-04,2.228821780e-03,3.743626387e-03,1.114410659e-03,4.551142295e-04,3.842182006e-01,3.085234228e+00,4.722082180e-02,9.696494562e-17,6.566108446e-19,3.788046498e-20,1.853287801e-02,5.056626396e-04,-4.601794481e-02,-4.392871633e-02,3.841798025e-05,1.265951960e-05,-4.441040219e-04,1.104420564e-03,-1.098990233e+00,-2.802259007e+00,-6.769297707e-01,-9.823516036e-06,1.797902181e-04,2.606956658e-01,1.295448448e-04,2.027806655e-01,2.604348721e-01,4.898190752e-05,2.028914921e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,1.104323077e-03,-1.098981738e+00,-2.802260399e+00,-6.769345403e-01,-9.900657460e-06,1.785776985e-04
1.900000000e-01,3.191336614e-04,2.302546655e-03,5.261541254e-03,1.151273073e-03,4.430650728e-04,3.817379153e-01,3.086057423e+00,4.725922209e-02,1.128112067e-16,6.047619868e-19,1.033380196e-19,1.788331100e-02,5.660790484e-04,-4.623140767e-02,-4.414451495e-02,1.031463325e-04,3.465914051e-05,-4.716207040e-04,1.117896354e-03,-1.100160721e+00,-2.802700720e+00,-6.769521351e-01,-1.112721077e-05,1.925158097e-04,2.606979419e-01,1.412667431e-04,2.028211983e-01,2.604252851e-01,5.436630893e-05,2.029624530e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.117805718e-03,-1.100153923e+00,-2.802699089e+00,-6.769554615e-01,-1.115328632e-05,1.913587912e-04
2.000000000e-01,3.561154665e-04,2.429070487e-03,2.927967511e-02,1.214534945e-03,4.308793092e-04,7.522939996e-01,3.092674766e+00,4.729908031e-02,1.126670852e-18,2.145777048e-18,1.761828530e-19,1.811145899e-02,6.297789514e-04,-4.651034623e-02,-4.436854273e-02,1.662996365e-04,6.000243957e-05,-4.976043710e-04,1.237400401e-03,-1.079551556e+00,-2.816597184e+00,-6.826304752e-01,7.864339852e-05,2.139122750e-04,2.607039209e-01,1.532342963e-04,2.028505335e-01,2.604152188e-01,6.000904418e-05,2.030370230e-01,3.874000013e-01,-9.950000793e-02,8.250000328e-02,1.319469363e+00,1.399999931e-01,0,0,0,1.237378223e-03,-1.079531670e+00,-2.816640377e+00,-6.826560497e-01,7.860222831e-05,2.127157350e-04
2.100000000e-01,4.475654335e-04,2.798481925e-03,2.608948304e-02,1.399240506e-03,4.221971357e-04,8.035883238e-01,3.089524035e+00,4.734039594e-02,4.455886419e-16,2.670094002e-18,3.388131789e-20,1.821025900e-02,6.984829670e-04,-4.706412554e-02,-4.460091144e-02,2.186137863e-04,9.149797552e-05,-5.193981342e-04,1.042749588e-03,-1.077886151e+00,-2.813951408e+00,-6.819065643e-01,-1.565263498e-05,1.790466758e-04,2.607267493e-01,1.653910916e-04,2.028207524e-01,2.604046767e-01,6.590669930e-05,2.031151788e-01,3.874000013e-01,-9.949998558e-02,8.250000328e-02,1.319469106e+00,1.399999931e-01,0,0,0,1.042669988e-03,-1.077866197e+00,-2.813983679e+00,-6.819273233e-01,-1.561921090e-05,1.779400918e-04
