group,gamma,kappa,lam_min,cert_level,cert_ok,certified_l2,measured_l2,T_rms_ss,O_rms_ss,exi_rms,E_exi,E_d,hinf_lhs,hinf_rhs,sat_steps,qdd_peak
A,1.000000e+00,1.000000e+00,2.400000e+01,1.000000e+00,1,4.166667e-02,1.465562e-01,7.030705e-04,6.017517e-04,1.145004e-01,1.048828e-01,4.883102e+00,1.048828e-01,6.074734e+00,0,1.181254e+01
A,7.500000e-01,5.625000e-01,2.400000e+01,1.388889e+00,1,4.166667e-02,1.465562e-01,7.030705e-04,6.017517e-04,1.145004e-01,1.048828e-01,4.883102e+00,1.048828e-01,6.074734e+00,0,1.181254e+01
A,5.000000e-01,2.500000e-01,2.400000e+01,2.500000e+00,1,4.166667e-02,1.465562e-01,7.030705e-04,6.017517e-04,1.145004e-01,1.048828e-01,4.883102e+00,1.048828e-01,6.074734e+00,0,1.181254e+01
A,3.500000e-01,1.225000e-01,2.400000e+01,4.581633e+00,1,4.166667e-02,1.465562e-01,7.030705e-04,6.017517e-04,1.145004e-01,1.048828e-01,4.883102e+00,1.048828e-01,6.074734e+00,0,1.181254e+01
A,2.500000e-01,6.250000e-02,2.400000e+01,8.500000e+00,1,4.166667e-02,1.465562e-01,7.030705e-04,6.017517e-04,1.145004e-01,1.048828e-01,4.883102e+00,1.048828e-01,6.074734e+00,0,1.181254e+01
A,2.000000e-01,4.000000e-02,2.400000e+01,1.300000e+01,1,4.166667e-02,1.465562e-01,7.030705e-04,6.017517e-04,1.145004e-01,1.048828e-01,4.883102e+00,1.048828e-01,6.074734e+00,0,1.181254e+01
A,1.500000e-01,2.250000e-02,2.400000e+01,2.272222e+01,1,4.166667e-02,1.465562e-01,7.030705e-04,6.017517e-04,1.145004e-01,1.048828e-01,4.883102e+00,1.048828e-01,6.074734e+00,0,1.181254e+01
A,1.400000e-01,1.960000e-02,2.400000e+01,2.601020e+01,0,4.166667e-02,1.465562e-01,7.030705e-04,6.017517e-04,1.145004e-01,1.048828e-01,4.883102e+00,1.048828e-01,6.074734e+00,0,1.181254e+01
B,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,1,1.000000e+00,4.383636e-01,1.799433e-01,1.203897e-01,3.461569e-01,9.585967e-01,4.988464e+00,9.585967e-01,5.003633e+00,0,3.312420e+00
B,7.070000e-01,4.998490e-01,2.000604e+00,2.000604e+00,1,4.998490e-01,3.279788e-01,1.698688e-02,1.280883e-02,2.531360e-01,5.126229e-01,4.765478e+00,1.025555e+00,2.442730e+00,0,2.041076e+00
B,5.000000e-01,2.500000e-01,4.000000e+00,4.000000e+00,1,2.500000e-01,2.140415e-01,5.846812e-03,4.497937e-03,1.670073e-01,2.231316e-01,4.870404e+00,8.925263e-01,1.460299e+00,0,1.560183e+00
B,3.540000e-01,1.253160e-01,7.979827e+00,7.979827e+00,1,1.253160e-01,1.507772e-01,3.000684e-03,2.405631e-03,1.179769e-01,1.113484e-01,4.897931e+00,8.885408e-01,1.579691e+00,0,2.478911e+00
B,2.500000e-01,6.250000e-02,1.600000e+01,1.600000e+01,1,6.250000e-02,1.626233e-01,9.464369e-04,8.314135e-04,1.270996e-01,1.292344e-01,4.886670e+00,2.067751e+00,4.188584e+00,0,9.450033e+00
B,2.000000e-01,4.000000e-02,2.500000e+01,2.500000e+01,1,4.000000e-02,1.980815e-01,3.934431e-04,3.624607e-04,1.547124e-01,1.914874e-01,4.880368e+00,4.787186e+00,9.675603e+00,0,2.307137e+01
B,1.770000e-01,3.132900e-02,3.191931e+01,3.191931e+01,1,3.132900e-02,2.231549e-01,2.394388e-04,2.243481e-04,1.742549e-01,2.429182e-01,4.878062e+00,7.753781e+00,1.560726e+01,0,3.760974e+01
C,1.000000e+00,nan,nan,nan,0,nan,8.089717e-02,1.018557e-03,7.935113e-04,6.314230e-02,3.189560e-02,4.873760e+00,3.189560e-02,1.620406e+00,0,8.196786e+00
C,7.070000e-01,nan,nan,nan,0,nan,9.158470e-02,9.919532e-04,7.738025e-04,7.154161e-02,4.094561e-02,4.881593e+00,4.094561e-02,1.622364e+00,0,1.146118e+01
C,5.000000e-01,nan,nan,nan,0,nan,1.046163e-01,8.664265e-04,8.287670e-04,8.175955e-02,5.347699e-02,4.886165e+00,5.347699e-02,1.623507e+00,0,1.617271e+01
C,3.540000e-01,nan,nan,nan,0,nan,1.198967e-01,6.912286e-04,8.014984e-04,9.371335e-02,7.025753e-02,4.887407e+00,7.025753e-02,1.623817e+00,0,2.284281e+01
C,2.500000e-01,nan,nan,nan,0,nan,1.374768e-01,5.175645e-04,7.095262e-04,1.074488e-01,9.236195e-02,4.886908e+00,9.236195e-02,1.623693e+00,0,3.234542e+01
C,1.770000e-01,nan,nan,nan,0,nan,1.569426e-01,3.741794e-04,5.840872e-04,1.226546e-01,1.203533e-01,4.886257e+00,1.203533e-01,1.623530e+00,5,4.568562e+01
