t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,5.209133248e-02,3.139971842e+01,1.944238155e-06,0.000000000e+00,4.609262e-16,0.000000e+00,0.000000e+00,1.314776e-02
0.150000,1.523445452e-04,5.541775050e-04,3.968829463e-03,2.770887516e-04,1.124807354e-04,2.599864199e-01,3.173470197e+01,8.591244390e-06,9.301533274e-02,1.557223e-15,1.519788e-18,2.828075e-19,8.892432e-03
0.300000,6.244803490e-05,2.634745640e-04,1.433303443e-03,1.317372884e-04,1.163074055e-04,2.224162108e-01,3.151303550e+01,1.274236385e-06,5.211926484e-03,1.777709e-15,5.708942e-18,5.066012e-19,9.329563e-03
0.450000,7.981908646e-05,1.436282293e-04,7.868262260e-04,7.181412234e-05,1.311844775e-04,1.808768428e-01,3.148347715e+01,4.884808374e-07,3.576619246e-03,1.111746e-15,8.357645e-18,7.732988e-19,8.773612e-03
0.600000,1.005860849e-04,1.245115956e-04,4.360347239e-04,6.225580862e-05,1.400602295e-04,1.295507518e-01,3.145129454e+01,2.830043689e-07,2.843738796e-03,1.332607e-15,1.697767e-17,2.764182e-18,1.352770e-02
0.750000,1.118034232e-04,1.401553002e-04,2.445152144e-04,7.007766461e-05,1.438646586e-04,7.374460284e-02,3.141826314e+01,2.347571975e-07,2.572932634e-03,2.000191e-15,7.746847e-19,1.200084e-18,1.353730e-02
0.900000,1.160071528e-04,1.563055015e-04,1.398476047e-04,7.815276604e-05,1.446847130e-04,2.279038948e-02,3.138735352e+01,2.261108444e-07,2.515915527e-03,2.443439e-15,8.290136e-18,2.622637e-19,8.843132e-03
1.050000,1.159131363e-04,1.680439803e-04,8.212261473e-05,8.402199806e-05,1.440872704e-04,4.454370856e-02,3.136071051e+01,2.259387631e-07,2.548866517e-03,1.335430e-15,1.482282e-17,5.017940e-19,1.360819e-02
1.200000,1.134135133e-04,1.763900320e-04,5.199783466e-05,8.819502831e-05,1.430875887e-04,9.200939937e-02,3.133946245e+01,2.273712558e-07,2.616353621e-03,2.223882e-15,2.409116e-17,6.336361e-19,1.032692e-02
1.350000,1.097810950e-04,1.826422338e-04,4.390203099e-05,9.132112325e-05,1.422874467e-04,1.339210838e-01,3.132378783e+01,2.296458144e-07,2.692701509e-03,1.115576e-15,1.659329e-17,1.042531e-18,8.856073e-03
1.500000,1.058798768e-04,1.876410357e-04,5.182933245e-05,9.382052225e-05,1.419933225e-04,1.680348685e-01,3.131314390e+01,2.330582920e-07,2.764972179e-03,8.882177e-16,1.306183e-17,2.625281e-19,8.764932e-03
1.650000,1.022899331e-04,1.918350144e-04,6.525457799e-05,9.591751390e-05,1.423069708e-04,1.934836090e-01,3.130657817e+01,2.377406273e-07,2.826337403e-03,1.341424e-15,3.611387e-18,3.006889e-19,9.227253e-03
1.800000,9.937463571e-05,1.954241792e-04,7.842594548e-05,9.771209761e-05,1.431994136e-04,2.098160454e-01,3.130305590e+01,2.435051232e-07,2.873395652e-03,1.554458e-15,6.136776e-18,7.112554e-20,9.155413e-03
1.950000,9.732381057e-05,1.984688653e-04,8.902853997e-05,9.923444094e-05,1.445727581e-04,2.168003017e-01,3.130174874e+01,2.499530937e-07,2.904888945e-03,1.555373e-15,1.252109e-18,5.987664e-21,1.365037e-02
2.100000,9.493671402e-05,1.986468294e-04,8.885366402e-05,9.932342624e-05,1.443047796e-04,2.379743120e-02,3.119704664e+01,2.494595861e-07,3.561291420e-03,2.221467e-15,9.814613e-20,2.826917e-23,8.841433e-03
2.250000,9.965424093e-05,1.964887525e-04,7.715664458e-05,9.824438488e-05,1.485537918e-04,2.315906824e-02,3.119984442e+01,2.567380797e-07,2.626820598e-03,1.777745e-15,4.694973e-20,1.933680e-23,8.830312e-03
2.400000,1.034075733e-04,1.953056652e-04,4.353343468e-05,9.765284382e-05,1.518048314e-04,2.319109923e-02,3.119966959e+01,2.615938579e-07,2.614130900e-03,2.229515e-15,1.044201e-19,9.341615e-24,9.386743e-03
2.550000,1.057093883e-04,1.946354493e-04,2.421569579e-05,9.731773409e-05,1.537998658e-04,2.321843704e-02,3.119958657e+01,2.652943207e-07,2.616606643e-03,1.779487e-15,3.847014e-20,2.701953e-23,8.643762e-03
2.700000,1.070469319e-04,1.942503440e-04,1.346913777e-05,9.712517794e-05,1.549613223e-04,2.323464479e-02,3.119957677e+01,2.676612018e-07,2.618249600e-03,1.111119e-15,6.075795e-20,3.702877e-25,8.969212e-03
