t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,5.209133248e-02,3.139971842e+01,1.944238155e-06,0.000000000e+00,4.609262e-16,0.000000e+00,0.000000e+00,1.332876e-02
0.050000,7.844917762e-04,1.439582106e-03,1.203199627e-02,7.197909924e-04,3.220590331e-04,2.913050212e-01,3.207537669e+01,7.735903586e-05,1.249537899e+00,1.998615e-15,2.371692e-20,1.648736e-19,8.786421e-03
0.100000,3.135929713e-04,8.057046993e-04,1.131172809e-02,4.028523414e-04,1.434780842e-04,3.253835991e-01,3.232463135e+01,6.544060398e-05,1.214862477e-01,2.220720e-15,2.328124e-18,1.504575e-19,8.601301e-03
0.150000,1.325352707e-04,5.547984697e-04,4.072379123e-03,2.773992343e-04,1.048870299e-04,2.610526758e-01,3.175634486e+01,8.995748856e-06,7.420755020e-02,1.557235e-15,2.341278e-18,2.001580e-19,8.765171e-03
0.200000,8.837927701e-05,4.280174501e-04,2.342709816e-03,2.140087270e-04,1.030460003e-04,2.465094063e-01,3.158942972e+01,3.195490347e-06,2.086709526e-02,1.556413e-15,2.390200e-18,1.531889e-19,1.083784e-02
0.250000,7.901100212e-05,3.357619307e-04,1.792911807e-03,1.678809690e-04,1.075279014e-04,2.366123184e-01,3.153769941e+01,1.925236529e-06,8.555493653e-03,1.554401e-15,7.684399e-18,3.996022e-19,8.820171e-03
0.300000,7.948263944e-05,2.642537191e-04,1.452963420e-03,1.321268686e-04,1.139592728e-04,2.259253854e-01,3.151682634e+01,1.299105152e-06,5.760937430e-03,2.444626e-15,2.778616e-18,3.332098e-19,8.729131e-03
0.350000,8.376400220e-05,2.098273563e-04,1.187920510e-03,1.049136860e-04,1.207309568e-04,2.137777921e-01,3.150449953e+01,9.102403329e-07,4.798276545e-03,1.776377e-15,1.010612e-17,2.199664e-19,8.812791e-03
0.400000,8.944696156e-05,1.705873844e-04,9.732256821e-04,8.529370119e-05,1.270691357e-04,2.001780302e-01,3.149422967e+01,6.609567598e-07,4.221342851e-03,1.557793e-15,7.041865e-18,1.047108e-18,8.842062e-03
0.450000,9.527342735e-05,1.450747974e-04,7.982325774e-04,7.253740667e-05,1.326551883e-04,1.852747311e-01,3.148416306e+01,5.014602186e-07,3.798823961e-03,1.110408e-15,1.057304e-17,6.392675e-19,8.618541e-03
0.500000,1.006199442e-04,1.314399392e-04,6.553290429e-04,6.571998412e-05,1.374056627e-04,1.692501114e-01,3.147383694e+01,4.003235368e-07,3.480251073e-03,1.777168e-15,9.217337e-18,1.034574e-18,8.630011e-03
0.550000,1.052249394e-04,1.269454332e-04,5.385364617e-04,6.347272701e-05,1.413476038e-04,1.522951475e-01,3.146320531e+01,3.370742177e-07,3.242447573e-03,1.339762e-15,1.034798e-17,1.992045e-18,8.650291e-03
0.600000,1.090181478e-04,1.284046678e-04,4.430688020e-04,6.420234797e-05,1.445545869e-04,1.346038501e-01,3.145234598e+01,2.982987423e-07,3.068138265e-03,1.782366e-15,1.766382e-17,2.587165e-18,8.894792e-03
0.650000,1.120234615e-04,1.330842620e-04,3.650483070e-04,6.654214566e-05,1.471155804e-04,1.163733089e-01,3.144137117e+01,2.751969424e-07,2.942993208e-03,1.999521e-15,7.439501e-18,7.689564e-19,8.694391e-03
0.700000,1.143070413e-04,1.391375163e-04,3.013049461e-04,6.956876371e-05,1.491203295e-04,9.780849249e-02,3.143039894e+01,2.620058198e-07,2.855261728e-03,9.024277e-16,1.622393e-17,1.447720e-18,8.736281e-03
0.750000,1.159505948e-04,1.455011461e-04,2.492327496e-04,7.275058789e-05,1.506528554e-04,7.913732004e-02,3.141954305e+01,2.549699288e-07,2.795592320e-03,2.223828e-15,1.048191e-17,1.258730e-18,8.763621e-03
0.800000,1.170380544e-04,1.516305496e-04,2.066834356e-04,7.581528532e-05,1.517889175e-04,6.065610843e-02,3.140890874e+01,2.516616849e-07,2.756739419e-03,1.565009e-15,5.209615e-18,6.212285e-19,8.776401e-03
0.850000,1.176492683e-04,1.572812475e-04,1.718855414e-04,7.864063776e-05,1.525953968e-04,4.288790882e-02,3.139859051e+01,2.505299600e-07,2.733200424e-03,2.223338e-15,2.202728e-17,2.719451e-18,8.609561e-03
0.900000,1.178573299e-04,1.623707681e-04,1.433825660e-04,8.118539716e-05,1.531305846e-04,2.728705132e-02,3.138867082e+01,2.505996372e-07,2.720851534e-03,2.000834e-15,6.622021e-18,2.599219e-18,8.827242e-03
0.950000,1.177277647e-04,1.668992744e-04,1.199862863e-04,8.344964717e-05,1.534448636e-04,1.939614889e-02,3.137921936e+01,2.512717126e-07,2.716624482e-03,1.790497e-15,4.469703e-18,1.135015e-18,8.953632e-03
1.000000,1.173186360e-04,1.709060138e-04,1.007425590e-04,8.545301407e-05,1.535815256e-04,2.643121251e-02,3.137029272e+01,2.521905524e-07,2.718240787e-03,1.112012e-15,1.469691e-17,5.233413e-19,8.626921e-03
1.050000,1.166810704e-04,1.744459130e-04,8.490739257e-05,8.722296656e-05,1.535775949e-04,4.076709361e-02,3.136193441e+01,2.531560210e-07,2.724004098e-03,1.778884e-15,1.426814e-17,5.906240e-19,8.677581e-03
1.100000,1.158599425e-04,1.775773650e-04,7.193111319e-05,8.878869001e-05,1.534645992e-04,5.661375523e-02,3.135417522e+01,2.540655599e-07,2.732643406e-03,1.338052e-15,3.884895e-18,6.847232e-19,8.942802e-03
1.150000,1.148945834e-04,1.803560247e-04,6.144740947e-05,9.017801908e-05,1.532692631e-04,7.251471150e-02,3.134703376e+01,2.548762292e-07,2.743197327e-03,1.346514e-15,6.745217e-18,2.117545e-18,8.671981e-03
1.200000,1.138194463e-04,1.828320695e-04,5.326004028e-05,9.141604037e-05,1.530141188e-04,8.801136787e-02,3.134051731e+01,2.555800198e-07,2.754929992e-03,1.110748e-15,1.288210e-17,9.178807e-19,8.650461e-03
1.250000,1.126647018e-04,1.850491739e-04,4.731106591e-05,9.252459683e-05,1.527180379e-04,1.029002159e-01,3.133462279e+01,2.561879695e-07,2.767270448e-03,1.786059e-15,7.586634e-18,4.276666e-19,8.660000e-03
1.300000,1.114567538e-04,1.870445157e-04,4.360649530e-05,9.352226665e-05,1.523966937e-04,1.170661195e-01,3.132933792e+01,2.567200961e-07,2.779769238e-03,1.570075e-15,5.651876e-18,1.208753e-18,8.811511e-03
1.350000,1.102186778e-04,1.888491362e-04,4.209509175e-05,9.442457845e-05,1.520629612e-04,1.304330511e-01,3.132464244e+01,2.571991599e-07,2.792067343e-03,1.999645e-15,3.742660e-18,2.471507e-19,8.611961e-03
1.400000,1.089705905e-04,1.904886420e-04,4.256210314e-05,9.524433049e-05,1.517272677e-04,1.429459140e-01,3.132050947e+01,2.576469363e-07,2.803874000e-03,1.777203e-15,1.184097e-18,8.296710e-19,8.654241e-03
1.450000,1.077299599e-04,1.919838684e-04,4.462971681e-05,9.599194144e-05,1.513979001e-04,1.545625500e-01,3.131690688e+01,2.580821216e-07,2.814950820e-03,1.333415e-15,1.593240e-17,1.235839e-18,8.994492e-03
1.500000,1.065118675e-04,1.933515719e-04,4.785809050e-05,9.667579449e-05,1.510812786e-04,1.652496753e-01,3.131379867e+01,2.585192943e-07,2.825100439e-03,1.555534e-15,7.762087e-18,1.459090e-19,8.891221e-03
