t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,5.208955576e-02,3.139973410e+01,1.944238155e-06,4.609262e-16,0.000000e+00,0.000000e+00,1.434709e-02
0.150000,1.522336755e-04,5.541831160e-04,3.968944068e-03,2.770915575e-04,1.123992367e-04,2.600603013e-01,3.173454555e+01,8.591565066e-06,1.570781e-15,2.818458e-18,1.575846e-19,1.309247e-02
0.300000,6.241150919e-05,2.635133279e-04,1.433789908e-03,1.317566676e-04,1.165210525e-04,2.224838178e-01,3.151296931e+01,1.275372551e-06,1.114189e-15,1.911800e-18,1.432569e-19,9.072993e-03
0.450000,8.086671788e-05,1.437109271e-04,7.871708182e-04,7.185547462e-05,1.319368724e-04,1.808770062e-01,3.148340341e+01,4.903833287e-07,1.571456e-15,7.237327e-18,4.239052e-19,8.705598e-03
0.600000,1.025617839e-04,1.245903331e-04,4.359543565e-04,6.229518141e-05,1.414165556e-04,1.295114383e-01,3.145122150e+01,2.860627550e-07,1.777590e-15,2.971385e-18,5.188782e-19,1.327738e-02
0.750000,1.145427934e-04,1.402006791e-04,2.439047126e-04,7.010035108e-05,1.457466580e-04,7.368484423e-02,3.141819560e+01,2.389939347e-07,1.566984e-15,1.058249e-17,1.267276e-18,8.767047e-03
0.900000,1.193136727e-04,1.563238089e-04,1.389043718e-04,7.816191846e-05,1.469246552e-04,2.274671741e-02,3.138729561e+01,2.312163307e-07,2.220475e-15,6.944323e-18,3.358657e-19,1.334694e-02
1.050000,1.195464675e-04,1.680432008e-04,8.134466917e-05,8.402161021e-05,1.464725923e-04,4.461090973e-02,3.136066501e+01,2.314192879e-07,1.558919e-15,7.745002e-18,3.070812e-18,8.783926e-03
1.200000,1.171095279e-04,1.763762725e-04,5.176918032e-05,8.818814649e-05,1.454029457e-04,9.207852664e-02,3.133943027e+01,2.326933504e-07,1.776895e-15,1.211529e-17,1.309165e-18,9.399248e-03
1.350000,1.132808668e-04,1.826203736e-04,4.349770743e-05,9.131019487e-05,1.443520558e-04,1.339853821e-01,3.132376800e+01,2.343465669e-07,1.564434e-15,1.579137e-17,1.054202e-18,1.127285e-02
1.500000,1.089611197e-04,1.876152606e-04,4.994441693e-05,9.380763525e-05,1.436879719e-04,1.680923167e-01,3.131313391e+01,2.368160681e-07,8.908987e-16,4.075640e-18,1.443001e-19,8.798206e-03
1.650000,1.047952698e-04,1.918089926e-04,6.150279322e-05,9.590450096e-05,1.435852995e-04,1.935330812e-01,3.130657465e+01,2.404065891e-07,8.885001e-16,3.804312e-18,2.767502e-19,8.990463e-03
1.800000,1.012290623e-04,1.954011149e-04,7.292455538e-05,9.770056918e-05,1.440815932e-04,2.098566451e-01,3.130305533e+01,2.450982492e-07,2.221498e-15,3.540117e-18,1.765020e-19,8.873815e-03
1.950000,9.853374228e-05,1.984515300e-04,8.208142679e-05,9.922577571e-05,1.451247092e-04,2.168311398e-01,3.130174824e+01,2.506241666e-07,2.221466e-15,1.120207e-18,1.427279e-20,9.112712e-03
2.100000,9.341660886e-05,1.986707084e-04,7.960709936e-05,9.933536428e-05,1.427683939e-04,2.495189095e-02,3.119526070e+01,2.451712762e-07,1.998668e-15,6.297167e-20,3.989860e-24,9.678855e-03
2.250000,9.810696379e-05,1.964565792e-04,9.166017825e-05,9.822829798e-05,1.471528319e-04,2.314721151e-02,3.119998461e+01,2.546228299e-07,1.562342e-15,3.728950e-20,6.310142e-23,8.965994e-03
2.400000,1.023876847e-04,1.952895136e-04,5.205098288e-05,9.764476547e-05,1.509015160e-04,2.317785708e-02,3.119976844e+01,2.598007945e-07,1.814043e-15,4.072310e-20,1.713897e-23,8.776986e-03
2.550000,1.051016999e-04,1.946287366e-04,2.895191380e-05,9.731438064e-05,1.532634241e-04,2.320945055e-02,3.119964190e+01,2.640972333e-07,2.442869e-15,4.318787e-20,1.497133e-23,9.179270e-03
2.700000,1.066997838e-04,1.942479161e-04,1.609629201e-05,9.712396498e-05,1.546531575e-04,2.322918049e-02,3.119960753e+01,2.669348550e-07,1.348001e-15,6.340925e-20,2.077157e-23,9.379298e-03
2.850000,1.441325365e-02,1.886390117e-02,8.716780028e-02,9.431810738e-03,8.272218051e-03,5.609459540e+00,1.810613014e+01,5.058221865e-03,1.779241e-15,1.150328e-17,6.946513e-18,8.853535e-03
3.000000,1.783475976e-02,2.336548068e-02,1.023264802e-02,1.168247458e-02,1.023126805e-02,3.375519526e+00,2.295141518e+01,1.981626010e-03,1.776581e-15,2.098717e-18,2.757739e-20,9.045582e-03
3.150000,1.822240111e-02,2.400062820e-02,1.951464067e-03,1.200002608e-02,1.046744470e-02,3.143109312e+00,2.341532131e+01,2.030448302e-03,1.776358e-15,8.810185e-19,1.547873e-20,9.687954e-03
3.300000,1.827595607e-02,2.414620602e-02,7.122386409e-04,1.207280972e-02,1.050454666e-02,3.120024727e+00,2.346615129e+01,2.049039521e-03,2.221477e-15,6.463527e-19,1.373897e-21,8.909884e-03
3.450000,1.828763218e-02,2.420262464e-02,3.615308478e-04,1.210101697e-02,1.051479486e-02,3.118594468e+00,2.347112707e+01,2.056029533e-03,1.113445e-15,2.043931e-19,2.787361e-21,1.223552e-02
3.600000,1.784273883e-02,2.361474913e-02,1.428338201e-02,1.180710021e-02,1.024902653e-02,2.204670226e+00,2.490545695e+01,2.057608783e-03,1.560372e-15,1.976440e-18,1.637930e-19,9.594715e-03
