t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,5.208955576e-02,3.139973410e+01,1.944238155e-06,0.000000000e+00,4.609262e-16,0.000000e+00,0.000000e+00,1.327791e-02
0.150000,1.522336755e-04,5.541831160e-04,3.968944068e-03,2.770915575e-04,1.123992367e-04,2.600603013e-01,3.173454555e+01,8.591565066e-06,9.302193619e-02,1.570781e-15,2.818458e-18,1.575846e-19,8.606540e-03
0.300000,6.241150919e-05,2.635133279e-04,1.433789908e-03,1.317566676e-04,1.165210525e-04,2.224838178e-01,3.151296931e+01,1.275372551e-06,5.219093174e-03,1.114189e-15,1.911800e-18,1.432569e-19,9.011668e-03
0.450000,8.086671788e-05,1.437109271e-04,7.871708182e-04,7.185547462e-05,1.319368724e-04,1.808770062e-01,3.148340341e+01,4.903833287e-07,3.592594293e-03,1.571456e-15,7.237327e-18,4.239052e-19,8.626430e-03
0.600000,1.025617839e-04,1.245903331e-04,4.359543565e-04,6.229518141e-05,1.414165556e-04,1.295114383e-01,3.145122150e+01,2.860627550e-07,2.869026941e-03,1.777590e-15,2.971385e-18,5.188782e-19,1.333459e-02
0.750000,1.145427934e-04,1.402006791e-04,2.439047126e-04,7.010035108e-05,1.457466580e-04,7.368484423e-02,3.141819560e+01,2.389939347e-07,2.605322768e-03,1.566984e-15,1.058249e-17,1.267276e-18,9.754315e-03
0.900000,1.193136727e-04,1.563238089e-04,1.389043718e-04,7.816191846e-05,1.469246552e-04,2.274671741e-02,3.138729561e+01,2.312163307e-07,2.551783781e-03,2.220475e-15,6.944323e-18,3.358657e-19,8.798630e-03
1.050000,1.195464675e-04,1.680432008e-04,8.134466917e-05,8.402161021e-05,1.464725923e-04,4.461090973e-02,3.136066501e+01,2.314192879e-07,2.584799554e-03,1.558919e-15,7.745002e-18,3.070812e-18,1.310654e-02
1.200000,1.171095279e-04,1.763762725e-04,5.176918032e-05,8.818814649e-05,1.454029457e-04,9.207852664e-02,3.133943027e+01,2.326933504e-07,2.649413932e-03,1.776895e-15,1.211529e-17,1.309165e-18,1.394102e-02
1.350000,1.132808668e-04,1.826203736e-04,4.349770743e-05,9.131019487e-05,1.443520558e-04,1.339853821e-01,3.132376800e+01,2.343465669e-07,2.720412382e-03,1.564434e-15,1.579137e-17,1.054202e-18,1.392767e-02
1.500000,1.089611197e-04,1.876152606e-04,4.994441693e-05,9.380763525e-05,1.436879719e-04,1.680923167e-01,3.131313391e+01,2.368160681e-07,2.785380406e-03,8.908987e-16,4.075640e-18,1.443001e-19,8.571491e-03
1.650000,1.047952698e-04,1.918089926e-04,6.150279322e-05,9.590450096e-05,1.435852995e-04,1.935330812e-01,3.130657465e+01,2.404065891e-07,2.838134715e-03,8.885001e-16,3.804312e-18,2.767502e-19,1.321340e-02
1.800000,1.012290623e-04,1.954011149e-04,7.292455538e-05,9.770056918e-05,1.440815932e-04,2.098566451e-01,3.130305533e+01,2.450982492e-07,2.876029567e-03,2.221498e-15,3.540117e-18,1.765020e-19,8.656910e-03
1.950000,9.853374228e-05,1.984515300e-04,8.208142679e-05,9.922577571e-05,1.451247092e-04,2.168311398e-01,3.130174824e+01,2.506241666e-07,2.898610712e-03,2.221466e-15,1.120207e-18,1.427279e-20,8.548501e-03
