t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,5.208942734e-02,3.139973449e+01,1.944238155e-06,4.609262e-16,0.000000e+00,0.000000e+00,1.699494e-02
0.150000,1.444049459e-04,5.453961891e-04,3.869321145e-03,2.726980934e-04,1.098673754e-04,2.605685625e-01,3.173914224e+01,8.177303784e-06,1.111067e-15,3.431864e-18,4.417583e-20,9.344969e-03
0.300000,6.383966456e-05,2.619053731e-04,1.416203437e-03,1.309526925e-04,1.146085312e-04,2.227302160e-01,3.151195795e+01,1.245085872e-06,1.554867e-15,1.883358e-18,1.204046e-19,9.228011e-03
0.450000,8.037820619e-05,1.437920023e-04,7.804793823e-04,7.189601087e-05,1.295985230e-04,1.810501140e-01,3.148332358e+01,4.802925415e-07,1.335471e-15,3.260727e-18,4.557684e-19,8.817897e-03
0.600000,1.007777736e-04,1.249708429e-04,4.332286871e-04,6.248543235e-05,1.391220881e-04,1.296082354e-01,3.145119799e+01,2.799186248e-07,1.334986e-15,1.011827e-17,1.432567e-18,1.386636e-02
0.750000,1.124285359e-04,1.404045449e-04,2.427485696e-04,7.020228299e-05,1.438362034e-04,7.372998819e-02,3.141818531e+01,2.344011457e-07,1.562354e-15,1.159648e-17,1.578476e-18,9.173702e-03
0.900000,1.174286082e-04,1.564063103e-04,1.381695824e-04,7.820316564e-05,1.456119290e-04,2.273399998e-02,3.138728821e+01,2.280939686e-07,1.776751e-15,1.108815e-17,3.083696e-19,9.005284e-03
1.050000,1.182116705e-04,1.680671869e-04,8.078734001e-05,8.403360370e-05,1.458691245e-04,4.457921656e-02,3.136065931e+01,2.299788814e-07,1.778017e-15,1.368826e-17,1.122182e-18,9.873062e-03
1.200000,1.164900288e-04,1.763668807e-04,5.233100157e-05,8.818345554e-05,1.455302384e-04,9.206087690e-02,3.133942464e+01,2.330122439e-07,2.675191e-15,1.304353e-17,1.722288e-18,9.719884e-03
1.350000,1.134209416e-04,1.825846670e-04,4.647635832e-05,9.129234620e-05,1.451504270e-04,1.339757933e-01,3.132375432e+01,2.363035373e-07,2.442518e-15,1.479745e-17,1.340689e-18,8.935605e-03
