t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,5.208942734e-02,3.139973449e+01,1.944238155e-06,0.000000000e+00,4.609262e-16,0.000000e+00,0.000000e+00,1.319525e-02
0.150000,1.444049459e-04,5.453961891e-04,3.869321145e-03,2.726980934e-04,1.098673754e-04,2.605685625e-01,3.173914224e+01,8.177303784e-06,9.743252448e-02,1.111067e-15,3.431864e-18,4.417583e-20,1.187190e-02
0.300000,6.383966456e-05,2.619053731e-04,1.416203437e-03,1.309526925e-04,1.146085312e-04,2.227302160e-01,3.151195795e+01,1.245085872e-06,5.182320888e-03,1.554867e-15,1.883358e-18,1.204046e-19,9.094673e-03
0.450000,8.037820619e-05,1.437920023e-04,7.804793823e-04,7.189601087e-05,1.295985230e-04,1.810501140e-01,3.148332358e+01,4.802925415e-07,3.575243000e-03,1.335471e-15,3.260727e-18,4.557684e-19,8.734715e-03
0.600000,1.007777736e-04,1.249708429e-04,4.332286871e-04,6.248543235e-05,1.391220881e-04,1.296082354e-01,3.145119799e+01,2.799186248e-07,2.863320325e-03,1.334986e-15,1.011827e-17,1.432567e-18,8.720375e-03
0.750000,1.124285359e-04,1.404045449e-04,2.427485696e-04,7.020228299e-05,1.438362034e-04,7.372998819e-02,3.141818531e+01,2.344011457e-07,2.610581934e-03,1.562354e-15,1.159648e-17,1.578476e-18,8.684755e-03
0.900000,1.174286082e-04,1.564063103e-04,1.381695824e-04,7.820316564e-05,1.456119290e-04,2.273399998e-02,3.138728821e+01,2.280939686e-07,2.567623181e-03,1.776751e-15,1.108815e-17,3.083696e-19,9.405492e-03
1.050000,1.182116705e-04,1.680671869e-04,8.078734001e-05,8.403360370e-05,1.458691245e-04,4.457921656e-02,3.136065931e+01,2.299788814e-07,2.610826038e-03,1.778017e-15,1.368826e-17,1.122182e-18,8.966463e-03
1.200000,1.164900288e-04,1.763668807e-04,5.233100157e-05,8.818345554e-05,1.455302384e-04,9.206087690e-02,3.133942464e+01,2.330122439e-07,2.684740007e-03,2.675191e-15,1.304353e-17,1.722288e-18,8.684795e-03
1.350000,1.134209416e-04,1.825846670e-04,4.647635832e-05,9.129234620e-05,1.451504270e-04,1.339757933e-01,3.132375432e+01,2.363035373e-07,2.763304960e-03,2.442518e-15,1.479745e-17,1.340689e-18,8.751324e-03
1.500000,1.098023964e-04,1.875563788e-04,5.460035795e-05,9.377819748e-05,1.450291008e-04,1.680908808e-01,3.131309570e+01,2.401129228e-07,2.833202050e-03,1.554746e-15,7.037081e-18,2.076618e-19,1.077441e-02
1.650000,1.061947426e-04,1.917329209e-04,6.656927226e-05,9.586646930e-05,1.452921922e-04,1.935413603e-01,3.130648901e+01,2.446173424e-07,2.887555357e-03,1.562341e-15,2.399111e-18,3.575554e-19,1.340852e-02
1.800000,1.029863988e-04,1.953186687e-04,7.759558107e-05,9.765934028e-05,1.459553534e-04,2.098760666e-01,3.130289787e+01,2.497330326e-07,2.923411642e-03,1.111339e-15,3.462584e-18,1.157994e-20,8.807314e-03
1.950000,1.004292282e-04,1.983773766e-04,8.581630721e-05,9.918869991e-05,1.469735551e-04,2.168624347e-01,3.130149908e+01,2.551992119e-07,2.940461473e-03,2.442701e-15,9.692682e-19,1.462205e-20,8.828684e-03
2.100000,9.440607086e-05,1.986053732e-04,7.232937035e-05,9.930270008e-05,1.438284048e-04,2.489234493e-02,3.119488849e+01,2.469968591e-07,4.477775846e-03,2.666156e-15,1.587870e-20,7.772032e-24,8.803314e-03
2.250000,9.895259577e-05,1.964172065e-04,8.354835832e-05,9.820861300e-05,1.479635311e-04,2.314467454e-02,3.119945394e+01,2.557952698e-07,2.636309944e-03,1.999395e-15,7.459674e-20,1.389969e-23,8.630305e-03
2.400000,1.029292777e-04,1.952770835e-04,4.741911089e-05,9.763855207e-05,1.514113743e-04,2.317412628e-02,3.119916470e+01,2.607938149e-07,2.614594250e-03,1.998728e-15,3.334200e-20,6.481942e-24,8.705315e-03
2.550000,1.054132618e-04,1.946379637e-04,2.643444120e-05,9.731899491e-05,1.535614849e-04,2.320439345e-02,3.119897740e+01,2.647663212e-07,2.616984550e-03,2.665829e-15,1.295755e-20,1.778453e-24,1.331568e-02
2.700000,1.068706480e-04,1.942761806e-04,1.472887081e-05,9.713809792e-05,1.548237524e-04,2.322401864e-02,3.119888526e+01,2.673581049e-07,2.618636648e-03,1.554390e-15,1.449950e-20,5.767973e-24,8.602396e-03
2.850000,1.077039428e-04,1.940703986e-04,8.207810607e-06,9.703521391e-05,1.555461955e-04,2.323573333e-02,3.119884640e+01,2.689172975e-07,2.619575926e-03,2.887832e-15,7.216726e-21,2.553558e-24,8.523726e-03
3.000000,1.081744625e-04,1.939526487e-04,4.575113855e-06,9.697633360e-05,1.559544330e-04,2.324248543e-02,3.119883688e+01,2.698200215e-07,2.620103984e-03,1.777873e-15,2.048159e-20,9.196034e-25,8.585905e-03
3.150000,1.084384281e-04,1.938845898e-04,2.551430331e-06,9.694230379e-05,1.561835459e-04,2.324630584e-02,3.119884338e+01,2.703321371e-07,2.620399116e-03,1.777409e-15,9.702271e-21,3.075134e-24,8.624255e-03
3.300000,1.085860094e-04,1.938446213e-04,1.424093712e-06,9.692232149e-05,1.563116267e-04,2.324844340e-02,3.119885850e+01,2.706191023e-07,2.620562757e-03,2.001509e-15,6.140658e-21,2.348829e-24,8.568985e-03
3.450000,1.086683730e-04,1.938205534e-04,7.961201084e-07,9.691028893e-05,1.563830461e-04,2.324962927e-02,3.119887815e+01,2.707784065e-07,2.620652312e-03,2.446624e-15,1.929179e-20,1.290680e-24,8.495716e-03
3.600000,1.239584894e-04,1.983583699e-04,9.302198111e-05,9.917919752e-05,1.704807117e-04,4.360527171e-01,3.140919088e+01,3.155280346e-07,4.820968923e-03,2.444084e-15,9.908634e-19,2.790332e-19,8.571816e-03
