t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,1.172014891e-01,3.123976519e+01,8.274393994e-05,4.609262e-16,0.000000e+00,0.000000e+00,1.410834e-02
0.050000,6.195662626e-04,1.193442903e-03,1.647692914e-02,5.967214177e-04,2.494670497e-04,3.989124484e-01,3.284708990e+01,2.695331619e-04,2.221966e-15,2.606648e-18,3.800149e-19,9.166793e-03
0.100000,1.672795305e-04,5.844233602e-04,9.309162606e-03,2.922116785e-04,8.791895533e-05,3.546617881e-01,3.252025438e+01,7.476549048e-05,1.333332e-15,5.170920e-18,5.036820e-20,1.424508e-02
0.150000,8.044512555e-05,3.955646360e-04,2.826626444e-03,1.977823207e-04,7.106689993e-05,2.554674776e-01,3.164234353e+01,1.853187861e-05,1.555304e-15,3.254646e-18,4.924460e-20,9.061133e-03
0.200000,6.227425233e-05,2.851313457e-04,1.968558971e-03,1.425656776e-04,6.633555608e-05,2.444462777e-01,3.151732184e+01,9.650638823e-06,1.556436e-15,9.189970e-18,2.386756e-19,9.274163e-03
0.250000,5.232182327e-05,2.039301736e-04,1.478967638e-03,1.019650970e-04,6.535037539e-05,2.359315328e-01,3.151284033e+01,5.220910242e-06,2.225788e-15,1.084878e-17,1.985113e-19,1.028686e-02
0.300000,4.933261771e-05,1.450585236e-04,1.102493515e-03,7.252927731e-05,6.624057512e-05,2.258581510e-01,3.150773028e+01,2.896427801e-06,2.224086e-15,2.199455e-18,3.388939e-19,1.002157e-02
0.350000,5.007327948e-05,1.042974671e-04,8.201443181e-04,5.214874439e-05,6.779497726e-05,2.139460043e-01,3.149926940e+01,1.728989611e-06,1.111824e-15,7.727814e-18,8.334567e-19,9.413572e-03
0.400000,5.204149341e-05,7.849572475e-05,6.113699626e-04,3.924788635e-05,6.935520957e-05,2.004403965e-01,3.148985525e+01,1.174342444e-06,2.005854e-15,1.467894e-17,4.781711e-19,9.185553e-03
0.450000,5.407923448e-05,6.507413356e-05,4.570840041e-04,3.253710772e-05,7.064942459e-05,1.855783742e-01,3.147993217e+01,9.348024173e-07,2.664951e-15,6.657043e-18,1.741758e-19,1.397221e-02
