t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,1.015031732e-02,3.152541281e+01,1.944238155e-06,4.609262e-16,0.000000e+00,0.000000e+00,1.360527e-02
0.050000,1.101250156e-03,1.897998393e-03,6.060096014e-04,9.489990551e-04,4.582952799e-04,2.884875751e-01,3.139146739e+01,9.068693980e-06,1.999074e-15,3.488461e-19,5.184902e-21,9.188997e-03
0.100000,8.132489993e-04,1.501565886e-03,9.021594757e-03,7.507828731e-04,3.429480081e-04,2.752376311e-01,3.169723728e+01,4.614489205e-05,9.102082e-16,2.101377e-18,1.696626e-19,1.337003e-02
0.150000,5.899532729e-04,1.212667046e-03,5.503272659e-03,6.063334873e-04,2.784388537e-04,2.571024530e-01,3.160719251e+01,1.870435293e-05,1.781788e-15,3.272495e-18,1.328303e-19,8.641659e-03
0.200000,4.330620113e-04,1.021735256e-03,4.086137285e-03,5.108676074e-04,2.586649527e-04,2.443324673e-01,3.157203187e+01,1.097140512e-05,1.575640e-15,4.561442e-18,3.225049e-19,8.572639e-03
0.250000,3.173900361e-04,8.852108389e-04,3.213824938e-03,4.426054061e-04,2.673346225e-04,2.328668120e-01,3.154753042e+01,7.303274133e-06,8.964120e-16,7.023611e-18,3.972106e-19,8.749049e-03
0.300000,2.371802301e-04,7.874026073e-04,2.698770362e-03,3.937012955e-04,2.930385749e-04,2.214193549e-01,3.152958367e+01,5.568659265e-06,1.776808e-15,4.024402e-18,4.160648e-19,8.689259e-03
0.350000,1.920171827e-04,7.192383262e-04,2.402628666e-03,3.596191576e-04,3.273366609e-04,2.093005704e-01,3.151564963e+01,4.778114078e-06,1.557436e-15,1.863518e-17,4.597915e-19,8.650629e-03
0.400000,1.815547768e-04,6.757075099e-04,2.225951778e-03,3.378537523e-04,3.651783748e-04,1.961787047e-01,3.150396451e+01,4.457433886e-06,2.442649e-15,2.972422e-18,1.101581e-18,8.610919e-03
0.450000,1.972735387e-04,6.537030105e-04,2.109678093e-03,3.268515023e-04,4.036925836e-04,1.819443599e-01,3.149344513e+01,4.383767681e-06,2.004217e-15,3.829716e-18,2.147943e-19,8.828759e-03
0.500000,2.264884222e-04,6.506345039e-04,2.022833195e-03,3.253172485e-04,4.412287199e-04,1.666240030e-01,3.148344930e+01,4.450039832e-06,1.557427e-15,1.098603e-17,8.987880e-19,8.699269e-03
0.550000,2.605564902e-04,6.637910460e-04,1.950667995e-03,3.318955192e-04,4.768319498e-04,1.503264803e-01,3.147362346e+01,4.602739565e-06,1.554318e-15,6.405371e-18,2.909315e-19,1.252316e-02
0.600000,2.953050906e-04,6.902906664e-04,1.886657824e-03,3.451453289e-04,5.099703483e-04,1.332100513e-01,3.146380039e+01,4.813299306e-06,1.777482e-15,2.222514e-18,6.890461e-19,8.660878e-03
0.650000,3.289455774e-04,7.273172504e-04,1.828079693e-03,3.636586194e-04,5.403840997e-04,1.154635515e-01,3.145393018e+01,5.065038216e-06,1.556868e-15,1.068179e-17,2.049965e-18,8.842328e-03
0.700000,3.607655768e-04,7.723634764e-04,1.773822914e-03,3.861817296e-04,5.679938810e-04,9.729965177e-02,3.144403404e+01,5.347250883e-06,8.958294e-16,4.726994e-18,1.039694e-18,8.649339e-03
0.750000,3.905347409e-04,8.233530042e-04,1.723384632e-03,4.116764921e-04,5.928404696e-04,7.896410458e-02,3.143417341e+01,5.652526146e-06,1.333732e-15,1.106735e-17,5.413450e-19,8.646348e-03
0.800000,4.182452511e-04,8.786477071e-04,1.676444804e-03,4.393238420e-04,6.150428053e-04,6.078088411e-02,3.142442942e+01,5.975498315e-06,2.221901e-15,1.221439e-17,3.611115e-18,8.706259e-03
0.850000,4.439943967e-04,9.369916825e-04,1.632708747e-03,4.684958256e-04,6.347681249e-04,4.331864781e-02,3.141488952e+01,6.312220215e-06,1.334008e-15,7.185855e-18,4.077729e-18,9.063117e-03
0.900000,4.679284105e-04,9.974357477e-04,1.591865188e-03,4.987178548e-04,6.522105688e-04,2.810786884e-02,3.140563877e+01,6.659802386e-06,1.555727e-15,1.070336e-17,7.613306e-19,1.377587e-02
0.950000,4.902140397e-04,1.059265872e-03,1.553588593e-03,5.296329130e-04,6.675759663e-04,2.053022338e-02,3.139675445e+01,7.016168305e-06,1.998750e-15,4.684917e-18,3.761780e-19,1.349405e-02
1.000000,5.110234459e-04,1.121944035e-03,1.517554107e-03,5.609719894e-04,6.810712075e-04,2.718008006e-02,3.138830294e+01,7.379865734e-06,1.560158e-15,3.468716e-18,1.716661e-18,8.831939e-03
1.050000,5.305259279e-04,1.185062560e-03,1.483452236e-03,5.925312467e-04,6.928970292e-04,4.116311309e-02,3.138033800e+01,7.749911839e-06,2.007197e-15,2.050199e-17,9.265859e-19,9.537066e-03
1.100000,5.488833603e-04,1.248310035e-03,1.450999152e-03,6.241549782e-04,7.032433356e-04,5.682220169e-02,3.137290026e+01,8.125664277e-06,1.780688e-15,1.043552e-17,1.608157e-18,1.045913e-02
1.150000,5.662477640e-04,1.311446277e-03,1.419942160e-03,6.557230929e-04,7.122863794e-04,7.261521227e-02,3.136601728e+01,8.506715157e-06,1.554473e-15,1.890738e-17,1.124217e-18,9.298176e-03
