t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,3.228186905e-04,9.496296758e-04,0.000000000e+00,4.748148204e-04,1.325920648e-04,5.208955073e-02,3.139973412e+01,3.677508442e-05,0.000000000e+00,4.609262e-16,0.000000e+00,0.000000e+00,1.354011e-02
0.150000,1.523066533e-04,5.541785419e-04,3.968855782e-03,2.770892708e-04,1.124973845e-04,2.599735489e-01,3.173470735e+01,2.066668881e-05,5.042790341e-02,1.777441e-15,3.234287e-18,6.912536e-20,8.694518e-03
0.300000,6.242604303e-05,2.634743786e-04,1.433292531e-03,1.317371942e-04,1.163266983e-04,2.224163532e-01,3.151303184e+01,4.345189904e-06,1.774124044e-02,1.332336e-15,8.736878e-18,3.502694e-19,9.113575e-03
0.450000,7.981456798e-05,1.436282509e-04,7.868253223e-04,7.181413797e-05,1.311955509e-04,1.808773436e-01,3.148347511e+01,1.823201213e-06,1.780564932e-02,1.776384e-15,4.059853e-18,7.184603e-19,8.862097e-03
0.600000,1.005861194e-04,1.245116028e-04,4.360361571e-04,6.225582015e-05,1.400664433e-04,1.295511919e-01,3.145129353e+01,1.499934049e-06,1.794474299e-02,2.220895e-15,1.205540e-17,9.136329e-19,8.746987e-03
0.750000,1.118054251e-04,1.401553192e-04,2.445158314e-04,7.007766984e-05,1.438681577e-04,7.374494944e-02,3.141826269e+01,1.643556637e-06,1.815900323e-02,1.332307e-15,9.468618e-18,1.030158e-18,8.851227e-03
0.900000,1.160104050e-04,1.563055072e-04,1.398464401e-04,7.815276823e-05,1.446865999e-04,2.279058603e-02,3.138735337e+01,1.824403830e-06,1.843855445e-02,2.220472e-15,3.259007e-18,9.687499e-19,9.683722e-03
1.050000,1.159172749e-04,1.680439909e-04,8.211985621e-05,8.402199893e-05,1.440881392e-04,4.454356010e-02,3.136071053e+01,1.963378919e-06,1.876600349e-02,4.490002e-16,3.201839e-18,1.557617e-18,8.747317e-03
1.200000,1.134182882e-04,1.763900371e-04,5.199474715e-05,8.819502868e-05,1.430877911e-04,9.200928209e-02,3.133946255e+01,2.064854458e-06,1.912111023e-02,1.776792e-15,6.197595e-18,1.673851e-18,8.804157e-03
1.350000,1.097863130e-04,1.826422338e-04,4.390090469e-05,9.132112348e-05,1.422872128e-04,1.339210013e-01,3.132378798e+01,2.145117297e-06,1.948347947e-02,1.114472e-15,5.311434e-18,8.679507e-19,8.863177e-03
1.500000,1.058853791e-04,1.876410239e-04,5.183060244e-05,9.382052247e-05,1.419928173e-04,1.680348122e-01,3.131314407e+01,2.216188082e-06,1.983440795e-02,2.000972e-15,3.218337e-18,1.840584e-19,1.408644e-02
1.650000,1.022955865e-04,1.918350098e-04,6.525712510e-05,9.591751418e-05,1.423063209e-04,1.934835718e-01,3.130657836e+01,2.284199929e-06,2.015816801e-02,1.777289e-15,8.874069e-18,1.056603e-19,8.973196e-03
1.800000,9.938033472e-05,1.954241837e-04,7.842901856e-05,9.771209797e-05,1.431987206e-04,2.098160221e-01,3.130305610e+01,2.350935153e-06,2.044273191e-02,1.333838e-15,3.487418e-18,5.585047e-21,8.835447e-03
1.950000,9.732948692e-05,1.984688675e-04,8.903172480e-05,9.923444142e-05,1.445721053e-04,2.168002885e-01,3.130174893e+01,2.415602968e-06,2.067987649e-02,1.560026e-15,9.495159e-19,9.285703e-21,8.833277e-03
