law,gains,mode,condition,phase,T_rms,T_max,O_rms,O_max,exi_rms,tau_rms,tau_max,gF_mean,gF_max,d_hat_rms,d_hat_max,V_ss,V_peak,t_peak,t_conv,V_weight,d_hat_inf,exi_rms_run,rms_bound_5_7,rms_margin,sat_steps,gov_steps,n_steps,runtime_mean_ms,runtime_max_ms
tndq,base,noload,none,descend,6.191863e-04,7.693649e-04,7.014779e-04,1.111591e-03,2.368710e-03,3.141567e+01,3.169724e+01,0.000000e+00,0.000000e+00,,,2.706536e-05,4.614489e-05,1.000000e-01,0.000000e+00,base k_p=16,,,,,0,0,4500,9.108812e+00,1.499391e+01
tndq,base,noload,none,hold,7.810893e-04,7.829511e-04,1.388348e-03,1.570757e-03,6.330667e-04,3.121569e+01,3.121730e+01,0.000000e+00,0.000000e+00,,,2.706536e-05,4.614489e-05,1.000000e-01,0.000000e+00,base k_p=16,,,,,0,0,4500,9.108812e+00,1.499391e+01
tndq,base,noload,none,lift,7.768231e-04,7.892023e-04,1.709411e-03,1.763487e-03,3.553578e-04,3.142836e+01,3.154136e+01,0.000000e+00,0.000000e+00,,,2.706536e-05,4.614489e-05,1.000000e-01,0.000000e+00,base k_p=16,,,,,0,0,4500,9.108812e+00,1.499391e+01
tndq,base,noload,none,retreat,7.111190e-04,7.863018e-04,1.755012e-03,1.794259e-03,4.576591e-04,2.911539e+01,3.383961e+01,0.000000e+00,0.000000e+00,,,2.706536e-05,4.614489e-05,1.000000e-01,0.000000e+00,base k_p=16,,,,,0,0,4500,9.108812e+00,1.499391e+01
tndq,base,noload,none,transit,6.604931e-04,7.787726e-04,1.786934e-03,1.801048e-03,3.244636e-04,2.170623e+01,2.648098e+01,0.000000e+00,0.000000e+00,,,2.706536e-05,4.614489e-05,1.000000e-01,0.000000e+00,base k_p=16,,,,,0,0,4500,9.108812e+00,1.499391e+01
tndq,base,noload,none,descend2,6.418874e-04,7.088194e-04,1.649543e-03,1.725765e-03,5.630954e-04,1.774186e+01,1.856573e+01,0.000000e+00,0.000000e+00,,,2.706536e-05,4.614489e-05,1.000000e-01,0.000000e+00,base k_p=16,,,,,0,0,4500,9.108812e+00,1.499391e+01
tndq,base,noload,none,circle,6.390440e-04,7.285581e-04,1.717813e-03,1.763071e-03,3.595392e-04,1.834807e+01,2.059426e+01,0.000000e+00,0.000000e+00,,,2.706536e-05,4.614489e-05,1.000000e-01,0.000000e+00,base k_p=16,,,,,0,0,4500,9.108812e+00,1.499391e+01
tndq,base,noload,none,circle-ss,6.320219e-04,6.969232e-04,1.724490e-03,1.763071e-03,3.642186e-04,1.809662e+01,2.053729e+01,0.000000e+00,0.000000e+00,,,2.706536e-05,4.614489e-05,1.000000e-01,0.000000e+00,base k_p=16,,,,,0,0,4500,9.108812e+00,1.499391e+01
tndq,base,load,none,descend,6.191863e-04,7.693649e-04,7.014779e-04,1.111591e-03,2.368710e-03,3.141567e+01,3.169724e+01,0.000000e+00,0.000000e+00,,,2.420254e-02,3.685073e-02,6.750000e+00,0.000000e+00,base k_p=16,,,,,0,3,4500,9.211363e+00,1.553073e+01
tndq,base,load,none,hold,5.647860e-03,1.048624e-02,7.428659e-03,1.244560e-02,5.541851e-02,3.019558e+01,3.121730e+01,9.155002e+00,2.191937e+02,,,2.420254e-02,3.685073e-02,6.750000e+00,0.000000e+00,base k_p=16,,,,,0,3,4500,9.211363e+00,1.553073e+01
