t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,2.592594001e-15,0.000000000e+00,0.000000000e+00,2.424349759e-19,2.592594001e-15,3.974319841e-13,4.424064093e+01,5.377234970e-29,3.108670e-15,0.000000e+00,0.000000e+00,1.485094e-02
0.050000,1.058367447e-03,1.469986022e-03,3.910972286e-03,7.349929491e-04,3.986653981e-04,8.590496307e-01,4.490931045e+01,1.324104199e-05,2.666345e-15,1.092387e-18,1.203480e-19,1.308609e-02
0.100000,6.643262484e-04,9.656419683e-04,9.402260023e-03,4.828209714e-04,2.739616616e-04,8.332263361e-01,4.509255696e+01,4.666661543e-05,2.887647e-15,7.068549e-18,2.194780e-19,8.616622e-03
0.150000,3.833008801e-04,6.460935397e-04,5.389704081e-03,3.230467728e-04,2.140995148e-04,7.914352792e-01,4.491062394e+01,1.572603760e-05,2.221673e-15,4.364696e-18,1.556564e-18,8.538763e-03
0.200000,1.917351463e-04,4.747615659e-04,3.599411344e-03,2.373807923e-04,2.153516054e-04,7.553390659e-01,4.477190593e+01,7.299688647e-06,2.442870e-15,1.566363e-17,2.968630e-19,9.044251e-03
0.250000,5.364062525e-05,4.020640410e-04,2.619854465e-03,2.010320324e-04,2.535759172e-04,7.190629411e-01,4.463020124e+01,4.269535699e-06,2.443126e-15,1.026337e-17,4.212335e-19,8.537103e-03
0.300000,5.711715790e-05,3.999667313e-04,2.146217460e-03,1.999833803e-04,3.082388096e-04,6.810695143e-01,4.447741183e+01,3.383160823e-06,3.109148e-15,1.050334e-17,1.588842e-18,1.288654e-02
0.350000,1.330951150e-04,4.388747185e-04,1.965573276e-03,2.194373703e-04,3.682521745e-04,6.409589154e-01,4.431064961e+01,3.401838541e-06,2.665338e-15,1.665901e-17,8.159702e-19,8.555653e-03
0.400000,1.909502972e-04,4.978801697e-04,1.909677986e-03,2.489400937e-04,4.285800632e-04,5.988893421e-01,4.412837894e+01,3.788651331e-06,2.685644e-15,6.831549e-18,4.721262e-18,8.885064e-03
0.450000,2.342286174e-04,5.663555966e-04,1.888372626e-03,2.831778052e-04,4.867931431e-04,5.553272435e-01,4.393002576e+01,4.320233456e-06,2.665531e-15,1.065446e-17,1.909704e-18,8.608932e-03
