t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,2.592594001e-15,0.000000000e+00,0.000000000e+00,2.424349759e-19,2.592594001e-15,3.974319841e-13,4.424064093e+01,5.377234970e-29,3.108670e-15,0.000000e+00,0.000000e+00,1.391264e-02
0.050000,1.066526829e-03,1.487912808e-03,3.177415811e-03,7.439563395e-04,4.023999464e-04,1.906831301e-01,4.431631185e+01,1.077115963e-05,2.665249e-15,6.146635e-19,1.470920e-21,1.304079e-02
0.100000,6.970131991e-04,1.033869442e-03,8.338218563e-03,5.169347039e-04,3.001314322e-04,1.845173652e-01,4.453563705e+01,3.762134732e-05,2.887976e-15,1.721971e-18,4.417583e-20,8.723870e-03
0.150000,4.410703019e-04,7.704974969e-04,4.626686167e-03,3.852487469e-04,2.702908038e-04,1.640749923e-01,4.442020382e+01,1.247490217e-05,2.665750e-15,1.548209e-18,6.136752e-20,8.603652e-03
0.200000,2.657299082e-04,6.477694888e-04,3.798933067e-03,3.238847482e-04,2.951351913e-04,1.544820546e-01,4.437510587e+01,8.751995115e-06,3.109444e-15,3.757351e-18,8.849772e-20,9.491901e-03
0.250000,1.336186888e-04,6.246993279e-04,3.659884625e-03,3.123496681e-04,3.501760251e-04,1.483502859e-01,4.434634022e+01,8.458862245e-06,2.886612e-15,2.941492e-18,8.638075e-20,8.768689e-03
0.300000,4.800278912e-05,6.789332342e-04,3.564427079e-03,3.394666201e-04,4.189759416e-04,1.435999506e-01,4.432480310e+01,8.678797606e-06,3.108625e-15,8.741117e-19,1.285706e-19,8.806589e-03
0.350000,7.908124620e-05,7.735421514e-04,3.091874183e-03,3.867710741e-04,4.907361093e-04,1.395124584e-01,4.430394860e+01,7.903153325e-06,3.118803e-15,5.406083e-18,6.896159e-19,8.837629e-03
0.400000,1.352280923e-04,8.725906967e-04,2.515544860e-03,4.362953415e-04,5.592853250e-04,1.358928626e-01,4.428316195e+01,7.189212570e-06,3.111676e-15,3.227665e-18,2.603355e-19,8.943038e-03
0.450000,1.784299473e-04,9.647134470e-04,2.223698365e-03,4.823567109e-04,6.232121842e-04,1.323917610e-01,4.426421629e+01,7.440908594e-06,2.443550e-15,2.818926e-18,9.517696e-19,9.044026e-03
0.500000,2.103707103e-04,1.055732340e-03,2.208734796e-03,5.278661506e-04,6.840156844e-04,1.288159111e-01,4.424588533e+01,8.411415735e-06,2.443697e-15,2.819447e-18,5.587850e-19,8.756970e-03
0.550000,2.335038180e-04,1.152170714e-03,2.308318318e-03,5.760853304e-04,7.429733946e-04,1.248803921e-01,4.422763466e+01,9.735236912e-06,3.114155e-15,4.142731e-18,1.440908e-18,8.801879e-03
0.600000,2.501110902e-04,1.257815473e-03,2.470281254e-03,6.289077002e-04,8.001753144e-04,1.204101770e-01,4.420953485e+01,1.133758817e-05,3.113538e-15,9.263427e-19,1.067815e-18,8.819599e-03
0.650000,2.618565414e-04,1.374351838e-03,2.643684742e-03,6.871758700e-04,8.552103272e-04,1.153750585e-01,4.419101424e+01,1.312329755e-05,3.331882e-15,3.309926e-18,6.465564e-19,8.808749e-03
0.700000,2.695236064e-04,1.500444829e-03,2.783114342e-03,7.502223484e-04,9.075253904e-04,1.098409013e-01,4.417142431e+01,1.496434997e-05,2.664937e-15,8.940560e-19,6.705420e-19,9.187305e-03
0.750000,2.734309861e-04,1.633361220e-03,2.871321691e-03,8.166805226e-04,9.567471347e-04,1.039180409e-01,4.415044838e+01,1.678090137e-05,2.668447e-15,1.023524e-17,1.264386e-18,9.251074e-03
0.800000,2.738878226e-04,1.770215889e-03,2.903040705e-03,8.851078324e-04,1.002660192e-03,9.768793827e-02,4.412815243e+01,1.852376935e-05,2.887544e-15,1.368845e-17,2.150031e-18,8.661741e-03
0.850000,2.715259144e-04,1.907994472e-03,2.871897085e-03,9.539970946e-04,1.044960876e-03,9.117925425e-02,4.410480733e+01,2.014032594e-05,3.336303e-15,3.366269e-18,7.818293e-19,8.845868e-03
0.900000,2.716011156e-04,2.008777952e-03,1.463694765e-03,1.004388810e-03,1.075294213e-03,7.984145034e-02,4.408152301e+01,1.839163740e-05,2.666212e-15,4.848700e-18,1.265548e-18,9.120096e-03
0.950000,2.881431720e-04,2.001801745e-03,2.069068011e-03,1.000900709e-03,1.078339043e-03,7.548433953e-02,4.405782683e+01,1.945745978e-05,2.886931e-15,8.587128e-18,2.014546e-18,9.614360e-03
1.000000,2.836721150e-04,2.130462052e-03,2.454745619e-03,1.065230828e-03,1.107916208e-03,6.966713105e-02,4.403138760e+01,2.191044836e-05,3.110211e-15,2.030442e-17,1.659396e-18,8.676011e-03
1.050000,2.779295247e-04,2.248655842e-03,2.418268684e-03,1.124327687e-03,1.133371908e-03,6.311493256e-02,4.400423977e+01,2.331316875e-05,2.442533e-15,1.398621e-17,1.022834e-18,9.079237e-03
1.100000,2.723794253e-04,2.360318568e-03,2.155745634e-03,1.180159013e-03,1.156058041e-03,5.611037184e-02,4.397703533e+01,2.415758354e-05,2.670458e-15,8.434508e-18,1.872408e-18,9.314433e-03
1.150000,2.714130268e-04,2.454219432e-03,1.711111896e-03,1.227109410e-03,1.173015165e-03,4.854496952e-02,4.395043881e+01,2.451804862e-05,2.001124e-15,1.893478e-18,2.472361e-18,8.779330e-03
1.200000,2.775599958e-04,2.526003978e-03,1.369281342e-03,1.263001656e-03,1.183250645e-03,4.128886834e-02,4.392354703e+01,2.489950786e-05,2.887999e-15,1.872659e-17,2.181915e-18,8.886038e-03
1.250000,2.896401447e-04,2.584147323e-03,1.217936147e-03,1.292073304e-03,1.188904996e-03,3.492447055e-02,4.389670732e+01,2.540527233e-05,2.014339e-15,1.455418e-17,1.454610e-18,8.880829e-03
1.300000,3.056607706e-04,2.636410437e-03,1.147699953e-03,1.318204839e-03,1.191840221e-03,2.957377380e-02,4.386992891e+01,2.592378448e-05,2.676739e-15,1.214355e-17,3.608944e-18,8.727751e-03
1.350000,3.240033988e-04,2.687014456e-03,1.116075104e-03,1.343506826e-03,1.193232608e-03,2.558336267e-02,4.384310304e+01,2.645332901e-05,2.888038e-15,5.222209e-18,1.358501e-18,8.791960e-03
1.400000,3.437660553e-04,2.737303574e-03,1.089478205e-03,1.368651362e-03,1.193624734e-03,2.334644029e-02,4.381634762e+01,2.697705382e-05,2.665395e-15,1.893478e-18,1.388456e-18,1.338303e-02
1.450000,3.646660491e-04,2.786610775e-03,1.050318199e-03,1.393304939e-03,1.193051337e-03,2.318556100e-02,4.378980343e+01,2.746894532e-05,3.112652e-15,9.442523e-18,1.939480e-18,8.642711e-03
1.500000,3.865940912e-04,2.833928225e-03,1.000943888e-03,1.416963641e-03,1.191435667e-03,2.506178289e-02,4.376354090e+01,2.791938359e-05,2.664574e-15,1.383027e-17,1.918149e-18,8.749191e-03
1.550000,4.093615321e-04,2.878791533e-03,9.506615028e-04,1.439395272e-03,1.188802910e-03,2.851611039e-02,4.373761523e+01,2.833276750e-05,2.886582e-15,1.630283e-17,2.235140e-18,9.159266e-03
1.600000,4.326582207e-04,2.921382569e-03,9.064959257e-04,1.460690767e-03,1.185295140e-03,3.298272378e-02,4.371209042e+01,2.871920413e-05,2.444284e-15,1.194198e-17,1.305552e-18,9.232734e-03
1.650000,4.561298540e-04,2.962232148e-03,8.705571235e-04,1.481115535e-03,1.181108016e-03,3.801782716e-02,4.368702532e+01,2.908868983e-05,2.889136e-15,3.105156e-18,2.256079e-18,9.375213e-03
1.700000,4.794775323e-04,3.001859398e-03,8.413983647e-04,1.500929137e-03,1.176424531e-03,4.333123998e-02,4.366247077e+01,2.944807922e-05,2.448305e-15,8.299637e-18,2.232509e-18,8.907028e-03
1.750000,5.025079422e-04,3.040564638e-03,8.159931417e-04,1.520281735e-03,1.171377255e-03,4.874581481e-02,4.363847636e+01,2.979997222e-05,2.229047e-15,7.257679e-18,8.940560e-19,9.958626e-03
1.800000,5.251257608e-04,3.078410259e-03,7.915407320e-04,1.539204524e-03,1.166044018e-03,5.415524307e-02,4.361509174e+01,3.014374212e-05,2.664629e-15,8.630311e-18,3.104683e-18,8.744200e-03
1.850000,5.472951817e-04,3.115320956e-03,7.666666212e-04,1.557659850e-03,1.160467295e-03,5.949445993e-02,4.359236394e+01,3.047779727e-05,2.886584e-15,4.512483e-18,2.256730e-18,8.739780e-03
1.900000,5.690010467e-04,3.151203088e-03,7.414685046e-04,1.575600894e-03,1.154678597e-03,6.472134437e-02,4.357033604e+01,3.080129450e-05,2.666555e-15,8.074395e-18,1.954573e-18,8.995257e-03
1.950000,5.902264073e-04,3.186015455e-03,7.167610150e-04,1.593007056e-03,1.148713760e-03,6.980642109e-02,4.354904741e+01,3.111459143e-05,2.890223e-15,1.012674e-17,2.136319e-18,9.052497e-03
2.000000,6.109478826e-04,3.219779132e-03,6.932762185e-04,1.609888873e-03,1.142616210e-03,7.472753905e-02,4.352853411e+01,3.141882784e-05,3.109122e-15,1.988115e-18,1.563659e-18,8.953808e-03
2.050000,6.311412840e-04,3.252550340e-03,6.712766706e-04,1.626274455e-03,1.136432697e-03,7.946731363e-02,4.350882916e+01,3.171528920e-05,2.887462e-15,7.132339e-18,1.443455e-18,9.250315e-03
2.100000,6.507887806e-04,3.284387269e-03,6.505841600e-04,1.642192898e-03,1.130207356e-03,8.401187297e-02,4.348996297e+01,3.200495933e-05,2.443439e-15,2.538052e-18,6.133174e-19,8.859259e-03
2.150000,6.698824416e-04,3.315330560e-03,6.308272987e-04,1.657664523e-03,1.123978010e-03,8.835008525e-02,4.347196358e+01,3.228839744e-05,3.332580e-15,5.417232e-18,1.275954e-18,9.081377e-03
2.200000,6.884234831e-04,3.345401198e-03,6.116847469e-04,1.672699821e-03,1.117775749e-03,9.247292229e-02,4.345485674e+01,3.256585764e-05,3.332134e-15,8.695993e-18,1.279405e-18,1.028474e-02
2.250000,7.064191581e-04,3.374609174e-03,5.930071402e-04,1.687303788e-03,1.111626743e-03,9.637291027e-02,4.343866596e+01,3.283749345e-05,2.665248e-15,4.885606e-18,9.651835e-19,8.709311e-03
2.300000,7.238796149e-04,3.402963747e-03,5.748014868e-04,1.701481054e-03,1.105554530e-03,1.000437018e-01,4.342341247e+01,3.310350715e-05,2.443292e-15,1.448765e-17,1.422951e-18,9.117376e-03
2.350000,7.408160398e-04,3.430479457e-03,5.571443156e-04,1.715238889e-03,1.099581563e-03,1.034797869e-01,4.340911536e+01,3.336419738e-05,2.670701e-15,4.658305e-18,6.465564e-19,8.931568e-03
2.400000,7.572402230e-04,3.457176752e-03,5.401006181e-04,1.728587517e-03,1.093729645e-03,1.066763198e-01,4.339579162e+01,3.361992906e-05,2.674533e-15,1.021183e-17,9.716321e-19,9.001268e-03
2.450000,7.731649251e-04,3.483079390e-03,5.236841414e-04,1.741538816e-03,1.088019641e-03,1.096290198e-01,4.338345633e+01,3.387107604e-05,2.444523e-15,4.431543e-18,7.916347e-19,1.325564e-02
2.500000,7.886043635e-04,3.508211301e-03,5.078650965e-04,1.754104753e-03,1.082470985e-03,1.123341075e-01,4.337212279e+01,3.411797882e-05,2.664705e-15,7.712879e-18,3.534067e-19,1.098644e-02
2.550000,8.035743908e-04,3.532594745e-03,4.925952080e-04,1.766296456e-03,1.077101390e-03,1.147882546e-01,4.336180259e+01,3.436092962e-05,3.774849e-15,1.200403e-17,5.976956e-19,9.053627e-03
2.600000,8.180923145e-04,3.556250041e-03,4.778343164e-04,1.778124085e-03,1.071926869e-03,1.169885388e-01,4.335250572e+01,3.460018261e-05,2.887114e-15,4.194507e-18,4.488731e-19,9.612041e-03
2.650000,8.321765109e-04,3.579196294e-03,4.635608964e-04,1.789597193e-03,1.066961967e-03,1.189324053e-01,4.334424067e+01,3.483597197e-05,1.563282e-15,2.240264e-18,2.700322e-19,9.269485e-03
2.700000,8.458460353e-04,3.601452248e-03,4.497700409e-04,1.800725153e-03,1.062220029e-03,1.206176381e-01,4.333701445e+01,3.506852627e-05,2.887787e-15,1.940523e-18,2.397687e-19,9.316634e-03
2.750000,8.591203383e-04,3.623036785e-03,4.364632065e-04,1.811517403e-03,1.057713390e-03,1.220423404e-01,4.333083268e+01,3.529807340e-05,2.664917e-15,4.555628e-19,1.694066e-19,8.796210e-03
