t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,3.503401067e-02,1.981226373e-01,0.000000000e+00,9.889938096e-02,2.939837890e-02,2.187239915e+00,0.000000000e+00,8.516281788e-02,4.467555e-16,0.000000e+00,0.000000e+00,1.751964e-03
0.010000,3.504169461e-02,1.980803592e-01,8.847030278e-03,9.887834550e-02,2.937312301e-02,2.065649598e+00,0.000000000e+00,8.515679549e-02,2.779177e-16,2.933864e-18,3.601633e-20,1.646531e-03
0.020000,3.506258329e-02,1.979654054e-01,1.700525853e-02,9.882115011e-02,2.930448163e-02,1.948762806e+00,0.000000000e+00,8.513956823e-02,4.445811e-16,9.757820e-19,2.168404e-19,1.646502e-03
0.030000,3.509563741e-02,1.977834284e-01,2.452226357e-02,9.873060659e-02,2.919590922e-02,1.836545037e+00,0.000000000e+00,8.510174105e-02,3.521801e-16,1.077732e-17,4.338926e-19,1.654312e-03
0.040000,3.513988214e-02,1.975396699e-01,3.144240251e-02,9.860932206e-02,2.905065530e-02,1.728989513e+00,0.000000000e+00,8.503622410e-02,6.674422e-16,7.155734e-18,3.946555e-19,1.651342e-03
0.050000,3.519439992e-02,1.972389902e-01,3.780703329e-02,9.845971384e-02,2.887177526e-02,1.626120182e+00,0.000000000e+00,8.493784313e-02,2.101899e-17,2.246890e-17,1.323715e-18,1.647772e-03
0.060000,3.525832429e-02,1.968858964e-01,4.365472124e-02,9.828402323e-02,2.866214063e-02,1.527995296e+00,0.000000000e+00,8.480300757e-02,2.225184e-16,1.845183e-17,1.510119e-18,1.646691e-03
0.070000,3.533083454e-02,1.964845674e-01,4.902143100e-02,9.808432828e-02,2.842444888e-02,1.434711487e+00,0.000000000e+00,8.462942833e-02,5.648099e-16,2.151096e-17,1.302171e-18,1.652263e-03
0.080000,3.541115124e-02,1.960388779e-01,5.394070473e-02,9.786255562e-02,2.816123264e-02,1.346408166e+00,0.000000000e+00,8.441587835e-02,1.006212e-15,1.042865e-17,7.373372e-19,1.655542e-03
0.090000,3.549853237e-02,1.955524204e-01,5.844382768e-02,9.762049150e-02,2.787486855e-02,1.263271895e+00,0.000000000e+00,8.416198975e-02,1.110359e-16,3.469447e-18,6.857097e-19,1.664073e-03
0.100000,3.559227021e-02,1.950285256e-01,6.255998199e-02,9.735979190e-02,2.756758563e-02,1.185540072e+00,0.000000000e+00,8.386808252e-02,2.238062e-16,1.393864e-17,5.244670e-18,1.661724e-03
0.110000,3.569168861e-02,1.944702814e-01,6.631638962e-02,9.708199204e-02,2.724147324e-02,1.113502876e+00,0.000000000e+00,8.353502010e-02,1.130111e-16,1.453963e-17,2.171113e-18,1.617328e-03
0.120000,3.579614087e-02,1.938805503e-01,6.973844522e-02,9.678851511e-02,2.689848862e-02,1.047501821e+00,0.000000000e+00,8.316408814e-02,2.230520e-16,2.478060e-17,1.693578e-18,1.630180e-03
0.130000,3.590500791e-02,1.932619859e-01,7.284983960e-02,9.648068039e-02,2.654046407e-02,9.879226769e-01,0.000000000e+00,8.275689294e-02,2.618643e-16,4.165369e-17,2.528772e-18,1.640971e-03
0.140000,3.601769682e-02,1.926170480e-01,7.567267458e-02,9.615971080e-02,2.616911380e-02,9.351800353e-01,0.000000000e+00,8.231527682e-02,1.005576e-15,2.168404e-18,1.990331e-18,1.642641e-03
0.150000,3.613363964e-02,1.919480165e-01,7.822756971e-02,9.582673985e-02,2.578604033e-02,8.896909395e-01,0.000000000e+00,8.184124790e-02,2.221344e-16,1.214306e-17,2.377841e-18,1.644561e-03
0.160000,3.625229240e-02,1.912570046e-01,8.053376169e-02,9.548281817e-02,2.539274071e-02,8.518363056e-01,0.000000000e+00,8.133692215e-02,2.547918e-16,4.416737e-17,1.144334e-17,1.625129e-03
0.170000,3.637313431e-02,1.905459706e-01,8.260919667e-02,9.512891945e-02,2.499061230e-02,8.219119339e-01,0.000000000e+00,8.080447585e-02,1.226304e-15,1.551584e-17,9.109879e-18,1.630489e-03
0.180000,3.649566708e-02,1.898167293e-01,8.447061637e-02,9.476594610e-02,2.458095832e-02,8.000754765e-01,0.000000000e+00,8.024610693e-02,2.487473e-16,2.394688e-17,5.421011e-18,1.630060e-03
0.190000,3.661941435e-02,1.890709627e-01,8.613363802e-02,9.439473432e-02,2.416499311e-02,7.863002704e-01,0.000000000e+00,7.966400387e-02,5.553066e-16,1.387779e-17,1.608278e-17,1.628709e-03
0.200000,3.674392117e-02,1.883102288e-01,8.761282900e-02,9.401605896e-02,2.374384710e-02,7.803486572e-01,0.000000000e+00,7.906032084e-02,1.122220e-16,7.573911e-18,9.107944e-18,1.631720e-03
0.210000,3.686875362e-02,1.875359714e-01,8.892177621e-02,9.363063795e-02,2.331857154e-02,7.817739499e-01,0.000000000e+00,7.843715828e-02,1.690849e-16,1.084202e-17,9.263427e-19,1.632020e-03
0.220000,3.699349834e-02,1.867495280e-01,9.007315076e-02,9.323913642e-02,2.289014302e-02,7.899520259e-01,0.000000000e+00,7.779654791e-02,6.819080e-16,1.411963e-17,1.171390e-17,1.633240e-03
0.230000,3.711776214e-02,1.859521373e-01,9.107876824e-02,9.284217051e-02,2.245946766e-02,8.041344645e-01,0.000000000e+00,7.714044152e-02,5.661560e-16,1.110765e-17,1.259962e-17,1.656272e-03
0.240000,3.724117165e-02,1.851449469e-01,9.194964492e-02,9.244031095e-02,2.202738521e-02,8.235098616e-01,0.000000000e+00,7.647070290e-02,1.274874e-16,3.283397e-17,9.215718e-18,1.649532e-03
0.250000,3.736337293e-02,1.843290194e-01,9.269605012e-02,9.203408631e-02,2.159467283e-02,8.472604475e-01,0.000000000e+00,7.578910236e-02,2.491488e-16,1.708504e-17,1.306497e-17,1.638730e-03
0.260000,3.748403104e-02,1.835053387e-01,9.332755508e-02,9.162398610e-02,2.116204873e-02,8.746057889e-01,0.000000000e+00,7.509731335e-02,2.174035e-17,2.501854e-17,7.423421e-18,1.640331e-03
0.270000,3.760282966e-02,1.826748159e-01,9.385307855e-02,9.121046353e-02,2.073017564e-02,9.048309502e-01,0.000000000e+00,7.439691090e-02,2.225391e-16,2.194271e-17,3.927147e-18,1.641980e-03
0.280000,3.771947068e-02,1.818382943e-01,9.428092937e-02,9.079393824e-02,2.029966401e-02,9.373006197e-01,0.000000000e+00,7.368937146e-02,2.666118e-16,1.868354e-17,2.315857e-18,1.651062e-03
