t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,7.810826051e-02,2.181527167e-01,0.000000000e+00,1.088601949e-01,1.152055505e-01,6.211776390e+00,0.000000000e+00,2.009828871e-01,6.696392e-16,0.000000e+00,0.000000e+00,4.606788e-03
0.010000,7.808994138e-02,2.181060687e-01,1.962159629e-02,1.088370095e-01,1.151067685e-01,6.018817185e+00,0.000000000e+00,2.009530059e-01,8.882953e-16,1.604702e-18,3.509457e-19,3.495903e-03
0.020000,7.804034756e-02,2.179795374e-01,3.772259378e-02,1.087741194e-01,1.148379401e-01,5.554731460e+00,0.000000000e+00,2.008679894e-01,6.676229e-16,9.791642e-18,3.258249e-19,2.569839e-03
0.030000,7.796284384e-02,2.177793374e-01,5.437597240e-02,1.086746128e-01,1.144126056e-01,5.114083457e+00,0.000000000e+00,2.006816996e-01,1.336138e-15,1.654004e-17,2.235140e-19,2.450189e-03
0.040000,7.786103558e-02,2.175112309e-01,6.967134131e-02,1.085413525e-01,1.138435017e-01,4.696576324e+00,0.000000000e+00,2.003595926e-01,1.111643e-15,2.440418e-17,4.125671e-18,2.325829e-03
0.050000,7.773865611e-02,2.171805605e-01,8.369325033e-02,1.083769927e-01,1.131426033e-01,4.301854341e+00,0.000000000e+00,1.998768498e-01,1.112088e-15,8.069844e-18,9.022360e-19,2.416920e-03
0.060000,7.759947486e-02,2.167922799e-01,9.652144679e-02,1.081839939e-01,1.123211644e-01,3.929491589e+00,0.000000000e+00,1.992167589e-01,4.495980e-16,7.372575e-18,4.707236e-18,2.381899e-03
0.070000,7.744722283e-02,2.163509817e-01,1.082311428e-01,1.079646371e-01,1.113897564e-01,3.578989448e+00,0.000000000e+00,1.983693157e-01,8.892078e-16,1.769078e-17,1.063016e-17,2.404109e-03
0.080000,7.728553238e-02,2.158609238e-01,1.188932699e-01,1.077210372e-01,1.103583041e-01,3.249780738e+00,0.000000000e+00,1.973300219e-01,1.110836e-15,8.344836e-18,4.606265e-18,2.626600e-03
0.090000,7.711788921e-02,2.153260539e-01,1.285747188e-01,1.074551545e-01,1.092361207e-01,2.941238740e+00,0.000000000e+00,1.960988516e-01,8.885007e-16,1.067815e-17,1.371419e-18,2.689400e-03
0.100000,7.694759435e-02,2.147500315e-01,1.373385658e-01,1.071688065e-01,1.080319408e-01,2.652689709e+00,0.000000000e+00,1.946793674e-01,1.332395e-15,2.100668e-17,5.043580e-18,2.495869e-03
0.110000,7.677773489e-02,2.141362495e-01,1.452442857e-01,1.068636779e-01,1.067539511e-01,2.383427904e+00,0.000000000e+00,1.930779651e-01,1.335122e-15,4.074062e-17,2.335443e-18,2.701530e-03
0.120000,7.661116201e-02,2.134878528e-01,1.523479524e-01,1.065413304e-01,1.054098204e-01,2.132732594e+00,0.000000000e+00,1.913032319e-01,8.919014e-16,4.347421e-17,1.241305e-17,2.628930e-03
0.130000,7.645047532e-02,2.128077568e-01,1.587024280e-01,1.062032117e-01,1.040067279e-01,1.899886964e+00,0.000000000e+00,1.893654034e-01,6.665273e-16,4.485663e-17,1.008017e-17,2.635490e-03
0.140000,7.629801268e-02,2.120986637e-01,1.643575407e-01,1.058506637e-01,1.025513896e-01,1.684199407e+00,0.000000000e+00,1.872759047e-01,8.962903e-16,6.270402e-17,6.013169e-18,2.646190e-03
0.150000,7.615584474e-02,2.113630783e-01,1.693602531e-01,1.054849300e-01,1.010500839e-01,1.485028365e+00,0.000000000e+00,1.850469670e-01,8.917630e-16,3.008461e-17,6.594944e-18,2.413029e-03
0.160000,7.602577358e-02,2.106033219e-01,1.737548208e-01,1.051071636e-01,9.950867544e-02,1.301812897e+00,0.000000000e+00,1.826913075e-01,1.333239e-15,4.698237e-17,4.363830e-18,2.433559e-03
0.170000,7.590933496e-02,2.098215459e-01,1.775829412e-01,1.047184328e-01,9.793263847e-02,1.134112458e+00,0.000000000e+00,1.802218652e-01,4.501733e-16,4.378727e-17,1.561251e-17,2.511160e-03
