t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,2.479960296e-01,3.031045291e+00,0.000000000e+00,9.984727990e-01,1.531713306e+00,4.000000000e+01,4.382935168e+01,2.674474864e+01,4.475452e-16,0.000000e+00,0.000000e+00,7.155881e-03
0.010000,2.479141871e-01,3.031043704e+00,1.671515043e-02,9.984727551e-01,1.531621403e+00,4.000000000e+01,4.377696449e+01,2.674263543e+01,4.460365e-16,4.220977e-18,1.550303e-17,6.824443e-03
0.020000,2.476833590e-01,3.031039944e+00,3.348440623e-02,9.984726513e-01,1.531362135e+00,4.000000000e+01,4.363605193e+01,2.673670160e+01,6.684428e-16,4.273288e-17,6.014006e-17,6.875743e-03
0.030000,2.473030071e-01,3.031036048e+00,5.039485646e-02,9.984725436e-01,1.530934702e+00,4.000000000e+01,4.342102445e+01,2.672693768e+01,6.753223e-16,8.565197e-17,7.530412e-18,6.882792e-03
0.040000,2.467721938e-01,3.031035393e+00,6.759914662e-02,9.984725255e-01,1.530337731e+00,4.000000000e+01,4.315537555e+01,2.671333246e+01,4.807407e-17,1.379121e-16,9.980023e-17,6.912023e-03
0.050000,2.460895157e-01,3.031042738e+00,8.535873107e-02,9.984727284e-01,1.529569199e+00,4.000000000e+01,4.287011519e+01,2.669588084e+01,2.375495e-16,5.895708e-17,3.118833e-16,6.896113e-03
0.060000,2.452530084e-01,3.031064295e+00,1.040977516e-01,9.984733239e-01,1.528626331e+00,4.000000000e+01,4.260096091e+01,2.667459767e+01,2.573946e-16,9.399977e-17,6.887479e-16,6.914243e-03
0.070000,2.442600223e-01,3.031107806e+00,1.244635287e-01,9.984745253e-01,1.527505468e+00,4.000000000e+01,4.238427134e+01,2.664954025e+01,2.292987e-16,1.717026e-16,3.223719e-16,6.891333e-03
0.080000,2.431070629e-01,3.031182641e+00,1.473810270e-01,9.984765906e-01,1.526201905e+00,4.000000000e+01,4.225229045e+01,2.662084264e+01,4.520411e-16,2.656238e-16,4.093790e-16,6.900812e-03
0.090000,2.417895881e-01,3.031299898e+00,1.740797546e-01,9.984798238e-01,1.524709678e+00,4.000000000e+01,4.222882996e+01,2.658876437e+01,2.775558e-17,1.333934e-16,4.508834e-16,6.875942e-03
0.100000,2.403017531e-01,3.031472497e+00,2.060696863e-01,9.984845768e-01,1.523021302e+00,4.000000000e+01,4.232663499e+01,2.655375504e+01,1.387779e-17,1.697638e-16,2.599598e-16,6.900213e-03
0.110000,2.386360878e-01,3.031715252e+00,2.450553065e-01,9.984912491e-01,1.521127409e+00,4.000000000e+01,4.254713510e+01,2.651653300e+01,4.767177e-16,2.754881e-16,1.324553e-15,6.921983e-03
0.120000,2.367830854e-01,3.032044899e+00,2.928005850e-01,9.985002862e-01,1.519016273e+00,4.000000000e+01,4.288234107e+01,2.647817217e+01,2.237726e-16,1.212625e-15,3.449203e-15,6.964642e-03
0.130000,2.347244496e-01,3.032062558e+00,3.698065673e-01,9.985007695e-01,1.516640369e+00,3.883904980e+01,4.323355749e+01,2.644599281e+01,2.636780e-16,2.242025e-16,1.863516e-16,6.947372e-03
