t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,4.971004415e-16,7.884953353e-08,0.000000000e+00,3.300040363e-18,5.242539844e-16,1.775974742e-03,4.683009577e+01,2.198825043e-30,7.790215e-16,0.000000e+00,0.000000e+00,7.048035e-03
0.010000,8.021001914e-05,1.407107176e-04,2.750402345e-02,7.035535327e-05,6.133853281e-05,2.131991704e-01,4.632896496e+01,3.783053512e-04,2.223938e-16,2.091051e-18,2.032879e-20,6.885616e-03
0.020000,2.968969068e-04,5.198085819e-04,5.236693469e-02,2.599042855e-04,2.261119866e-04,3.143836079e-01,4.567988981e+01,1.372097339e-03,4.463796e-16,5.692549e-18,2.235140e-19,6.869687e-03
0.030000,6.373871216e-04,1.115202785e-03,7.490976837e-02,5.576013635e-04,4.845292781e-04,4.320283004e-01,4.508917209e+01,2.810102202e-03,6.719832e-16,2.799409e-18,2.201358e-18,6.896446e-03
0.040000,1.090100176e-03,1.906737524e-03,9.533138756e-02,9.533686174e-04,8.275389350e-04,5.472519658e-01,4.455119468e+01,4.556786586e-03,2.242324e-16,8.964847e-18,4.470280e-19,6.909086e-03
0.050000,1.644455984e-03,2.876023427e-03,1.138138515e-01,1.438011217e-03,1.246778745e-03,6.556849194e-01,4.406085794e+01,6.505775068e-03,6.676597e-16,2.910735e-18,0.000000e+00,6.907286e-03
0.060000,2.290789284e-03,4.006283513e-03,1.305238106e-01,2.003140417e-03,1.734527131e-03,7.563840790e-01,4.361353263e+01,8.574401813e-03,1.422870e-16,2.288829e-17,2.637978e-18,6.891807e-03
0.070000,3.020271402e-03,5.282212488e-03,1.456138054e-01,2.641103174e-03,2.283657770e-03,8.493993956e-01,4.320501716e+01,1.069921432e-02,1.110259e-15,1.010911e-17,8.805431e-18,6.884997e-03
0.080000,3.824838729e-03,6.689848249e-03,1.592234602e-01,3.344917887e-03,2.887597276e-03,9.351072472e-01,4.283149888e+01,1.283226869e-02,4.569343e-16,1.399637e-17,6.952433e-18,6.879496e-03
0.090000,4.697127336e-03,8.216454551e-03,1.714805757e-01,4.108215719e-03,3.540285768e-03,1.013988086e+00,4.248951890e+01,1.493808239e-02,7.514096e-17,8.866741e-18,1.939480e-18,6.908687e-03
0.100000,5.630413197e-03,9.850413903e-03,1.825021306e-01,4.925187039e-03,4.236140146e-03,1.086542111e+00,4.217594008e+01,1.699113263e-02,3.612521e-16,6.041239e-18,6.938894e-18,6.897416e-03
0.110000,6.618557540e-03,1.158112977e-02,1.923951979e-01,5.790532526e-03,4.970019893e-03,1.153255133e+00,4.188791803e+01,1.897380700e-02,1.413801e-16,2.291686e-17,6.992894e-18,6.907257e-03
0.120000,7.655956862e-03,1.339893734e-02,2.012577838e-01,6.699418554e-03,5.737195248e-03,1.214584861e+00,4.162287455e+01,2.087472871e-02,2.554387e-16,2.288736e-17,8.673617e-19,6.912876e-03
0.130000,8.737497228e-03,1.529502201e-02,2.091795950e-01,7.647436461e-03,6.533317584e-03,1.270956148e+00,4.137847366e+01,2.268739166e-02,4.463067e-16,3.037165e-17,1.420594e-17,6.912367e-03
0.140000,9.858512472e-03,1.726134508e-02,2.162427410e-01,8.630565391e-03,7.354391848e-03,1.322760358e+00,4.115259963e+01,2.440905143e-02,8.911709e-16,1.025736e-17,5.222209e-18,6.944406e-03
0.150000,1.101474595e-02,1.929057586e-02,2.225223766e-01,9.645138378e-03,8.196750930e-03,1.370356628e+00,4.094333701e+01,2.603982741e-02,5.558570e-16,1.620911e-17,1.404617e-17,6.935216e-03
0.160000,1.220231555e-02,2.137602976e-02,2.280872895e-01,1.068781139e-02,9.057031811e-03,1.414073963e+00,4.074895246e+01,2.758197891e-02,1.178889e-16,3.003309e-17,1.072867e-17,6.937307e-03
0.170000,1.341768171e-02,2.351161178e-02,2.330004377e-01,1.175553512e-02,9.932153396e-03,1.454213638e+00,4.056787819e+01,2.903932419e-02,6.028862e-17,3.373633e-18,1.390487e-17,6.896576e-03
0.180000,1.465761808e-02,2.569176490e-02,2.373194417e-01,1.284552915e-02,1.081929589e-02,1.491051630e+00,4.039869685e+01,3.041677697e-02,1.123745e-16,1.861545e-17,1.044442e-17,6.917216e-03
0.190000,1.591918475e-02,2.791142307e-02,2.410970343e-01,1.395525853e-02,1.171588162e-02,1.524840953e+00,4.024012777e+01,3.171997896e-02,4.483233e-16,9.928380e-18,3.576224e-18,6.915537e-03
0.200000,1.719970367e-02,3.016596825e-02,2.443814722e-01,1.508241225e-02,1.261955722e-02,1.555813833e+00,4.009101447e+01,3.295501106e-02,1.412702e-17,1.216634e-17,3.878960e-18,6.889306e-03
0.210000,1.849673623e-02,3.245119122e-02,2.472169128e-01,1.622488367e-02,1.352817706e-02,1.584183689e+00,3.995031320e+01,3.412816839e-02,1.199089e-16,1.897159e-17,4.336809e-18,6.883287e-03
0.220000,1.980806265e-02,3.476325581e-02,2.496437588e-01,1.738075269e-02,1.443978780e-02,1.610146926e+00,3.981708257e+01,3.524578743e-02,4.745750e-16,5.539255e-18,1.551584e-17,6.893326e-03
0.230000,2.113166318e-02,3.709866631e-02,2.516989736e-01,1.854826944e-02,1.535261414e-02,1.633884544e+00,3.969047409e+01,3.631411514e-02,7.505785e-17,1.718618e-17,3.469447e-18,6.901697e-03
0.240000,2.246570083e-02,3.945423765e-02,2.534163705e-01,1.972583935e-02,1.626504545e-02,1.655563571e+00,3.956972351e+01,3.733921195e-02,2.347992e-16,3.837403e-17,6.992894e-18,6.910636e-03
0.250000,2.380850560e-02,4.182706828e-02,2.548268765e-01,2.091200966e-02,1.717562342e-02,1.675338340e+00,3.945414301e+01,3.832688199e-02,3.332883e-16,3.184959e-17,1.769078e-17,6.988876e-03
0.260000,2.515856001e-02,4.421451535e-02,2.559587746e-01,2.210545697e-02,1.808303057e-02,1.693351627e+00,3.934311404e+01,3.928262494e-02,3.724220e-16,9.510785e-18,3.878960e-18,6.898446e-03
0.270000,2.651448590e-02,4.661417208e-02,2.568379257e-01,2.330497595e-02,1.898607956e-02,1.709735655e+00,3.923608081e+01,4.021160501e-02,4.490509e-16,2.214661e-17,3.576224e-18,6.905076e-03
0.280000,2.787503223e-02,4.902384716e-02,2.574879710e-01,2.450946905e-02,1.988370325e-02,1.724612992e+00,3.913254438e+01,4.111863342e-02,2.365584e-16,3.627548e-17,3.576224e-18,6.883147e-03
0.290000,2.923906405e-02,5.144154586e-02,2.579305185e-01,2.571793706e-02,2.077494548e-02,1.738097348e+00,3.903205728e+01,4.200816135e-02,4.880279e-17,1.900403e-17,1.734723e-17,6.875097e-03
0.300000,3.060555232e-02,5.386545287e-02,2.581853131e-01,2.692947051e-02,2.165895254e-02,1.750294288e+00,3.893421864e+01,4.288428081e-02,9.953464e-17,6.995444e-18,4.336809e-18,6.867986e-03
0.310000,3.197356459e-02,5.629391662e-02,2.582703928e-01,2.814324188e-02,2.253496513e-02,1.761301862e+00,3.883866969e+01,4.375073164e-02,4.478046e-16,4.532809e-18,4.336809e-18,6.882816e-03
0.320000,3.334225648e-02,5.872543493e-02,2.582022318e-01,2.935849838e-02,2.340231105e-02,1.771211179e+00,3.874508978e+01,4.461091297e-02,6.726078e-16,2.902826e-17,1.902273e-17,6.862117e-03
0.330000,3.471086394e-02,6.115864199e-02,2.579958715e-01,3.057455546e-02,2.426039826e-02,1.780106917e+00,3.865319266e+01,4.546789778e-02,5.644912e-16,1.429185e-17,2.097868e-17,6.872896e-03
0.340000,3.607869602e-02,6.359229639e-02,2.576650408e-01,3.179079084e-02,2.510870857e-02,1.788067784e+00,3.856272317e+01,4.632444964e-02,2.985110e-16,1.627444e-17,1.097135e-17,6.856857e-03
0.350000,3.744512845e-02,6.602527027e-02,2.572222662e-01,3.300663908e-02,2.594679165e-02,1.795166937e+00,3.847345422e+01,4.718304089e-02,4.503474e-16,9.470812e-18,1.647987e-17,6.869186e-03
0.360000,3.880959759e-02,6.845653940e-02,2.566789732e-01,3.422158660e-02,2.677425961e-02,1.801472363e+00,3.838518402e+01,4.804587138e-02,3.474731e-16,7.498057e-17,2.194271e-17,6.856786e-03
0.370000,4.017159500e-02,7.088517406e-02,2.560455785e-01,3.543516714e-02,2.759078183e-02,1.807047229e+00,3.829773361e+01,4.891488764e-02,3.348933e-16,2.309151e-17,1.040834e-17,6.866646e-03
0.380000,4.153066247e-02,7.331033084e-02,2.553315753e-01,3.664695765e-02,2.839608027e-02,1.811950196e+00,3.821094457e+01,4.979180170e-02,4.713224e-16,3.782296e-18,6.992894e-18,6.882276e-03
0.390000,4.288638741e-02,7.573124503e-02,2.545456110e-01,3.785657451e-02,2.918992505e-02,1.816235722e+00,3.812467702e+01,5.067810970e-02,4.486374e-16,4.466360e-17,3.878960e-18,6.830036e-03
0.400000,4.423839873e-02,7.814722377e-02,2.536955591e-01,3.906367006e-02,2.997213041e-02,1.819954326e+00,3.803880773e+01,5.157510970e-02,2.364391e-16,1.548040e-17,6.254634e-18,6.850966e-03
0.410000,4.558636300e-02,8.055763974e-02,2.527885842e-01,4.026792947e-02,3.074255090e-02,1.823152848e+00,3.795322844e+01,5.248391879e-02,2.482551e-16,4.037032e-17,9.220182e-18,6.875016e-03
0.420000,4.692998099e-02,8.296192542e-02,2.518312027e-01,4.146906789e-02,3.150107789e-02,1.825874682e+00,3.786784435e+01,5.340548933e-02,2.336956e-16,9.524110e-18,3.469447e-18,6.909716e-03
0.430000,4.826898447e-02,8.535956784e-02,2.508293378e-01,4.266682778e-02,3.224763633e-02,1.828159996e+00,3.778257273e+01,5.434062428e-02,6.717578e-16,8.953822e-17,1.769078e-17,6.885216e-03
0.440000,4.960313338e-02,8.775010384e-02,2.497883698e-01,4.386097655e-02,3.298218174e-02,1.830045942e+00,3.769734169e+01,5.528999144e-02,4.458660e-16,1.600254e-17,2.434800e-17,6.867296e-03
0.450000,5.093221311e-02,9.013311563e-02,2.487131829e-01,4.505130437e-02,3.370469740e-02,1.831566853e+00,3.761208906e+01,5.625413690e-02,1.735165e-16,8.957677e-18,7.152448e-18,6.866416e-03
0.460000,5.225603215e-02,9.250822687e-02,2.476082078e-01,4.623762219e-02,3.441519183e-02,1.832754418e+00,3.752676134e+01,5.723349735e-02,5.574260e-16,3.688754e-17,2.602085e-18,6.884466e-03
0.470000,5.357441988e-02,9.487509900e-02,2.464774603e-01,4.741975988e-02,3.511369634e-02,1.833637865e+00,3.744131282e+01,5.822841160e-02,5.591922e-16,4.157934e-17,1.788112e-17,6.870456e-03
0.480000,5.488722458e-02,9.723342793e-02,2.453245777e-01,4.859756461e-02,3.580026283e-02,1.834244120e+00,3.735570472e+01,5.923913106e-02,6.083978e-17,1.146749e-17,2.223223e-17,6.878676e-03
