t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,c0,c1,c2,runtime
0.000000,5.478446418e-05,1.693217524e-04,2.165216016e-03,8.466086917e-05,1.251023427e-04,1.066697586e-02,3.903808340e+01,2.526624670e-06,3.505391e-16,4.040978e-20,5.989427e-22,7.064143e-03
0.010000,4.277474170e-05,9.420644215e-05,3.035462292e-03,4.710320546e-05,8.908757809e-05,2.009255048e-01,3.920622484e+01,4.688258132e-06,3.615049e-16,4.496014e-19,1.746203e-21,6.934154e-03
0.020000,8.735500149e-05,1.699827808e-04,5.356513104e-03,8.499138241e-05,1.224326076e-04,2.057149119e-01,3.922974662e+01,1.452382254e-05,2.231949e-16,3.160965e-19,3.054021e-21,6.949654e-03
0.030000,2.133645392e-05,8.575798866e-05,3.749795305e-03,4.287899233e-05,5.952211079e-05,2.046586323e-01,3.922910774e+01,7.073534333e-06,4.443638e-16,2.227165e-19,5.423657e-21,6.923314e-03
0.040000,6.451717146e-05,1.189132718e-04,2.761401755e-03,5.945663148e-05,6.576807314e-05,1.858803270e-01,3.920158638e+01,3.875554071e-06,4.471409e-16,1.282241e-18,1.197885e-20,6.953574e-03
0.050000,8.877758744e-05,2.155496764e-04,2.262339433e-03,1.077748362e-04,1.048640410e-04,2.062350618e-01,3.921125428e+01,2.739984914e-06,5.152916e-17,9.247902e-19,5.760447e-21,6.952714e-03
0.060000,1.196028470e-05,6.972217495e-05,1.490589249e-03,3.486107020e-05,4.215897874e-05,2.009448216e-01,3.920265567e+01,1.134869545e-06,5.621211e-16,6.154474e-19,1.136414e-20,6.959504e-03
0.070000,7.863262136e-05,1.305437350e-04,1.682451198e-03,6.527186239e-05,4.124018756e-05,1.931414541e-01,3.921210543e+01,1.463010370e-06,2.288834e-16,3.633406e-19,2.899774e-20,6.920784e-03
0.080000,5.043818958e-05,8.076099446e-05,2.158486206e-03,4.038049529e-05,6.965645334e-05,1.991643458e-01,3.921576900e+01,2.381392197e-06,6.685892e-16,9.077411e-19,4.719122e-20,6.951284e-03
0.090000,6.635556192e-05,2.056186327e-04,3.651367498e-03,1.028093104e-04,7.519929819e-05,1.927274382e-01,3.916733379e+01,6.796039814e-06,3.513686e-16,1.424628e-18,4.338926e-20,6.958404e-03
0.100000,1.236418857e-05,8.724014342e-05,1.907201290e-03,4.362006498e-05,4.126384785e-05,2.118779675e-01,3.921608790e+01,1.847551701e-06,1.436384e-16,6.911789e-19,3.123703e-20,6.940624e-03
0.110000,1.005082663e-04,2.816273755e-04,1.204458511e-03,1.408136843e-04,7.869238549e-05,1.828077211e-01,3.916213933e+01,9.335280339e-07,9.021601e-17,1.926474e-19,4.933194e-20,6.967864e-03
0.120000,1.083140954e-04,2.159500547e-04,3.818736861e-03,1.079750231e-04,1.291307855e-04,2.038845747e-01,3.915428811e+01,7.518042532e-06,1.241401e-16,1.582170e-18,9.162062e-20,6.982814e-03
0.130000,4.327207984e-05,1.333455719e-04,3.791096059e-03,6.667277265e-05,5.169745135e-05,1.875088202e-01,3.921905697e+01,7.243147744e-06,5.552910e-16,2.763455e-18,8.571371e-20,6.983055e-03
0.140000,4.110859708e-05,1.029350083e-04,4.087936207e-03,5.146749352e-05,5.783425081e-05,2.013594238e-01,3.912713491e+01,8.403560844e-06,1.288964e-16,4.879380e-19,2.443217e-20,6.982954e-03
0.150000,5.289265775e-05,1.084591026e-04,6.895024612e-04,5.422954281e-05,7.557652130e-05,1.802567423e-01,3.915236102e+01,3.069280531e-07,1.157946e-16,2.451022e-18,1.355253e-20,6.988423e-03
0.160000,3.144306044e-05,8.033581818e-05,3.008717565e-03,4.016789846e-05,2.593461894e-05,1.866167108e-01,3.914555583e+01,4.544479210e-06,2.221139e-16,3.576333e-18,4.886433e-20,6.993964e-03
