t,pos_err,ori_err_geodesic,e_xi_norm,e_z_O_norm,e_z_T_norm,qddot_ref_norm,tau_norm,V,d_hat_norm,c0,c1,c2,runtime
0.000000,4.712321324e-16,5.960464478e-08,0.000000000e+00,7.531108977e-19,4.712321324e-16,7.179262158e-14,0.000000000e+00,1.776482318e-30,0.000000000e+00,4.461709e-16,0.000000e+00,0.000000e+00,1.801690e-03
0.010000,9.366388608e-08,1.861154437e-07,5.353131921e-05,8.990794505e-08,1.979997626e-07,1.551890379e-01,0.000000000e+00,1.433179367e-09,2.229778655e-03,3.376707e-16,9.216715e-20,7.034440e-23,1.645447e-03
0.020000,1.720895080e-07,3.345302391e-07,4.935719135e-05,1.653769481e-07,3.639700204e-07,1.550714584e-01,0.000000000e+00,1.219344759e-09,6.801346951e-04,2.927872e-16,3.248545e-19,7.816432e-22,2.209319e-03
0.030000,2.362610936e-07,4.568609511e-07,4.548127177e-05,2.274937107e-07,5.001293845e-07,1.549356573e-01,0.000000000e+00,1.036688103e-09,2.056541432e-04,4.440953e-16,6.996308e-19,3.348192e-22,1.649307e-03
0.040000,2.871229851e-07,5.583463310e-07,4.188453379e-05,2.772670150e-07,6.085730596e-07,1.547813406e-01,0.000000000e+00,8.807349907e-10,6.031098392e-05,7.970307e-16,8.606655e-19,1.574006e-21,1.675137e-03
0.050000,3.255805416e-07,6.307962682e-07,3.854913868e-05,3.156333446e-07,6.912791362e-07,1.546082409e-01,0.000000000e+00,7.476379764e-10,1.572272174e-05,2.221417e-16,6.497091e-19,3.054021e-21,1.654157e-03
0.060000,3.525011060e-07,6.886851793e-07,3.545835727e-05,3.434621064e-07,7.501145756e-07,1.544161158e-01,0.000000000e+00,6.340926549e-10,2.003832997e-06,3.330715e-16,3.816426e-19,1.746203e-21,1.667378e-03
0.070000,3.687150764e-07,7.263456349e-07,3.259649710e-05,3.615604699e-07,7.868409064e-07,1.542047470e-01,0.000000000e+00,5.372645683e-10,2.401851557e-06,6.869050e-16,6.857097e-19,7.311028e-21,1.660857e-03
0.080000,3.750171085e-07,7.432677694e-07,2.994883467e-05,3.706778580e-07,8.031196386e-07,1.539739392e-01,0.000000000e+00,4.547255748e-10,3.834207595e-06,3.892477e-16,2.424350e-19,1.611590e-20,1.663827e-03
0.090000,3.721675350e-07,7.462492004e-07,2.750155249e-05,3.715101169e-07,8.005174222e-07,1.537235188e-01,0.000000000e+00,3.843984779e-10,4.402667162e-06,6.714762e-16,1.260385e-18,5.082198e-21,1.671638e-03
