       t         |O|         |T|      |e_xi|  |qddot_ref|           V         c0         c1         c2    runtime
-----------------------------------------------------------------------------------------------------------------
   0.000   9.890e-02   2.940e-02   0.000e+00    1.403e+00   8.516e-02   4.47e-16   0.00e+00   0.00e+00   1.74e-03
   0.100   9.736e-02   2.757e-02   6.256e-02    4.404e-01   8.387e-02   3.38e-16   4.34e-19   6.86e-19   1.74e-03
   0.200   9.402e-02   2.374e-02   8.761e-02    3.847e-01   7.906e-02   1.57e-16   1.40e-17   1.08e-19   1.84e-03
   0.300   8.995e-02   1.944e-02   9.487e-02    9.307e-01   7.226e-02   2.78e-16   0.00e+00   8.82e-19   1.59e-03
   0.400   8.568e-02   1.540e-02   9.415e-02    1.345e+00   6.505e-02   1.11e-16   3.47e-18   2.00e-18   1.59e-03
   0.500   8.142e-02   1.192e-02   9.020e-02    1.626e+00   5.824e-02   3.47e-17   1.40e-17   1.94e-18   1.61e-03
   0.600   7.729e-02   9.063e-03   8.526e-02    1.786e+00   5.208e-02   6.66e-16   5.42e-18   2.74e-18   1.61e-03
   0.700   7.332e-02   6.804e-03   8.028e-02    1.844e+00   4.660e-02   4.62e-16   2.24e-17   3.53e-17   1.64e-03
   0.800   6.954e-02   5.058e-03   7.558e-02    1.846e+00   4.175e-02   5.64e-16   4.78e-17   2.95e-17   1.58e-03
   0.900   6.594e-02   3.732e-03   7.127e-02    1.894e+00   3.743e-02   3.40e-16   3.56e-17   1.78e-16   1.59e-03
   1.000   6.252e-02   2.739e-03   6.730e-02    2.218e+00   3.359e-02   4.60e-16   3.48e-17   1.61e-16   1.65e-03
   1.100   5.927e-02   2.002e-03   6.363e-02    3.088e+00   3.016e-02   2.40e-16   1.20e-16   2.43e-16   1.59e-03
   1.200   5.620e-02   1.458e-03   6.023e-02    4.170e+00   2.709e-02   2.24e-16   1.41e-16   2.30e-16   1.60e-03
   1.300   5.328e-02   1.060e-03   5.706e-02    5.746e+00   2.434e-02   4.44e-16   1.40e-16   1.62e-16   1.58e-03
   1.400   5.051e-02   7.739e-04   5.407e-02    1.644e+01   2.187e-02   2.57e-16   6.61e-17   1.10e-17   1.68e-03
   1.500   4.788e-02   5.687e-04   5.124e-02    1.195e+01   1.966e-02   1.29e-16   6.58e-17   2.21e-17   1.61e-03
   1.600   4.539e-02   4.111e-04   4.857e-02    3.027e+00   1.766e-02   8.95e-16   1.49e-16   5.50e-16   1.58e-03
   1.700   4.303e-02   2.909e-04   4.605e-02    1.931e+00   1.587e-02   6.77e-16   1.44e-16   1.88e-17   1.66e-03
   1.800   4.079e-02   2.066e-04   4.365e-02    1.860e+00   1.426e-02   2.48e-17   3.13e-16   8.78e-17   1.60e-03
   1.900   3.866e-02   1.545e-04   4.139e-02    1.714e+00   1.281e-02   2.49e-16   1.28e-16   1.98e-16   1.60e-03
   2.000   3.664e-02   1.281e-04   3.925e-02    1.544e+00   1.151e-02   1.40e-17   7.47e-17   9.84e-17   1.68e-03
   2.100   3.473e-02   1.161e-04   3.722e-02    1.334e+00   1.034e-02   2.32e-16   2.12e-16   1.12e-16   1.60e-03
   2.200   3.292e-02   1.087e-04   3.529e-02    1.278e+00   9.292e-03   2.49e-16   9.55e-17   1.87e-16   1.61e-03
   2.300   3.120e-02   1.023e-04   3.346e-02    1.285e+00   8.348e-03   4.45e-16   2.35e-16   3.34e-16   1.63e-03
   2.400   2.957e-02   9.624e-05   3.172e-02    1.316e+00   7.499e-03   1.34e-15   1.21e-16   1.11e-16   1.60e-03
   2.500   2.803e-02   9.080e-05   3.007e-02    1.355e+00   6.737e-03   3.51e-16   1.55e-16   1.47e-16   1.69e-03
   2.600   2.657e-02   8.601e-05   2.850e-02    1.392e+00   6.052e-03   2.54e-16   1.57e-16   2.11e-16   1.60e-03
   2.700   2.518e-02   8.166e-05   2.701e-02    1.422e+00   5.437e-03   3.66e-16   1.17e-16   5.99e-17   1.67e-03
   2.800   2.387e-02   7.752e-05   2.559e-02    1.441e+00   4.885e-03   3.57e-16   8.46e-17   1.15e-16   1.61e-03
   2.900   2.263e-02   7.343e-05   2.424e-02    1.446e+00   4.389e-03   4.58e-16   6.81e-17   1.60e-16   1.66e-03
