       t         |O|         |T|      |e_xi|  |qddot_ref|           V         c0         c1         c2    runtime
-----------------------------------------------------------------------------------------------------------------
   0.000   9.890e-02   2.940e-02   0.000e+00    1.403e+00   8.516e-02   4.47e-16   0.00e+00   0.00e+00   1.78e-03
   0.100   9.736e-02   2.757e-02   6.258e-02    6.637e-01   8.387e-02   4.56e-16   8.94e-18   7.27e-19   1.61e-03
   0.200   9.402e-02   2.374e-02   8.762e-02    2.159e-01   7.906e-02   4.46e-16   1.30e-18   6.13e-19   1.62e-03
   0.300   8.995e-02   1.944e-02   9.487e-02    4.053e-02   7.226e-02   2.22e-16   8.42e-18   8.67e-19   1.64e-03
   0.400   8.568e-02   1.540e-02   9.414e-02    8.762e-02   6.506e-02   2.49e-16   3.47e-18   4.85e-19   1.62e-03
   0.500   8.143e-02   1.191e-02   9.019e-02    1.024e-01   5.824e-02   2.49e-16   1.08e-17   8.47e-19   1.62e-03
   0.600   7.729e-02   9.047e-03   8.526e-02    9.213e-02   5.208e-02   2.45e-16   5.20e-18   1.09e-18   1.61e-03
   0.700   7.333e-02   6.780e-03   8.028e-02    7.496e-02   4.661e-02   2.22e-16   9.08e-18   2.60e-18   1.61e-03
   0.800   6.955e-02   5.025e-03   7.559e-02    6.095e-02   4.175e-02   2.22e-16   1.14e-17   1.19e-18   1.60e-03
   0.900   6.595e-02   3.692e-03   7.129e-02    5.431e-02   3.744e-02   1.67e-16   6.67e-18   9.40e-19   1.60e-03
   1.000   6.253e-02   2.692e-03   6.733e-02    5.400e-02   3.361e-02   3.33e-16   8.61e-18   1.93e-18   1.61e-03
   1.100   6.006e-02   4.787e-03   6.676e-02    8.823e-01   3.127e-02   1.11e-16   5.81e-18   1.89e-18   1.60e-03
   1.200   5.871e-02   1.071e-02   8.570e-02    1.357e+00   3.216e-02   4.60e-16   1.44e-17   4.13e-18   1.60e-03
   1.300   5.797e-02   1.788e-02   9.344e-02    1.574e+00   3.381e-02   5.67e-16   1.07e-17   5.70e-18   1.61e-03
   1.400   5.761e-02   2.500e-02   9.444e-02    1.638e+00   3.602e-02   6.84e-16   9.08e-18   8.24e-18   1.61e-03
   1.500   5.752e-02   3.151e-02   9.285e-02    1.617e+00   3.872e-02   6.83e-16   5.00e-17   7.95e-18   1.60e-03
   1.600   5.763e-02   3.720e-02   9.073e-02    1.557e+00   4.176e-02   1.59e-16   2.27e-17   1.30e-17   1.59e-03
   1.700   5.792e-02   4.203e-02   8.874e-02    1.483e+00   4.491e-02   4.59e-16   3.80e-17   9.55e-18   1.62e-03
   1.800   5.839e-02   4.606e-02   8.680e-02    1.409e+00   4.802e-02   2.45e-16   1.13e-16   1.90e-17   1.63e-03
   1.900   5.902e-02   4.935e-02   8.461e-02    1.342e+00   5.093e-02   3.33e-16   2.78e-17   1.53e-17   1.61e-03
   2.000   5.980e-02   5.197e-02   8.181e-02    1.283e+00   5.356e-02   6.96e-16   3.72e-17   5.85e-18   1.62e-03
   2.100   6.070e-02   5.398e-02   7.813e-02    1.232e+00   5.584e-02   2.42e-16   2.13e-17   1.78e-17   1.62e-03
   2.200   6.169e-02   5.544e-02   7.343e-02    1.189e+00   5.773e-02   2.52e-16   1.87e-17   2.69e-17   1.63e-03
   2.300   6.273e-02   5.637e-02   6.768e-02    1.153e+00   5.920e-02   3.66e-16   9.73e-17   2.09e-17   1.64e-03
   2.400   6.378e-02   5.684e-02   6.100e-02    1.122e+00   6.024e-02   4.49e-16   4.50e-17   5.90e-18   1.63e-03
   2.500   6.477e-02   5.686e-02   5.363e-02    1.097e+00   6.086e-02   2.50e-16   6.44e-17   9.96e-17   1.62e-03
   2.600   6.566e-02   5.648e-02   4.598e-02    1.078e+00   6.107e-02   1.19e-16   4.88e-17   6.14e-17   1.63e-03
   2.700   6.642e-02   5.575e-02   3.865e-02    1.068e+00   6.090e-02   2.33e-16   4.79e-17   3.95e-17   1.62e-03
   2.800   6.703e-02   5.471e-02   3.247e-02    1.067e+00   6.041e-02   3.51e-16   7.61e-17   3.08e-17   1.62e-03
