       t         |O|         |T|      |e_xi|  |qddot_ref|           V         c0         c1         c2    runtime
-----------------------------------------------------------------------------------------------------------------
   0.000   9.890e-02   2.940e-02   0.000e+00    1.403e+00   8.516e-02   4.47e-16   0.00e+00   0.00e+00   1.71e-03
   0.100   9.736e-02   2.757e-02   6.258e-02    6.637e-01   8.387e-02   4.56e-16   8.94e-18   7.27e-19   1.60e-03
   0.200   9.402e-02   2.374e-02   8.762e-02    2.159e-01   7.906e-02   4.46e-16   1.30e-18   6.13e-19   1.60e-03
   0.300   8.995e-02   1.944e-02   9.487e-02    4.053e-02   7.226e-02   2.22e-16   8.42e-18   8.67e-19   1.62e-03
   0.400   8.568e-02   1.540e-02   9.414e-02    8.762e-02   6.506e-02   2.49e-16   3.47e-18   4.85e-19   1.64e-03
   0.500   8.143e-02   1.191e-02   9.019e-02    1.024e-01   5.824e-02   2.49e-16   1.08e-17   8.47e-19   1.77e-03
   0.600   7.729e-02   9.047e-03   8.526e-02    9.213e-02   5.208e-02   2.45e-16   5.20e-18   1.09e-18   1.67e-03
   0.700   7.333e-02   6.780e-03   8.028e-02    7.496e-02   4.661e-02   2.22e-16   9.08e-18   2.60e-18   1.62e-03
   0.800   6.955e-02   5.025e-03   7.559e-02    6.095e-02   4.175e-02   2.22e-16   1.14e-17   1.19e-18   1.61e-03
   0.900   6.595e-02   3.692e-03   7.129e-02    5.431e-02   3.744e-02   1.67e-16   6.67e-18   9.40e-19   1.59e-03
   1.000   6.253e-02   2.692e-03   6.733e-02    5.400e-02   3.361e-02   3.33e-16   8.61e-18   1.93e-18   1.61e-03
   1.100   5.835e-02   2.889e-03   1.560e-01    7.752e-01   3.947e-02   2.22e-16   1.33e-17   2.74e-18   1.69e-03
   1.200   5.484e-02   9.889e-03   1.516e-01    9.819e-01   3.633e-02   8.89e-16   4.87e-17   6.25e-18   1.83e-03
   1.300   5.399e-02   1.405e-02   1.035e-01    1.074e+00   3.025e-02   2.10e-16   2.10e-17   8.67e-19   1.64e-03
   1.400   5.602e-02   1.384e-02   8.770e-02    1.237e+00   3.048e-02   2.11e-17   8.70e-17   8.67e-18   1.63e-03
   1.500   6.041e-02   1.075e-02   1.296e-01    1.421e+00   3.853e-02   3.33e-16   2.78e-17   4.52e-17   1.64e-03
   1.600   6.661e-02   9.718e-03   1.711e-01    1.533e+00   5.088e-02   8.35e-17   6.06e-17   1.41e-17   1.64e-03
   1.700   7.399e-02   1.403e-02   1.883e-01    1.541e+00   6.309e-02   2.26e-16   3.47e-17   1.39e-17   1.65e-03
   1.800   8.172e-02   1.928e-02   1.781e-01    1.470e+00   7.225e-02   2.58e-16   3.93e-17   2.26e-17   1.65e-03
   1.900   8.880e-02   2.238e-02   1.457e-01    1.381e+00   7.770e-02   2.50e-16   3.12e-17   1.07e-17   1.63e-03
   2.000   9.426e-02   2.227e-02   1.017e-01    1.334e+00   8.022e-02   2.50e-16   1.43e-17   2.11e-17   1.66e-03
   2.100   9.736e-02   1.907e-02   6.677e-02    1.343e+00   8.097e-02   4.59e-16   4.39e-17   3.71e-17   1.63e-03
   2.200   9.773e-02   1.378e-02   7.287e-02    1.371e+00   8.058e-02   5.56e-16   1.39e-17   1.48e-17   1.61e-03
   2.300   9.537e-02   8.683e-03   1.057e-01    1.364e+00   7.895e-02   2.22e-16   2.64e-17   2.32e-17   1.68e-03
   2.400   9.061e-02   8.463e-03   1.366e-01    1.287e+00   7.558e-02   1.33e-15   5.19e-17   2.84e-18   1.65e-03
   2.500   8.403e-02   1.255e-02   1.574e-01    1.139e+00   7.013e-02   1.24e-16   4.52e-17   2.26e-17   1.61e-03
   2.600   7.634e-02   1.635e-02   1.676e-01    9.500e-01   6.280e-02   5.56e-16   3.99e-17   2.49e-17   1.68e-03
   2.700   6.824e-02   1.839e-02   1.694e-01    7.841e-01   5.431e-02   2.22e-16   4.61e-17   1.16e-17   1.60e-03
   2.800   6.039e-02   1.869e-02   1.654e-01    7.159e-01   4.565e-02   7.87e-16   6.25e-17   3.01e-17   1.67e-03
   2.900   5.331e-02   1.803e-02   1.573e-01    7.544e-01   3.771e-02   4.48e-16   7.10e-17   2.73e-17   1.60e-03
   3.000   4.736e-02   1.761e-02   1.456e-01    8.237e-01   3.102e-02   1.00e-15   6.35e-17   3.34e-17   1.67e-03
   3.100   4.270e-02   1.832e-02   1.300e-01    8.512e-01   2.572e-02   2.24e-16   5.81e-17   1.27e-16   1.61e-03
   3.200   3.927e-02   1.995e-02   1.109e-01    8.056e-01   2.167e-02   6.67e-16   4.54e-17   6.77e-17   1.61e-03
   3.300   3.679e-02   2.153e-02   8.994e-02    6.895e-01   1.858e-02   3.61e-16   1.94e-17   3.13e-17   1.61e-03
   3.400   3.484e-02   2.215e-02   7.155e-02    5.310e-01   1.619e-02   5.66e-16   7.76e-18   4.90e-17   1.61e-03
   3.500   3.301e-02   2.131e-02   6.202e-02    3.846e-01   1.427e-02   5.66e-16   2.80e-17   5.08e-17   1.61e-03
   3.600   3.098e-02   1.898e-02   6.400e-02    3.333e-01   1.261e-02   1.11e-16   3.58e-17   2.21e-17   1.64e-03
   3.700   2.862e-02   1.546e-02   7.165e-02    3.955e-01   1.103e-02   2.29e-16   9.34e-17   2.83e-17   1.62e-03
   3.800   2.591e-02   1.129e-02   7.784e-02    4.848e-01   9.418e-03   1.92e-16   3.47e-17   2.67e-17   1.68e-03
   3.900   2.296e-02   7.107e-03   7.907e-02    5.438e-01   7.747e-03   3.52e-16   1.40e-17   1.95e-17   1.62e-03
   4.000   1.993e-02   3.695e-03   7.496e-02    5.567e-01   6.097e-03   1.39e-16   5.72e-17   1.65e-17   1.62e-03
   4.100   1.700e-02   2.353e-03   6.711e-02    5.286e-01   4.608e-03   1.78e-16   2.19e-17   4.76e-18   1.64e-03
   4.200   1.430e-02   3.089e-03   5.819e-02    4.765e-01   3.405e-03   7.78e-16   5.59e-17   4.76e-18   1.62e-03
   4.300   1.194e-02   3.764e-03   5.075e-02    4.225e-01   2.542e-03   2.55e-16   2.03e-17   5.49e-18   1.69e-03
   4.400   1.001e-02   4.117e-03   4.573e-02    3.835e-01   1.983e-03   1.39e-16   3.10e-17   9.78e-18   1.62e-03
   4.500   8.603e-03   4.627e-03   4.182e-02    3.603e-01   1.638e-03   2.37e-16   4.22e-17   1.76e-17   1.61e-03
   4.600   7.740e-03   5.550e-03   3.695e-02    3.390e-01   1.408e-03   2.82e-17   2.80e-17   3.10e-18   1.67e-03
   4.700   7.342e-03   6.621e-03   3.024e-02    3.057e-01   1.239e-03   4.58e-16   4.97e-17   1.25e-17   1.60e-03
   4.800   7.210e-03   7.406e-03   2.318e-02    2.586e-01   1.123e-03   4.58e-16   2.11e-17   3.88e-18   1.61e-03
   4.900   7.130e-03   7.603e-03   2.057e-02    2.135e-01   1.081e-03   2.24e-16   3.47e-18   8.07e-18   1.61e-03
   5.000   6.985e-03   7.127e-03   2.565e-02    2.026e-01   1.126e-03   1.11e-16   5.20e-17   3.91e-18   1.60e-03
   5.100   6.805e-03   6.136e-03   3.383e-02    2.388e-01   1.244e-03   8.92e-16   4.39e-17   8.15e-18   1.68e-03
   5.200   6.747e-03   5.097e-03   4.056e-02    2.940e-01   1.395e-03   7.85e-16   2.43e-17   4.32e-18   1.61e-03
   5.300   7.005e-03   4.758e-03   4.372e-02    3.394e-01   1.529e-03   2.29e-16   2.53e-17   7.83e-18   1.61e-03
   5.400   7.657e-03   5.466e-03   4.262e-02    3.604e-01   1.616e-03   2.54e-16   9.98e-17   7.68e-18   1.69e-03
   5.500   8.599e-03   6.644e-03   3.755e-02    3.524e-01   1.650e-03   4.65e-16   7.22e-17   1.70e-17   1.61e-03
   5.600   9.633e-03   7.631e-03   2.965e-02    3.179e-01   1.648e-03   6.71e-16   6.94e-18   1.35e-17   1.61e-03
   5.700   1.057e-02   8.071e-03   2.085e-02    2.647e-01   1.633e-03   3.47e-18   1.55e-17   1.59e-17   1.62e-03
   5.800   1.129e-02   7.844e-03   1.442e-02    2.040e-01   1.616e-03   1.15e-16   1.08e-16   1.70e-17   1.63e-03
   5.900   1.173e-02   6.987e-03   1.427e-02    1.499e-01   1.593e-03   5.55e-16   1.10e-16   2.37e-17   1.61e-03
   6.000   1.189e-02   5.645e-03   1.806e-02    8.908e-02   1.549e-03   3.33e-16   8.96e-17   1.53e-17   1.69e-03
   6.100   1.179e-02   4.036e-03   2.124e-02    1.084e-01   1.469e-03   2.48e-16   8.85e-17   1.03e-17   1.63e-03
   6.200   1.149e-02   2.405e-03   2.230e-02    1.216e-01   1.352e-03   2.00e-16   8.09e-17   3.42e-17   1.61e-03
   6.300   1.103e-02   1.052e-03   2.129e-02    1.186e-01   1.209e-03   2.49e-16   7.27e-17   1.58e-17   1.62e-03
