       t         |O|         |T|      |e_xi|  |qddot_ref|           V         c0         c1         c2    runtime
-----------------------------------------------------------------------------------------------------------------
   0.000   9.890e-02   2.940e-02   0.000e+00    1.403e+00   8.516e-02   4.47e-16   0.00e+00   0.00e+00   2.37e-03
   0.100   9.736e-02   2.757e-02   6.258e-02    6.637e-01   8.387e-02   4.56e-16   8.94e-18   7.27e-19   1.60e-03
   0.200   9.402e-02   2.374e-02   8.762e-02    2.159e-01   7.906e-02   4.46e-16   1.30e-18   6.13e-19   1.59e-03
   0.300   8.995e-02   1.944e-02   9.487e-02    4.053e-02   7.226e-02   2.22e-16   8.42e-18   8.67e-19   1.61e-03
   0.400   8.568e-02   1.540e-02   9.414e-02    8.762e-02   6.506e-02   2.49e-16   3.47e-18   4.85e-19   1.61e-03
   0.500   8.143e-02   1.191e-02   9.019e-02    1.024e-01   5.824e-02   2.49e-16   1.08e-17   8.47e-19   1.61e-03
   0.600   7.729e-02   9.047e-03   8.526e-02    9.213e-02   5.208e-02   2.45e-16   5.20e-18   1.09e-18   1.63e-03
   0.700   7.333e-02   6.780e-03   8.028e-02    7.496e-02   4.661e-02   2.22e-16   9.08e-18   2.60e-18   1.63e-03
   0.800   6.955e-02   5.025e-03   7.559e-02    6.095e-02   4.175e-02   2.22e-16   1.14e-17   1.19e-18   1.60e-03
   0.900   6.595e-02   3.692e-03   7.129e-02    5.431e-02   3.744e-02   1.67e-16   6.67e-18   9.40e-19   1.69e-03
   1.000   6.253e-02   2.692e-03   6.733e-02    5.400e-02   3.361e-02   3.33e-16   8.61e-18   1.93e-18   1.69e-03
   1.100   5.929e-02   1.950e-03   6.367e-02    5.642e-02   3.018e-02   7.78e-16   3.81e-18   1.06e-18   1.67e-03
   1.200   5.621e-02   1.405e-03   6.027e-02    5.890e-02   2.711e-02   6.78e-16   8.91e-18   1.67e-18   1.61e-03
   1.300   5.329e-02   1.008e-03   5.709e-02    6.039e-02   2.435e-02   3.36e-16   3.67e-18   1.02e-18   1.61e-03
   1.400   5.052e-02   7.194e-04   5.410e-02    6.070e-02   2.188e-02   2.56e-16   5.64e-18   1.69e-18   1.61e-03
   1.500   4.789e-02   5.115e-04   5.127e-02    6.002e-02   1.967e-02   2.25e-16   1.08e-17   1.00e-18   1.61e-03
   1.600   4.540e-02   3.622e-04   4.860e-02    5.865e-02   1.767e-02   6.71e-16   1.39e-17   7.82e-19   1.59e-03
   1.700   4.304e-02   2.554e-04   4.607e-02    5.689e-02   1.588e-02   1.11e-16   1.04e-17   1.32e-18   1.61e-03
   1.800   4.080e-02   1.794e-04   4.368e-02    5.497e-02   1.427e-02   2.45e-16   3.04e-18   1.84e-18   1.60e-03
   1.900   3.868e-02   1.253e-04   4.141e-02    5.309e-02   1.282e-02   2.27e-16   3.08e-17   3.90e-18   1.61e-03
   2.000   3.666e-02   8.705e-05   3.926e-02    5.135e-02   1.152e-02   4.44e-16   1.18e-17   4.00e-18   1.66e-03
   2.100   3.476e-02   6.001e-05   3.722e-02    4.985e-02   1.036e-02   6.67e-16   7.41e-18   8.94e-19   1.61e-03
   2.200   3.295e-02   4.097e-05   3.528e-02    4.861e-02   9.306e-03   2.49e-16   5.20e-18   2.17e-18   1.60e-03
   2.300   3.123e-02   2.760e-05   3.345e-02    4.763e-02   8.362e-03   1.78e-16   8.67e-19   4.36e-18   1.61e-03
   2.400   2.960e-02   1.824e-05   3.171e-02    4.690e-02   7.514e-03   4.71e-16   1.47e-17   2.17e-18   1.60e-03
   2.500   2.806e-02   1.172e-05   3.006e-02    4.639e-02   6.751e-03   2.48e-16   2.11e-17   3.50e-18   1.66e-03
   2.600   2.660e-02   7.208e-06   2.849e-02    4.606e-02   6.066e-03   6.68e-16   1.40e-17   3.88e-18   1.60e-03
   2.700   2.521e-02   4.132e-06   2.701e-02    4.588e-02   5.451e-03   1.72e-16   1.73e-18   9.70e-19   1.68e-03
   2.800   2.390e-02   2.132e-06   2.560e-02    4.583e-02   4.897e-03   2.49e-16   1.40e-17   9.70e-19   1.59e-03
   2.900   2.265e-02   1.154e-06   2.427e-02    4.589e-02   4.400e-03   1.57e-16   1.43e-17   4.42e-18   1.60e-03
   3.000   2.147e-02   1.253e-06   2.300e-02    4.605e-02   3.953e-03   3.38e-16   1.87e-17   3.58e-18   1.67e-03
   3.100   2.035e-02   1.665e-06   2.181e-02    4.630e-02   3.552e-03   2.54e-16   3.03e-17   6.07e-18   1.61e-03
   3.200   1.929e-02   1.993e-06   2.067e-02    4.664e-02   3.191e-03   6.78e-16   1.48e-17   2.74e-18   1.68e-03
   3.300   1.829e-02   2.210e-06   1.959e-02    4.709e-02   2.867e-03   4.45e-16   1.73e-18   8.67e-19   1.60e-03
   3.400   1.733e-02   2.342e-06   1.857e-02    4.764e-02   2.576e-03   1.67e-16   4.25e-17   3.58e-18   1.61e-03
   3.500   1.643e-02   2.418e-06   1.760e-02    4.832e-02   2.314e-03   4.48e-16   7.76e-18   9.70e-19   1.62e-03
   3.600   1.557e-02   2.463e-06   1.668e-02    4.912e-02   2.079e-03   2.29e-16   1.11e-17   8.67e-19   1.62e-03
   3.700   1.476e-02   2.497e-06   1.581e-02    5.005e-02   1.868e-03   2.50e-16   1.43e-17   4.09e-18   1.64e-03
   3.800   1.399e-02   2.533e-06   1.499e-02    5.112e-02   1.678e-03   1.60e-16   9.81e-18   3.39e-18   1.63e-03
   3.900   1.326e-02   2.583e-06   1.421e-02    5.233e-02   1.507e-03   2.37e-16   1.43e-17   2.64e-18   1.61e-03
   4.000   1.257e-02   2.654e-06   1.347e-02    5.367e-02   1.354e-03   1.59e-16   1.55e-17   8.67e-19   1.61e-03
   4.100   1.191e-02   2.749e-06   1.276e-02    5.514e-02   1.216e-03   2.56e-16   2.03e-17   3.47e-18   1.61e-03
   4.200   1.129e-02   2.870e-06   1.210e-02    5.672e-02   1.093e-03   1.24e-16   3.47e-18   0.00e+00   1.61e-03
   4.300   1.070e-02   3.016e-06   1.147e-02    5.839e-02   9.815e-04   1.24e-16   7.76e-18   1.73e-18   1.60e-03
   4.400   1.014e-02   3.184e-06   1.087e-02    6.013e-02   8.816e-04   2.29e-16   1.11e-17   2.61e-18   1.69e-03
   4.500   9.610e-03   3.371e-06   1.030e-02    6.193e-02   7.919e-04   3.14e-17   7.15e-18   8.67e-19   1.72e-03
   4.600   9.108e-03   3.573e-06   9.760e-03    6.376e-02   7.113e-04   4.44e-16   8.67e-18   7.82e-19   1.62e-03
   4.700   8.632e-03   3.786e-06   9.250e-03    6.560e-02   6.388e-04   2.38e-16   5.20e-18   6.51e-19   1.63e-03
   4.800   8.180e-03   4.007e-06   8.767e-03    6.742e-02   5.737e-04   1.39e-16   1.48e-17   9.70e-19   1.63e-03
   4.900   7.752e-03   4.232e-06   8.308e-03    6.920e-02   5.153e-04   2.62e-16   1.73e-18   1.08e-19   1.62e-03
   5.000   7.346e-03   4.457e-06   7.874e-03    7.092e-02   4.627e-04   2.23e-16   0.00e+00   2.17e-19   1.63e-03
   5.100   6.962e-03   4.680e-06   7.462e-03    7.255e-02   4.156e-04   2.24e-16   3.47e-18   5.42e-19   1.61e-03
   5.200   6.597e-03   4.899e-06   7.071e-03    7.407e-02   3.732e-04   2.48e-16   6.94e-18   2.24e-19   1.66e-03
   5.300   6.251e-03   5.110e-06   6.701e-03    7.547e-02   3.351e-04   2.24e-16   6.99e-18   3.43e-19   1.61e-03
   5.400   5.924e-03   5.312e-06   6.350e-03    7.672e-02   3.009e-04   1.14e-16   8.18e-18   3.64e-19   1.67e-03
   5.500   5.613e-03   5.502e-06   6.017e-03    7.782e-02   2.702e-04   2.24e-16   2.60e-18   1.08e-19   1.60e-03
   5.600   5.319e-03   5.680e-06   5.702e-03    7.875e-02   2.426e-04   1.11e-16   8.67e-19   1.21e-19   1.60e-03
   5.700   5.040e-03   5.842e-06   5.403e-03    7.949e-02   2.178e-04   2.24e-16   1.73e-18   5.79e-20   1.61e-03
   5.800   4.775e-03   5.988e-06   5.119e-03    8.005e-02   1.955e-04   1.58e-16   2.17e-18   1.40e-20   1.61e-03
   5.900   4.524e-03   6.117e-06   4.851e-03    8.041e-02   1.755e-04   5.62e-17   4.37e-19   3.96e-21   1.63e-03
   6.000   4.286e-03   6.228e-06   4.596e-03    1.680e-03   1.576e-04   8.92e-16   1.02e-18   6.81e-21   1.60e-03
   6.100   4.063e-03   5.026e-06   4.355e-03    1.585e-03   1.415e-04   1.39e-16   6.94e-19   2.80e-21   1.73e-03
   6.200   3.851e-03   3.941e-06   4.128e-03    1.500e-03   1.272e-04   6.80e-16   5.42e-19   3.40e-21   1.69e-03
   6.300   3.650e-03   3.025e-06   3.912e-03    1.420e-03   1.142e-04   2.72e-16   0.00e+00   1.97e-21   1.65e-03
   6.400   3.460e-03   2.285e-06   3.708e-03    1.346e-03   1.026e-04   1.01e-15   4.47e-19   5.15e-21   1.62e-03
   6.500   3.279e-03   1.705e-06   3.514e-03    1.276e-03   9.220e-05   6.71e-16   5.42e-19   3.39e-21   1.60e-03
   6.600   3.108e-03   1.259e-06   3.331e-03    1.209e-03   8.283e-05   2.82e-17   3.07e-19   8.57e-22   1.62e-03
   6.700   2.946e-03   9.222e-07   3.157e-03    1.146e-03   7.441e-05   1.11e-16   3.25e-19   8.55e-22   1.62e-03
   6.800   2.792e-03   6.709e-07   2.993e-03    1.087e-03   6.685e-05   1.24e-16   4.85e-19   1.79e-21   1.63e-03
   6.900   2.647e-03   4.852e-07   2.836e-03    1.030e-03   6.006e-05   4.45e-16   7.89e-19   1.69e-21   1.62e-03
   7.000   2.509e-03   3.491e-07   2.689e-03    9.767e-04   5.396e-05   2.62e-16   3.25e-19   6.98e-22   1.61e-03
   7.100   2.378e-03   2.502e-07   2.548e-03    9.259e-04   4.847e-05   1.60e-16   2.17e-19   1.27e-21   1.61e-03
   7.200   2.254e-03   1.786e-07   2.415e-03    8.777e-04   4.355e-05   4.61e-16   4.85e-19   2.16e-21   1.61e-03
   7.300   2.136e-03   1.271e-07   2.289e-03    8.319e-04   3.912e-05   1.67e-16   0.00e+00   8.47e-22   1.61e-03
   7.400   2.025e-03   9.013e-08   2.170e-03    7.886e-04   3.515e-05   2.29e-16   2.17e-19   2.52e-22   1.62e-03
   7.500   1.919e-03   6.377e-08   2.057e-03    7.475e-04   3.158e-05   5.58e-16   2.24e-19   9.42e-22   1.63e-03
   7.600   1.819e-03   4.501e-08   1.949e-03    7.085e-04   2.837e-05   1.57e-16   2.17e-19   2.68e-22   1.62e-03
   7.700   1.724e-03   3.170e-08   1.848e-03    6.715e-04   2.549e-05   3.33e-16   1.08e-19   4.24e-22   1.61e-03
   7.800   1.634e-03   2.229e-08   1.751e-03    6.365e-04   2.290e-05   3.61e-16   6.06e-19   6.36e-22   1.62e-03
   7.900   1.549e-03   1.564e-08   1.660e-03    6.033e-04   2.057e-05   1.57e-16   1.95e-19   1.85e-23   1.62e-03
   8.000   1.468e-03   1.096e-08   1.573e-03    5.718e-04   1.848e-05   2.24e-16   5.42e-20   8.47e-22   1.60e-03
   8.100   1.392e-03   7.669e-09   1.491e-03    5.420e-04   1.660e-05   5.72e-16   1.08e-19   6.41e-22   1.62e-03
   8.200   1.319e-03   5.358e-09   1.414e-03    5.137e-04   1.492e-05   1.39e-16   1.21e-19   2.12e-22   1.62e-03
   8.300   1.250e-03   3.740e-09   1.340e-03    4.869e-04   1.340e-05   1.11e-15   1.63e-19   8.47e-22   1.63e-03
   8.400   1.185e-03   2.608e-09   1.270e-03    4.615e-04   1.204e-05   6.71e-16   1.21e-19   6.52e-22   1.62e-03
   8.500   1.123e-03   1.817e-09   1.204e-03    4.374e-04   1.082e-05   2.48e-16   2.32e-19   1.12e-22   1.62e-03
   8.600   1.065e-03   1.265e-09   1.141e-03    4.145e-04   9.717e-06   2.23e-16   5.42e-20   2.14e-22   1.61e-03
   8.700   1.009e-03   8.810e-10   1.081e-03    3.929e-04   8.729e-06   5.55e-17   2.19e-19   1.12e-22   1.61e-03
   8.800   9.564e-04   6.142e-10   1.025e-03    3.724e-04   7.842e-06   2.24e-16   2.71e-20   1.09e-22   1.62e-03
   8.900   9.065e-04   4.293e-10   9.715e-04    3.530e-04   7.046e-06   2.24e-16   0.00e+00   2.12e-22   1.60e-03
   9.000   8.592e-04   3.017e-10   9.208e-04    3.345e-04   6.330e-06   3.52e-16   6.06e-20   2.16e-22   1.60e-03
   9.100   8.144e-04   2.140e-10   8.728e-04    3.171e-04   5.687e-06   5.55e-16   5.42e-20   5.85e-23   1.62e-03
   9.200   7.719e-04   1.542e-10   8.273e-04    3.005e-04   5.109e-06   3.52e-16   5.42e-20   5.85e-23   1.62e-03
   9.300   7.316e-04   1.138e-10   7.841e-04    2.849e-04   4.590e-06   4.78e-16   9.77e-20   1.06e-22   1.61e-03
   9.400   6.935e-04   8.685e-11   7.432e-04    2.700e-04   4.123e-06   5.83e-16   1.12e-19   1.70e-22   1.61e-03
